BACIA SEDIMENTAR;ESTADO;TERRA/MAR;CAMPO;CONCESSIONÁRIO;PERCENTUAL
Camamu;Bahia;Mar;Camarão;3R Petroleum1 ;1
Campos;Espírito Santo;Mar;Caxaréu;Petrobras1 ;1
Campos;Espírito Santo;Mar;Mangangá²;Petrobras1 ;1
Campos;Rio de Janeiro;Mar;Maromba;BW Energy1 ;1
Campos;Rio de Janeiro;Mar;Pitangola;Equinor Brasil1 ;0,6
Campos;Rio de Janeiro;Mar;Pitangola;Sinochem Petróleo ;0,4
Campos;Espírito Santo;Mar;Wahoo;Petro Rio Jaguar1 ;0,64286
Campos;Espírito Santo;Mar;Wahoo;IBV Brasil ;0,35714
Espírito Santo;Espírito Santo;Terra;Garça Branca²;Petromais1 ;1
Paraná;Paraná;Terra;Barra Bonita;Barra Bonita1 ;1
Parnaíba;Maranhão;Terra;Gavião Belo;Eneva1 ;1
Parnaíba;Maranhão;Terra;Gavião Branco Norte;Eneva1 ;1
Parnaíba;Maranhão;Terra;Gavião Carijó;Eneva1 ;1
Parnaíba;Maranhão;Terra;Gavião Preto;Eneva1 ;1
Parnaíba;Maranhão;Terra;Gavião Tesoura;Eneva1 ;1
Potiguar;Rio Grande do Norte;Terra;Campainha Azul;Imetame1 ;1
Recôncavo;Bahia;Terra;Araçás Leste³;Guindastes Brasil1 ;1
Recôncavo;Bahia;Terra;Bela Vista;Imetame1 ;1
Recôncavo;Bahia;Terra;Cardeal Amarelo;Imetame1 ;1
Recôncavo;Bahia;Terra;Cardeal do Nordeste Leste;Imetame1 ;1
Recôncavo;Bahia;Terra;Jacumirim;Guindastes Brasil1 ;1
Recôncavo;Bahia;Terra;Murucututu;Alvopetro1 ;1
Recôncavo;Bahia;Terra;Murucututu Sul;Alvopetro1 ;1
Recôncavo;Bahia;Terra;Paramirim do Vencimento³;Slim1 ;1
Recôncavo;Bahia;Terra;Tapiranga Norte;3R Ventura1 ;1
Santos;Rio de Janeiro;Mar;Berbigão;Petrobras1 ;0,425
Santos;Rio de Janeiro;Mar;Berbigão;Petrogal Brasil ;0,1
Santos;Rio de Janeiro;Mar;Berbigão;Shell Brasil ;0,25
Santos;Rio de Janeiro;Mar;Berbigão;Total E&P do Brasil ;0,225
Santos;Rio de Janeiro;Mar;Búzios Eco⁵;Petrobras1 ;0,9
Santos;Rio de Janeiro;Mar;Búzios Eco⁵;CNOOC Petroleum ;0,05
Santos;Rio de Janeiro;Mar;Búzios Eco⁵;CNODC Brasil ;0,05
Santos;Rio de Janeiro;Mar;Itapu⁴;Petrobras1 ;1
Santos;Rio de Janeiro;Mar;Itapu Eco⁵;Petrobras1 ;1
Santos;Rio de Janeiro;Mar;Norte de Berbigão⁴;Petrobras1 ;1
Santos;Rio de Janeiro;Mar;Norte de Sururu⁴;Petrobras1 ;1
Santos;Rio de Janeiro;Mar;Sul de Berbigão⁴;Petrobras1 ;1
Santos;Rio de Janeiro;Mar;Sul de Sururu⁴;Petrobras1 ;1
Santos;Rio de Janeiro;Mar;Sul de Tupi⁴;Petrobras1 ;1
Santos;Rio de Janeiro;Mar;Sururu;Petrobras1 ;0,425
Santos;Rio de Janeiro;Mar;Sururu;Petrogal Brasil ;0,1
Santos;Rio de Janeiro;Mar;Sururu;Shell Brasil ;0,25
Santos;Rio de Janeiro;Mar;Sururu;Total E&P do Brasil ;0,225
Santos;São Paulo;Mar;Bacalhau;Equinor Brasil1 ;0,4
Santos;São Paulo;Mar;Bacalhau;ExxonMobil Brasil ;0,4
Santos;São Paulo;Mar;Bacalhau;Petrogal Brasil ;0,2
Santos;São Paulo;Mar;Bacalhau Norte⁵;Equinor Brasil1 ;0,4
Santos;São Paulo;Mar;Bacalhau Norte⁵;ExxonMobil Brasil ;0,4
Santos;São Paulo;Mar;Bacalhau Norte⁵;Petrogal Brasil ;0,2
Santos;São Paulo;Mar;Goiá;Karoon1 ;1
Santos;São Paulo;Mar;Neon;Karoon1 ;1
Sergipe;Sergipe;Terra;Dó-Ré-Mi;Ubuntu Engenharia1 ;0,5
Sergipe;Sergipe;Terra;Dó-Ré-Mi;Centro Oeste ;0,5
