BACIA SEDIMENTAR;ESTADO;LOCALIZAÇÃO;CAMPO;CONCESSIONÁRIO;PERCENTUAL
Alagoas;Alagoas;Mar;Paru;Origem Energia1 ;1
Alagoas;Alagoas;Terra;Anambé;Origem Energia1 ;1
Alagoas;Alagoas;Terra;Arapaçu;Origem Energia1 ;1
Alagoas;Alagoas;Terra;Cidade de São Miguel dos Campos;Origem Energia1 ;1
Alagoas;Alagoas;Terra;Coqueiro Seco;Petrosynergy1 ;1
Alagoas;Alagoas;Terra;Fazenda Guindaste;Petrosynergy1 ;1
Alagoas;Alagoas;Terra;Fazenda Pau Brasil;Petrosynergy1 ;1
Alagoas;Alagoas;Terra;Furado;Origem Energia1 ;1
Alagoas;Alagoas;Terra;Jequiá;Petrosynergy1 ;1
Alagoas;Alagoas;Terra;Pilar;Origem Energia1 ;1
Alagoas;Alagoas;Terra;São Miguel dos Campos;Origem Energia1 ;1
Alagoas;Alagoas;Terra;Sul de Coruripe;Petrosynergy1 ;1
Alagoas;Alagoas;Terra;Tabuleiro dos Martins;Petrosynergy1 ;1
Amazonas;Amazonas;Terra;Azulão;Eneva1 ;1
Amazonas;Amazonas;Terra;Japiim²;Petrobras1 ;1
Barreirinhas;Maranhão;Terra;São João³;Oeste de Canoas ;0,5
Barreirinhas;Maranhão;Terra;São João³;Petro-Victory1 ;0,5
Camamu;Bahia;Mar;Camarão Norte²;Petrobras1 ;0,35
Camamu;Bahia;Mar;Camarão Norte²;Enauta Energia ;0,45
Camamu;Bahia;Mar;Camarão Norte²;Brasoil Manati ;0,1
Camamu;Bahia;Mar;Camarão Norte²;Geopark Brasil ;0,1
Camamu;Bahia;Mar;Manati;Petrobras1 ;0,35
Camamu;Bahia;Mar;Manati;Enauta Energia ;0,45
Camamu;Bahia;Mar;Manati;Brasoil Manati ;0,1
Camamu;Bahia;Mar;Manati;Geopark Brasil ;0,1
Camamu;Bahia;Mar;Piraúna²;3R Petroleum1 ;1
Camamu;Bahia;Mar;Sardinha²;Petrobras1 ;1
Camamu;Bahia;Terra;Jiribatuba³;Alvopetro1 ;1
Camamu;Bahia;Terra;Morro do Barro³;Panergy1 ;0,3
Camamu;Bahia;Terra;Morro do Barro³;ERG ;0,7
Campos;Espírito Santo;Mar;Abalone;Shell Brasil1 ;0,5
Campos;Espírito Santo;Mar;Abalone;ONGC Campos ;0,27
Campos;Espírito Santo;Mar;Abalone;QP Brasil ;0,23
