BLOCO;REGIÃO GEOGRÁFICA;PAÍS;RESERVAS PROVADAS DE PETRÓLEO;ANO
NÃO OPEP;América do Norte;Canadá;174,2;2011
NÃO OPEP;América do Norte;Canadá;173,7161004;2012
NÃO OPEP;América do Norte;Canadá;173,0375367;2013
NÃO OPEP;América do Norte;Canadá;172,1559946;2014
NÃO OPEP;América do Norte;Canadá;171,5123079;2015
NÃO OPEP;América do Norte;Canadá;170,5283236;2016
NÃO OPEP;América do Norte;Canadá;171,7916825;2017
NÃO OPEP;América do Norte;Canadá;170,732189;2018
NÃO OPEP;América do Norte;Canadá;169,1249096;2019
NÃO OPEP;América do Norte;Canadá;168,0876108;2020
NÃO OPEP;América do Norte;Estados Unidos;39,8;2011
NÃO OPEP;América do Norte;Estados Unidos;44,18;2012
NÃO OPEP;América do Norte;Estados Unidos;48,463;2013
NÃO OPEP;América do Norte;Estados Unidos;54,962;2014
NÃO OPEP;América do Norte;Estados Unidos;47,987;2015
NÃO OPEP;América do Norte;Estados Unidos;49,966;2016
NÃO OPEP;América do Norte;Estados Unidos;61,233;2017
NÃO OPEP;América do Norte;Estados Unidos;68,894;2018
NÃO OPEP;América do Norte;Estados Unidos;68,757;2019
NÃO OPEP;América do Norte;Estados Unidos;68,757;2020
NÃO OPEP;América do Norte;México;10,2;2011
NÃO OPEP;América do Norte;México;10,025;2012
NÃO OPEP;América do Norte;México;10,07319;2013
NÃO OPEP;América do Norte;México;9,81209;2014
NÃO OPEP;América do Norte;México;9,71097;2015
NÃO OPEP;América do Norte;México;7,64071;2016
NÃO OPEP;América do Norte;México;7,03701;2017
NÃO OPEP;América do Norte;México;6,46417;2018
NÃO OPEP;América do Norte;México;6,06588;2019
NÃO OPEP;América do Norte;México;6,06588;2020
NÃO OPEP;Américas Central e do Sul;Argentina;2,5;2011
NÃO OPEP;Américas Central e do Sul;Argentina;2,35420948;2012
NÃO OPEP;Américas Central e do Sul;Argentina;2,329584141;2013
NÃO OPEP;Américas Central e do Sul;Argentina;2,379708948;2014
NÃO OPEP;Américas Central e do Sul;Argentina;2,394723984;2015
NÃO OPEP;Américas Central e do Sul;Argentina;2,162209054;2016
NÃO OPEP;Américas Central e do Sul;Argentina;2,016765043;2017
NÃO OPEP;Américas Central e do Sul;Argentina;2,386858073;2018
NÃO OPEP;Américas Central e do Sul;Argentina;2,482707493;2019
NÃO OPEP;Américas Central e do Sul;Argentina;2,482707493;2020
NÃO OPEP;Américas Central e do Sul;Brasil;15;2011
NÃO OPEP;Américas Central e do Sul;Brasil;15,314221;2012
NÃO OPEP;Américas Central e do Sul;Brasil;15,54443522;2013
NÃO OPEP;Américas Central e do Sul;Brasil;16,18411229;2014
NÃO OPEP;Américas Central e do Sul;Brasil;13,01255267;2015
NÃO OPEP;Américas Central e do Sul;Brasil;12,60601422;2016
NÃO OPEP;Américas Central e do Sul;Brasil;12,79321715;2017
NÃO OPEP;Américas Central e do Sul;Brasil;13,24076792;2018
NÃO OPEP;Américas Central e do Sul;Brasil;12,72845364;2019
NÃO OPEP;Américas Central e do Sul;Brasil;11,93230768;2020
NÃO OPEP;Américas Central e do Sul;Colômbia;2;2011
NÃO OPEP;Américas Central e do Sul;Colômbia;2,2;2012
NÃO OPEP;Américas Central e do Sul;Colômbia;2,377;2013
NÃO OPEP;Américas Central e do Sul;Colômbia;2,445;2014
NÃO OPEP;Américas Central e do Sul;Colômbia;2,308;2015
