REGIÃO GEOGRÁFICA;PAÍS;ANO;CONSUMO DE PETRÓLEO
América do Norte;Canadá;2012;2426
América do Norte;Canadá;2013;2422,269188
América do Norte;Canadá;2014;2420,128927
América do Norte;Canadá;2015;2442,78948
América do Norte;Canadá;2016;2453,381238
América do Norte;Canadá;2017;2424,308465
América do Norte;Canadá;2018;2500,603008
América do Norte;Canadá;2019;2491,242391
América do Norte;Canadá;2020;2191,111854
América do Norte;Canadá;2021;2228,659193
América do Norte;Estados Unidos;2012;17581
América do Norte;Estados Unidos;2013;17991,99836
América do Norte;Estados Unidos;2014;18111,09266
América do Norte;Estados Unidos;2015;18499,20849
América do Norte;Estados Unidos;2016;18592,69487
América do Norte;Estados Unidos;2017;18845,18869
América do Norte;Estados Unidos;2018;19416,58825
América do Norte;Estados Unidos;2019;19423,62525
América do Norte;Estados Unidos;2020;17183,31935
América do Norte;Estados Unidos;2021;18684,48255
América do Norte;México;2012;2083
América do Norte;México;2013;2034,163494
América do Norte;México;2014;1959,694886
América do Norte;México;2015;1939,288594
América do Norte;México;2016;1950,178577
América do Norte;México;2017;1883,227421
América do Norte;México;2018;1835,957946
América do Norte;México;2019;1698,196457
América do Norte;México;2020;1312,999539
América do Norte;México;2021;1350,429551
Américas Central e do Sul;Argentina;2012;647
Américas Central e do Sul;Argentina;2013;688,1642072
Américas Central e do Sul;Argentina;2014;678,4317142
Américas Central e do Sul;Argentina;2015;693,6141333
Américas Central e do Sul;Argentina;2016;675,2490996
Américas Central e do Sul;Argentina;2017;669,5940283
Américas Central e do Sul;Argentina;2018;640,4789264
Américas Central e do Sul;Argentina;2019;571,9816036
Américas Central e do Sul;Argentina;2020;517,9783041
Américas Central e do Sul;Argentina;2021;597,8220779
Américas Central e do Sul;Brasil;2012;2519
Américas Central e do Sul;Brasil;2013;2655,934817
Américas Central e do Sul;Brasil;2014;2728,565105
Américas Central e do Sul;Brasil;2015;2487,943628
Américas Central e do Sul;Brasil;2016;2370,249476
Américas Central e do Sul;Brasil;2017;2406,569272
Américas Central e do Sul;Brasil;2018;2293,32347
Américas Central e do Sul;Brasil;2019;2303,475556
Américas Central e do Sul;Brasil;2020;2133,768683
Américas Central e do Sul;Brasil;2021;2251,765208
Américas Central e do Sul;Chile;2012;376
Américas Central e do Sul;Chile;2013;362,4761548
Américas Central e do Sul;Chile;2014;353,0863675
Américas Central e do Sul;Chile;2015;355,4731352
Américas Central e do Sul;Chile;2016;377,0229636
Américas Central e do Sul;Chile;2017;363,7414539
Américas Central e do Sul;Chile;2018;378,955145
Américas Central e do Sul;Chile;2019;382,5250125
Américas Central e do Sul;Chile;2020;349,4975172
Américas Central e do Sul;Chile;2021;364,7632761
Américas Central e do Sul;Colômbia;2012;279
Américas Central e do Sul;Colômbia;2013;277,4728882
Américas Central e do Sul;Colômbia;2014;292,3145463
Américas Central e do Sul;Colômbia;2015;311,8376132
Américas Central e do Sul;Colômbia;2016;319,5182205
Américas Central e do Sul;Colômbia;2017;313,2573241
Américas Central e do Sul;Colômbia;2018;322,1473721
Américas Central e do Sul;Colômbia;2019;340,3504081
Américas Central e do Sul;Colômbia;2020;277,0546988
Américas Central e do Sul;Colômbia;2021;349,0901559
Américas Central e do Sul;Equador;2012;233
Américas Central e do Sul;Equador;2013;247,3287967
Américas Central e do Sul;Equador;2014;260,2135305
Américas Central e do Sul;Equador;2015;253,9419971
Américas Central e do Sul;Equador;2016;239,3749798
Américas Central e do Sul;Equador;2017;236,4694677
Américas Central e do Sul;Equador;2018;254,6893651
Américas Central e do Sul;Equador;2019;248,5315284
Américas Central e do Sul;Equador;2020;202,0215106
Américas Central e do Sul;Equador;2021;247,4080377
Américas Central e do Sul;Peru;2012;211
Américas Central e do Sul;Peru;2013;222,4904358
Américas Central e do Sul;Peru;2014;220,8314713
Américas Central e do Sul;Peru;2015;235,3553129
Américas Central e do Sul;Peru;2016;250,1653389
Américas Central e do Sul;Peru;2017;259,7126148
Américas Central e do Sul;Peru;2018;267,4946999
Américas Central e do Sul;Peru;2019;278,0503243
Américas Central e do Sul;Peru;2020;210,3517195
Américas Central e do Sul;Peru;2021;265,5771656
Américas Central e do Sul;Trinidad e Tobago;2012;40
Américas Central e do Sul;Trinidad e Tobago;2013;45,20454521
Américas Central e do Sul;Trinidad e Tobago;2014;40,86330411
Américas Central e do Sul;Trinidad e Tobago;2015;44,90226575
Américas Central e do Sul;Trinidad e Tobago;2016;47,34634699
Américas Central e do Sul;Trinidad e Tobago;2017;43,91404916
Américas Central e do Sul;Trinidad e Tobago;2018;41,46127094
Américas Central e do Sul;Trinidad e Tobago;2019;31,68566137
Américas Central e do Sul;Trinidad e Tobago;2020;28,22086578
Américas Central e do Sul;Trinidad e Tobago;2021;25,29970936
Américas Central e do Sul;Venezuela;2012;785
Américas Central e do Sul;Venezuela;2013;834,8598775
Américas Central e do Sul;Venezuela;2014;746,403925
Américas Central e do Sul;Venezuela;2015;696,9016592
Américas Central e do Sul;Venezuela;2016;537,3837075
Américas Central e do Sul;Venezuela;2017;492,8269457
Américas Central e do Sul;Venezuela;2018;409,7666856
Américas Central e do Sul;Venezuela;2019;339,1080947
Américas Central e do Sul;Venezuela;2020;277,0434926
Américas Central e do Sul;Venezuela;2021;288,9337188
Américas Central e do Sul;Outros;2012;1175
Américas Central e do Sul;Outros;2013;1156,649321
Américas Central e do Sul;Outros;2014;1160,314688
Américas Central e do Sul;Outros;2015;1221,70592
Américas Central e do Sul;Outros;2016;1268,864655
Américas Central e do Sul;Outros;2017;1270,585367
Américas Central e do Sul;Outros;2018;1268,423553
Américas Central e do Sul;Outros;2019;1295,718857
Américas Central e do Sul;Outros;2020;1104,179166
Américas Central e do Sul;Outros;2021;1230,893892
Europa;Alemanha;2012;2276
Europa;Alemanha;2013;2336,157753
Europa;Alemanha;2014;2272,665479
Europa;Alemanha;2015;2269,128603
Europa;Alemanha;2016;2307,498743
Europa;Alemanha;2017;2374,479957
Europa;Alemanha;2018;2254,685577
Europa;Alemanha;2019;2269,879508
Europa;Alemanha;2020;2049,323925
Europa;Alemanha;2021;2045,18018
Europa;Áustria;2012;244
Europa;Áustria;2013;252,2143036
Europa;Áustria;2014;242,0221585
Europa;Áustria;2015;241,233618
Europa;Áustria;2016;248,7784408
Europa;Áustria;2017;252,3103135
Europa;Áustria;2018;255,4079523
Europa;Áustria;2019;264,5547221
Europa;Áustria;2020;229,4373947
Europa;Áustria;2021;235,8143052
Europa;Bélgica;2012;602
Europa;Bélgica;2013;624,4055558
Europa;Bélgica;2014;619,7351047
Europa;Bélgica;2015;640,6020697
Europa;Bélgica;2016;644,4928866
Europa;Bélgica;2017;653,0064747
Europa;Bélgica;2018;692,5514571
Europa;Bélgica;2019;650,7645406
Europa;Bélgica;2020;567,9094155
Europa;Bélgica;2021;638,1302793
Europa;Bulgária;2012;83
Europa;Bulgária;2013;77,34080668
Europa;Bulgária;2014;83,74974715
Europa;Bulgária;2015;93,54981101
Europa;Bulgária;2016;94,5853342
Europa;Bulgária;2017;98,77452972
Europa;Bulgária;2018;98,42266688
Europa;Bulgária;2019;102,1049524
Europa;Bulgária;2020;91,36268798
Europa;Bulgária;2021;96,32547041
Europa;Chipre;2012;51
Europa;Chipre;2013;45,67816438
Europa;Chipre;2014;45,47339726
Europa;Chipre;2015;46,46547907
Europa;Chipre;2016;50,52567432
Europa;Chipre;2017;52,33847
Europa;Chipre;2018;51,69584192
Europa;Chipre;2019;51,55304907
Europa;Chipre;2020;43,75853033
Europa;Chipre;2021;45,18334504
Europa;Croácia;2012;65
Europa;Croácia;2013;63,0491863
Europa;Croácia;2014;65,40538082
Europa;Croácia;2015;67,9052
Europa;Croácia;2016;68,20887432
Europa;Croácia;2017;72,90003836
Europa;Croácia;2018;70,7557863
Europa;Croácia;2019;69,15174247
Europa;Croácia;2020;58,95945628
Europa;Croácia;2021;64,71826645
Europa;Dinamarca;2012;153
Europa;Dinamarca;2013;152,4741782
Europa;Dinamarca;2014;153,2566931
Europa;Dinamarca;2015;155,2509338
Europa;Dinamarca;2016;152,7140123
Europa;Dinamarca;2017;152,1069401
Europa;Dinamarca;2018;153,5973851
Europa;Dinamarca;2019;153,6554508
Europa;Dinamarca;2020;126,7664262
Europa;Dinamarca;2021;128,1271052
Europa;Eslováquia;2012;72
Europa;Eslováquia;2013;72,30660274
Europa;Eslováquia;2014;67,38169863
Europa;Eslováquia;2015;73,00219178
Europa;Eslováquia;2016;75,70434426
Europa;Eslováquia;2017;85,52712329
Europa;Eslováquia;2018;87,0239726
Europa;Eslováquia;2019;82,66841096
Europa;Eslováquia;2020;82,32887978
Europa;Eslováquia;2021;86,36356524
Europa;Eslovênia;2012;53
Europa;Eslovênia;2013;50,02099841
Europa;Eslovênia;2014;49,35071052
Europa;Eslovênia;2015;48,74554225
Europa;Eslovênia;2016;51,92060389
Europa;Eslovênia;2017;53,26935009
Europa;Eslovênia;2018;54,66001121
Europa;Eslovênia;2019;52,19924496
Europa;Eslovênia;2020;43,62167847
Europa;Eslovênia;2021;46,56651497
Europa;Espanha;2012;1237
Europa;Espanha;2013;1168,708949
Europa;Espanha;2014;1165,291952
Europa;Espanha;2015;1209,385688
Europa;Espanha;2016;1251,733521
Europa;Espanha;2017;1260,359741
Europa;Espanha;2018;1286,380641
Europa;Espanha;2019;1286,765866
Europa;Espanha;2020;1055,931039
Europa;Espanha;2021;1169,40789
Europa;Estônia;2012;32
Europa;Estônia;2013;31,18886795
Europa;Estônia;2014;29,14491342
Europa;Estônia;2015;29,31085184
Europa;Estônia;2016;28,71657519
Europa;Estônia;2017;30,0515783
Europa;Estônia;2018;29,81754685
Europa;Estônia;2019;26,79314241
Europa;Estônia;2020;27,66506849
Europa;Estônia;2021;28,67878429
Europa;Finlândia ;2012;194
Europa;Finlândia ;2013;207,5430857
Europa;Finlândia ;2014;196,6060133
Europa;Finlândia ;2015;196,4914209
Europa;Finlândia ;2016;206,1651166
Europa;Finlândia ;2017;199,8701914
Europa;Finlândia ;2018;199,8604669
Europa;Finlândia ;2019;198,6745753
Europa;Finlândia ;2020;178,4056284
Europa;Finlândia ;2021;177,6103974
Europa;França;2012;1609
Europa;França;2013;1595,988603
Europa;França;2014;1543,684747
Europa;França;2015;1544,443362
Europa;França;2016;1528,889023
Europa;França;2017;1539,549574
Europa;França;2018;1538,017154
Europa;França;2019;1527,924592
Europa;França;2020;1306,764483
Europa;França;2021;1424,121236
Europa;Grécia ;2012;305
Europa;Grécia ;2013;282,0104769
Europa;Grécia ;2014;280,6010411
Europa;Grécia ;2015;293,6291233
Europa;Grécia ;2016;293,2840493
Europa;Grécia ;2017;297,6905006
Europa;Grécia ;2018;294,3214593
Europa;Grécia ;2019;303,5307162
Europa;Grécia ;2020;245,6436667
Europa;Grécia ;2021;249,4458379
Europa;Hungria;2012;129
Europa;Hungria;2013;127,8798946
Europa;Hungria;2014;142,0168097
Europa;Hungria;2015;152,7174203
Europa;Hungria;2016;150,4537189
Europa;Hungria;2017;163,9225173
Europa;Hungria;2018;175,22421
Europa;Hungria;2019;176,4868803
Europa;Hungria;2020;161,1571715
Europa;Hungria;2021;171,2888589
Europa;Irlanda;2012;138
Europa;Irlanda;2013;138,3490574
Europa;Irlanda;2014;137,0199036
Europa;Irlanda;2015;143,4207858
Europa;Irlanda;2016;149,4992558
Europa;Irlanda;2017;149,0241428
Europa;Irlanda;2018;154,6902064
Europa;Irlanda;2019;153,3146458
Europa;Irlanda;2020;130,0673051
Europa;Irlanda;2021;132,6407911
Europa;Islândia;2012;14
Europa;Islândia;2013;14,85050987
Europa;Islândia;2014;15,55845571
Europa;Islândia;2015;16,96879946
Europa;Islândia;2016;18,71677662
Europa;Islândia;2017;20,94182271
Europa;Islândia;2018;22,60279128
Europa;Islândia;2019;19,21434354
Europa;Islândia;2020;12,59040895
Europa;Islândia;2021;12,86352613
