TIPO DE PETRÓLEO;ANO;PREÇOS MÉDIOS NO MERCADO SPOT DE PETRÓLEO
Brent;2012;111,67
Brent;2013;108,6585178
Brent;2014;98,94600791
Brent;2015;52,38675889
Brent;2016;43,73416996
Brent;2017;54,19244048
Brent;2018;71,31005976
Brent;2019;64,21057312
Brent;2020;41,83834646
Brent;2021;70,91189723
WTI;2012;94,13
WTI;2013;97,99227092
WTI;2014;93,28264
WTI;2015;48,70741036
WTI;2016;43,34270916
WTI;2017;50,7926506
WTI;2018;65,20467068
WTI;2019;57,03028
WTI;2020;39,24511905
WTI;2021;68,09588
