BLOCO;REGIÃO GEOGRÁFICA;PAÍS;ANO;RESERVAS PROVADAS DE GÁS NATURAL
NÃO OPEP;América do Norte;Canadá;2011;1,83
NÃO OPEP;América do Norte;Canadá;2012;1,904480089
NÃO OPEP;América do Norte;Canadá;2013;1,931387108
NÃO OPEP;América do Norte;Canadá;2014;1,892854302
NÃO OPEP;América do Norte;Canadá;2015;2,068144566
NÃO OPEP;América do Norte;Canadá;2016;1,995628184
NÃO OPEP;América do Norte;Canadá;2017;1,984051785
NÃO OPEP;América do Norte;Canadá;2018;1,912506653
NÃO OPEP;América do Norte;Canadá;2019;1,99406777
NÃO OPEP;América do Norte;Canadá;2020;2,353957694
NÃO OPEP;América do Norte;Estados Unidos;2011;9,06
NÃO OPEP;América do Norte;Estados Unidos;2012;8,351898315
NÃO OPEP;América do Norte;Estados Unidos;2013;9,171481683
NÃO OPEP;América do Norte;Estados Unidos;2014;9,996813088
NÃO OPEP;América do Norte;Estados Unidos;2015;8,34360162
NÃO OPEP;América do Norte;Estados Unidos;2016;8,73685414
NÃO OPEP;América do Norte;Estados Unidos;2017;11,88813429
NÃO OPEP;América do Norte;Estados Unidos;2018;12,87400404
NÃO OPEP;América do Norte;Estados Unidos;2019;12,61870442
NÃO OPEP;América do Norte;Estados Unidos;2020;12,61870442
NÃO OPEP;América do Norte;México;2011;0,36
NÃO OPEP;América do Norte;México;2012;0,356394996
NÃO OPEP;América do Norte;México;2013;0,34404616
NÃO OPEP;América do Norte;México;2014;0,320912766
NÃO OPEP;América do Norte;México;2015;0,241364391
NÃO OPEP;América do Norte;México;2016;0,195792838
NÃO OPEP;América do Norte;México;2017;0,184834472
NÃO OPEP;América do Norte;México;2018;0,178510074
NÃO OPEP;América do Norte;México;2019;0,178069945
NÃO OPEP;América do Norte;México;2020;0,178069945
NÃO OPEP;Américas Central e do Sul;Argentina;2011;0,32
NÃO OPEP;Américas Central e do Sul;Argentina;2012;0,306831252
NÃO OPEP;Américas Central e do Sul;Argentina;2013;0,319232555
NÃO OPEP;Américas Central e do Sul;Argentina;2014;0,323081453
NÃO OPEP;Américas Central e do Sul;Argentina;2015;0,340845807
NÃO OPEP;Américas Central e do Sul;Argentina;2016;0,327410243
NÃO OPEP;Américas Central e do Sul;Argentina;2017;0,345684432
NÃO OPEP;Américas Central e do Sul;Argentina;2018;0,36048808
NÃO OPEP;Américas Central e do Sul;Argentina;2019;0,385567746
NÃO OPEP;Américas Central e do Sul;Argentina;2020;0,385567746
NÃO OPEP;Américas Central e do Sul;Bolívia;2011;0,27
NÃO OPEP;Américas Central e do Sul;Bolívia;2012;0,306048515
NÃO OPEP;Américas Central e do Sul;Bolívia;2013;0,286920483
NÃO OPEP;Américas Central e do Sul;Bolívia;2014;0,270525026
NÃO OPEP;Américas Central e do Sul;Bolívia;2015;0,270525026
NÃO OPEP;Américas Central e do Sul;Bolívia;2016;0,29241816
NÃO OPEP;Américas Central e do Sul;Bolívia;2017;0,247024873
NÃO OPEP;Américas Central e do Sul;Bolívia;2018;0,229946273
NÃO OPEP;Américas Central e do Sul;Bolívia;2019;0,212867672
NÃO OPEP;Américas Central e do Sul;Bolívia;2020;0,212867672
NÃO OPEP;Américas Central e do Sul;Brasil;2011;0,47
NÃO OPEP;Américas Central e do Sul;Brasil;2012;0,473422007
NÃO OPEP;Américas Central e do Sul;Brasil;2013;0,472365536
NÃO OPEP;Américas Central e do Sul;Brasil;2014;0,485698223
NÃO OPEP;Américas Central e do Sul;Brasil;2015;0,43058588
NÃO OPEP;Américas Central e do Sul;Brasil;2016;0,379085223
NÃO OPEP;Américas Central e do Sul;Brasil;2017;0,369079851
NÃO OPEP;Américas Central e do Sul;Brasil;2018;0,368470796
NÃO OPEP;Américas Central e do Sul;Brasil;2019;0,36506682
