BLOCO;REGIÃO GEOGRÁFICA;PAÍS;ANO;PRODUÇÃO DE GÁS NATURAL
NÃO OPEP;América do Norte;Canadá;2012;150,3
NÃO OPEP;América do Norte;Canadá;2013;151,92035
NÃO OPEP;América do Norte;Canadá;2014;158,9916
NÃO OPEP;América do Norte;Canadá;2015;160,755675
NÃO OPEP;América do Norte;Canadá;2016;165,0755
NÃO OPEP;América do Norte;Canadá;2017;171,2706
NÃO OPEP;América do Norte;Canadá;2018;176,796325
NÃO OPEP;América do Norte;Canadá;2019;169,765475
NÃO OPEP;América do Norte;Canadá;2020;165,728125
NÃO OPEP;América do Norte;Canadá;2021;172,3191922
NÃO OPEP;América do Norte;Estados Unidos;2012;649,1
NÃO OPEP;América do Norte;Estados Unidos;2013;655,6927351
NÃO OPEP;América do Norte;Estados Unidos;2014;704,7264822
NÃO OPEP;América do Norte;Estados Unidos;2015;740,303203
NÃO OPEP;América do Norte;Estados Unidos;2016;727,3561115
NÃO OPEP;América do Norte;Estados Unidos;2017;746,1707115
NÃO OPEP;América do Norte;Estados Unidos;2018;840,936171
NÃO OPEP;América do Norte;Estados Unidos;2019;928,111084
NÃO OPEP;América do Norte;Estados Unidos;2020;915,8997621
NÃO OPEP;América do Norte;Estados Unidos;2021;934,2031875
NÃO OPEP;América do Norte;México;2012;50,9
NÃO OPEP;América do Norte;México;2013;52,48803919
NÃO OPEP;América do Norte;México;2014;51,29980325
NÃO OPEP;América do Norte;México;2015;47,94694753
NÃO OPEP;América do Norte;México;2016;43,65142403
NÃO OPEP;América do Norte;México;2017;38,26844372
NÃO OPEP;América do Norte;México;2018;35,19102778
NÃO OPEP;América do Norte;México;2019;31,29488889
NÃO OPEP;América do Norte;México;2020;30,48935444
NÃO OPEP;América do Norte;México;2021;29,24131413
NÃO OPEP;Américas Central e do Sul;Argentina;2012;36,7
NÃO OPEP;Américas Central e do Sul;Argentina;2013;34,55585357
NÃO OPEP;Américas Central e do Sul;Argentina;2014;34,48587955
NÃO OPEP;Américas Central e do Sul;Argentina;2015;35,49114425
NÃO OPEP;Américas Central e do Sul;Argentina;2016;37,28235641
NÃO OPEP;Américas Central e do Sul;Argentina;2017;37,14988828
NÃO OPEP;Américas Central e do Sul;Argentina;2018;39,42329137
NÃO OPEP;Américas Central e do Sul;Argentina;2019;41,61525989
NÃO OPEP;Américas Central e do Sul;Argentina;2020;38,29252849
NÃO OPEP;Américas Central e do Sul;Argentina;2021;38,60849458
NÃO OPEP;Américas Central e do Sul;Bolívia;2012;17,1
NÃO OPEP;Américas Central e do Sul;Bolívia;2013;19,57546417
NÃO OPEP;Américas Central e do Sul;Bolívia;2014;20,27682462
NÃO OPEP;Américas Central e do Sul;Bolívia;2015;19,56059568
NÃO OPEP;Américas Central e do Sul;Bolívia;2016;18,80100132
NÃO OPEP;Américas Central e do Sul;Bolívia;2017;18,25627799
NÃO OPEP;Américas Central e do Sul;Bolívia;2018;17,05320175
NÃO OPEP;Américas Central e do Sul;Bolívia;2019;15,02082006
NÃO OPEP;Américas Central e do Sul;Bolívia;2020;14,452845
NÃO OPEP;Américas Central e do Sul;Bolívia;2021;15,08810435
NÃO OPEP;Américas Central e do Sul;Brasil;2012;19,8
NÃO OPEP;Américas Central e do Sul;Brasil;2013;21,94959443
NÃO OPEP;Américas Central e do Sul;Brasil;2014;23,34767608
NÃO OPEP;Américas Central e do Sul;Brasil;2015;23,80449503
NÃO OPEP;Américas Central e do Sul;Brasil;2016;24,12357771
NÃO OPEP;Américas Central e do Sul;Brasil;2017;27,18142187
NÃO OPEP;Américas Central e do Sul;Brasil;2018;25,16235674
NÃO OPEP;Américas Central e do Sul;Brasil;2019;25,74652705
NÃO OPEP;Américas Central e do Sul;Brasil;2020;24,23633885
NÃO OPEP;Américas Central e do Sul;Brasil;2021;24,33267807
NÃO OPEP;Américas Central e do Sul;Colômbia;2012;11,5
NÃO OPEP;Américas Central e do Sul;Colômbia;2013;13,22347592
NÃO OPEP;Américas Central e do Sul;Colômbia;2014;12,33283419
NÃO OPEP;Américas Central e do Sul;Colômbia;2015;11,61031583
NÃO OPEP;Américas Central e do Sul;Colômbia;2016;11,99211775
NÃO OPEP;Américas Central e do Sul;Colômbia;2017;11,7524758
NÃO OPEP;Américas Central e do Sul;Colômbia;2018;12,37633903
NÃO OPEP;Américas Central e do Sul;Colômbia;2019;12,61821951
NÃO OPEP;Américas Central e do Sul;Colômbia;2020;12,45503093
NÃO OPEP;Américas Central e do Sul;Colômbia;2021;12,5664427
NÃO OPEP;Américas Central e do Sul;Peru;2012;12
NÃO OPEP;Américas Central e do Sul;Peru;2013;12,39912554
NÃO OPEP;Américas Central e do Sul;Peru;2014;13,12723002
NÃO OPEP;Américas Central e do Sul;Peru;2015;12,65671661
NÃO OPEP;Américas Central e do Sul;Peru;2016;14,01843532
NÃO OPEP;Américas Central e do Sul;Peru;2017;13,01074692
NÃO OPEP;Américas Central e do Sul;Peru;2018;12,81148558
NÃO OPEP;Américas Central e do Sul;Peru;2019;13,49579214
NÃO OPEP;Américas Central e do Sul;Peru;2020;12,16706503
NÃO OPEP;Américas Central e do Sul;Peru;2021;11,4830493
NÃO OPEP;Américas Central e do Sul;Trinidad e Tobago;2012;38,5
NÃO OPEP;Américas Central e do Sul;Trinidad e Tobago;2013;38,74725976
NÃO OPEP;Américas Central e do Sul;Trinidad e Tobago;2014;38,06720547
NÃO OPEP;Américas Central e do Sul;Trinidad e Tobago;2015;35,95585654
NÃO OPEP;Américas Central e do Sul;Trinidad e Tobago;2016;31,28169846
NÃO OPEP;Américas Central e do Sul;Trinidad e Tobago;2017;31,87292759
NÃO OPEP;Américas Central e do Sul;Trinidad e Tobago;2018;33,96111315
NÃO OPEP;Américas Central e do Sul;Trinidad e Tobago;2019;34,5608905
NÃO OPEP;Américas Central e do Sul;Trinidad e Tobago;2020;29,46526416
NÃO OPEP;Américas Central e do Sul;Trinidad e Tobago;2021;24,72299707
OPEP;Américas Central e do Sul;Venezuela;2012;31,9
OPEP;Américas Central e do Sul;Venezuela;2013;30,59049
OPEP;Américas Central e do Sul;Venezuela;2014;31,78818
OPEP;Américas Central e do Sul;Venezuela;2015;36,06501
OPEP;Américas Central e do Sul;Venezuela;2016;37,23873395
OPEP;Américas Central e do Sul;Venezuela;2017;38,60538774
OPEP;Américas Central e do Sul;Venezuela;2018;31,61909952
OPEP;Américas Central e do Sul;Venezuela;2019;25,57621865
OPEP;Américas Central e do Sul;Venezuela;2020;21,56108776
OPEP;Américas Central e do Sul;Venezuela;2021;23,97712663
NÃO OPEP;Américas Central e do Sul;Outros;2012;3
NÃO OPEP;Américas Central e do Sul;Outros;2013;2,732605813
NÃO OPEP;Américas Central e do Sul;Outros;2014;2,623626689
NÃO OPEP;Américas Central e do Sul;Outros;2015;2,895668002
NÃO OPEP;Américas Central e do Sul;Outros;2016;3,127751969
NÃO OPEP;Américas Central e do Sul;Outros;2017;3,092819593
NÃO OPEP;Américas Central e do Sul;Outros;2018;3,029774896
NÃO OPEP;Américas Central e do Sul;Outros;2019;3,21008169
NÃO OPEP;Américas Central e do Sul;Outros;2020;2,675158473
NÃO OPEP;Américas Central e do Sul;Outros;2021;2,55952273
NÃO OPEP;Europa;Alemanha;2012;9,5
NÃO OPEP;Europa;Alemanha;2013;8,604125208
NÃO OPEP;Europa;Alemanha;2014;8,082743004
NÃO OPEP;Europa;Alemanha;2015;7,524433224
NÃO OPEP;Europa;Alemanha;2016;6,923041272
NÃO OPEP;Europa;Alemanha;2017;6,376161456
NÃO OPEP;Europa;Alemanha;2018;5,541774084
NÃO OPEP;Europa;Alemanha;2019;5,330759364
NÃO OPEP;Europa;Alemanha;2020;4,53242034
NÃO OPEP;Europa;Alemanha;2021;4,53681648
NÃO OPEP;Europa;Dinamarca;2012;6
NÃO OPEP;Europa;Dinamarca;2013;4,973585406
NÃO OPEP;Europa;Dinamarca;2014;4,800654328
NÃO OPEP;Europa;Dinamarca;2015;4,793545262
NÃO OPEP;Europa;Dinamarca;2016;4,700102649
NÃO OPEP;Europa;Dinamarca;2017;5,050028628
NÃO OPEP;Europa;Dinamarca;2018;4,29276138
NÃO OPEP;Europa;Dinamarca;2019;3,202556779
NÃO OPEP;Europa;Dinamarca;2020;1,379692977
NÃO OPEP;Europa;Dinamarca;2021;1,308592116
NÃO OPEP;Europa;Itália;2012;8,2
NÃO OPEP;Europa;Itália;2013;7,367495028
NÃO OPEP;Europa;Itália;2014;6,809556247
NÃO OPEP;Europa;Itália;2015;6,449687846
NÃO OPEP;Europa;Itália;2016;5,509763239
NÃO OPEP;Europa;Itália;2017;5,27305855
NÃO OPEP;Europa;Itália;2018;5,189196922
NÃO OPEP;Europa;Itália;2019;4,621247438
NÃO OPEP;Europa;Itália;2020;3,912090708
NÃO OPEP;Europa;Itália;2021;3,184140621
NÃO OPEP;Europa;Noruega;2012;113,9
NÃO OPEP;Europa;Noruega;2013;107,930399
NÃO OPEP;Europa;Noruega;2014;107,4911394
NÃO OPEP;Europa;Noruega;2015;116,1308777
NÃO OPEP;Europa;Noruega;2016;115,8909309
NÃO OPEP;Europa;Noruega;2017;123,7292225
NÃO OPEP;Europa;Noruega;2018;121,2868666
NÃO OPEP;Europa;Noruega;2019;114,2597869
NÃO OPEP;Europa;Noruega;2020;111,4542584
NÃO OPEP;Europa;Noruega;2021;114,3168477
NÃO OPEP;Europa;Países Baixos (Holanda);2012;68,4
