REGIÃO GEOGRÁFICA;PAÍS;ANO;CONSUMO DE GÁS NATURAL
América do Norte;Canadá;2012;99,4
América do Norte;Canadá;2013;105,4407
América do Norte;Canadá;2014;109,841525
América do Norte;Canadá;2015;110,33245
América do Norte;Canadá;2016;104,98925
América do Norte;Canadá;2017;109,904875
América do Norte;Canadá;2018;115,629975
América do Norte;Canadá;2019;117,292625
América do Norte;Canadá;2020;113,2635
América do Norte;Canadá;2021;119,1678897
América do Norte;Estados Unidos;2012;688,1
América do Norte;Estados Unidos;2013;707,0228377
América do Norte;Estados Unidos;2014;722,2604554
América do Norte;Estados Unidos;2015;743,5794943
América do Norte;Estados Unidos;2016;749,0989399
América do Norte;Estados Unidos;2017;739,9922516
América do Norte;Estados Unidos;2018;821,7150053
América do Norte;Estados Unidos;2019;850,6917186
América do Norte;Estados Unidos;2020;831,9024927
América do Norte;Estados Unidos;2021;826,7174471
América do Norte;México;2012;73,7
América do Norte;México;2013;77,79506636
América do Norte;México;2014;78,84844744
América do Norte;México;2015;80,78291622
América do Norte;México;2016;83,03003672
América do Norte;México;2017;86,03353134
América do Norte;México;2018;87,58581587
América do Norte;México;2019;87,97329647
América do Norte;México;2020;83,73049257
América do Norte;México;2021;88,22606084
Américas Central e do Sul;Argentina;2012;45,7
Américas Central e do Sul;Argentina;2013;46,02768897
Américas Central e do Sul;Argentina;2014;46,15497906
Américas Central e do Sul;Argentina;2015;46,65256827
Américas Central e do Sul;Argentina;2016;48,21001119
Américas Central e do Sul;Argentina;2017;48,30002855
Américas Central e do Sul;Argentina;2018;48,7021412
Américas Central e do Sul;Argentina;2019;46,55891616
Américas Central e do Sul;Argentina;2020;43,93124455
Américas Central e do Sul;Argentina;2021;45,93515603
Américas Central e do Sul;Brasil;2012;32,6
Américas Central e do Sul;Brasil;2013;38,38277277
Américas Central e do Sul;Brasil;2014;40,65547425
Américas Central e do Sul;Brasil;2015;42,93654087
Américas Central e do Sul;Brasil;2016;37,08788245
Américas Central e do Sul;Brasil;2017;37,63202835
Américas Central e do Sul;Brasil;2018;35,89079767
Américas Central e do Sul;Brasil;2019;35,73334882
Américas Central e do Sul;Brasil;2020;31,42369748
Américas Central e do Sul;Brasil;2021;40,44645089
Américas Central e do Sul;Chile;2012;5,3
Américas Central e do Sul;Chile;2013;5,312584
Américas Central e do Sul;Chile;2014;4,3989312
Américas Central e do Sul;Chile;2015;4,824285657
Américas Central e do Sul;Chile;2016;5,916300789
Américas Central e do Sul;Chile;2017;5,614596942
Américas Central e do Sul;Chile;2018;5,636669069
Américas Central e do Sul;Chile;2019;6,513059349
Américas Central e do Sul;Chile;2020;6,235435454
Américas Central e do Sul;Chile;2021;6,272449912
Américas Central e do Sul;Colômbia;2012;9,5
Américas Central e do Sul;Colômbia;2013;10,47725547
Américas Central e do Sul;Colômbia;2014;11,38406185
Américas Central e do Sul;Colômbia;2015;11,21172938
Américas Central e do Sul;Colômbia;2016;12,06847754
Américas Central e do Sul;Colômbia;2017;11,83053248
Américas Central e do Sul;Colômbia;2018;12,72993843
Américas Central e do Sul;Colômbia;2019;12,87077376
Américas Central e do Sul;Colômbia;2020;13,12267687
Américas Central e do Sul;Colômbia;2021;12,62662928
Américas Central e do Sul;Equador;2012;0,7
Américas Central e do Sul;Equador;2013;0,851181747
