TIPO DE LEVANTAMENTOS GEOFÍSICOS;ANO;TOTAL DE LEVANTAMENTOS
Dados Exclusivos - Sísmica 2D (km);2012;5168
Dados Exclusivos - Sísmica 2D (km);2013;1080,69
Dados Exclusivos - Sísmica 2D (km);2014;3140,92
Dados Exclusivos - Sísmica 2D (km);2015;1064,07
Dados Exclusivos - Sísmica 2D (km);2016;500
Dados Exclusivos - Sísmica 2D (km);2017;0
Dados Exclusivos - Sísmica 2D (km);2018;4689,04
Dados Exclusivos - Sísmica 2D (km);2019;633
Dados Exclusivos - Sísmica 2D (km);2020;4652,65
Dados Exclusivos - Sísmica 2D (km);2021;0
Dados Exclusivos - Sísmica 3D (km2);2012;1586
Dados Exclusivos - Sísmica 3D (km2);2013;240,968
Dados Exclusivos - Sísmica 3D (km2);2014;1021,8756
Dados Exclusivos - Sísmica 3D (km2);2015;542,86
Dados Exclusivos - Sísmica 3D (km2);2016;759
Dados Exclusivos - Sísmica 3D (km2);2017;81,5
Dados Exclusivos - Sísmica 3D (km2);2018;1365,692
Dados Exclusivos - Sísmica 3D (km2);2019;1033
Dados Exclusivos - Sísmica 3D (km2);2020;4072
Dados Exclusivos - Sísmica 3D (km2);2021;449
Dados Exclusivos - Sísmica 4D/4C (km2);2012;0
Dados Exclusivos - Sísmica 4D/4C (km2);2013;0
Dados Exclusivos - Sísmica 4D/4C (km2);2014;121,282
Dados Exclusivos - Sísmica 4D/4C (km2);2015;0
Dados Exclusivos - Sísmica 4D/4C (km2);2016;0
Dados Exclusivos - Sísmica 4D/4C (km2);2017;579,07
Dados Exclusivos - Sísmica 4D/4C (km2);2018;0
Dados Exclusivos - Sísmica 4D/4C (km2);2019;0
Dados Exclusivos - Sísmica 4D/4C (km2);2020;1740,3
Dados Exclusivos - Sísmica 4D/4C (km2);2021;1873
Dados Exclusivos - Sísmica Passiva (km2);2012;0
Dados Exclusivos - Sísmica Passiva (km2);2013;0
Dados Exclusivos - Sísmica Passiva (km2);2014;712
Dados Exclusivos - Sísmica Passiva (km2);2015;0
Dados Exclusivos - Sísmica Passiva (km2);2016;0
Dados Exclusivos - Sísmica Passiva (km2);2017;0
Dados Exclusivos - Sísmica Passiva (km2);2018;0
Dados Exclusivos - Sísmica Passiva (km2);2019;0
Dados Exclusivos - Sísmica Passiva (km2);2020;0
Dados Exclusivos - Sísmica Passiva (km2);2021;0
Dados Exclusivos - Gravimetria (km);2012;9855
Dados Exclusivos - Gravimetria (km);2013;0
Dados Exclusivos - Gravimetria (km);2014;0
Dados Exclusivos - Gravimetria (km);2015;0
Dados Exclusivos - Gravimetria (km);2016;0
Dados Exclusivos - Gravimetria (km);2017;0
Dados Exclusivos - Gravimetria (km);2018;0
Dados Exclusivos - Gravimetria (km);2019;0
Dados Exclusivos - Gravimetria (km);2020;0
Dados Exclusivos - Gravimetria (km);2021;9137
Dados Exclusivos - Gravimetria (km2);2012;0
Dados Exclusivos - Gravimetria (km2);2013;0
Dados Exclusivos - Gravimetria (km2);2014;0
Dados Exclusivos - Gravimetria (km2);2015;0
Dados Exclusivos - Gravimetria (km2);2016;0
Dados Exclusivos - Gravimetria (km2);2017;0
Dados Exclusivos - Gravimetria (km2);2018;0
Dados Exclusivos - Gravimetria (km2);2019;0
Dados Exclusivos - Gravimetria (km2);2020;0
Dados Exclusivos - Gravimetria (km2);2021;0
Dados Exclusivos - Magnetometria (km);2012;9855
Dados Exclusivos - Magnetometria (km);2013;0
Dados Exclusivos - Magnetometria (km);2014;0
Dados Exclusivos - Magnetometria (km);2015;0
Dados Exclusivos - Magnetometria (km);2016;0
Dados Exclusivos - Magnetometria (km);2017;0
Dados Exclusivos - Magnetometria (km);2018;0
Dados Exclusivos - Magnetometria (km);2019;0
Dados Exclusivos - Magnetometria (km);2020;0
Dados Exclusivos - Magnetometria (km);2021;9137
Dados Não Exclusivos - Sísmica 2D (km);2012;390656
Dados Não Exclusivos - Sísmica 2D (km);2013;33250,7
Dados Não Exclusivos - Sísmica 2D (km);2014;25294,14
Dados Não Exclusivos - Sísmica 2D (km);2015;12119
Dados Não Exclusivos - Sísmica 2D (km);2016;21967
Dados Não Exclusivos - Sísmica 2D (km);2017;19920
Dados Não Exclusivos - Sísmica 2D (km);2018;12306
Dados Não Exclusivos - Sísmica 2D (km);2019;9019
Dados Não Exclusivos - Sísmica 2D (km);2020;3388
Dados Não Exclusivos - Sísmica 2D (km);2021;9947
Dados Não Exclusivos - Sísmica 3D (km2);2012;23312
Dados Não Exclusivos - Sísmica 3D (km2);2013;32437
Dados Não Exclusivos - Sísmica 3D (km2);2014;58544,05
Dados Não Exclusivos - Sísmica 3D (km2);2015;14355,43
Dados Não Exclusivos - Sísmica 3D (km2);2016;17412
Dados Não Exclusivos - Sísmica 3D (km2);2017;23843
Dados Não Exclusivos - Sísmica 3D (km2);2018;37435
Dados Não Exclusivos - Sísmica 3D (km2);2019;70755
Dados Não Exclusivos - Sísmica 3D (km2);2020;42014
Dados Não Exclusivos - Sísmica 3D (km2);2021;22586
Dados Não Exclusivos - Gravimetria (km);2012;371295
Dados Não Exclusivos - Gravimetria (km);2013;385232,25
Dados Não Exclusivos - Gravimetria (km);2014;1524,56
Dados Não Exclusivos - Gravimetria (km);2015;48530,05
Dados Não Exclusivos - Gravimetria (km);2016;40345
Dados Não Exclusivos - Gravimetria (km);2017;33297
Dados Não Exclusivos - Gravimetria (km);2018;121288
Dados Não Exclusivos - Gravimetria (km);2019;16918
Dados Não Exclusivos - Gravimetria (km);2020;3388
Dados Não Exclusivos - Gravimetria (km);2021;9314
Dados Não Exclusivos - Gravimetria (km2);2012;0
Dados Não Exclusivos - Gravimetria (km2);2013;0
Dados Não Exclusivos - Gravimetria (km2);2014;0
Dados Não Exclusivos - Gravimetria (km2);2015;0
Dados Não Exclusivos - Gravimetria (km2);2016;0
Dados Não Exclusivos - Gravimetria (km2);2017;0
Dados Não Exclusivos - Gravimetria (km2);2018;0
Dados Não Exclusivos - Gravimetria (km2);2019;0
Dados Não Exclusivos - Gravimetria (km2);2020;19318
Dados Não Exclusivos - Gravimetria (km2);2021;6347
Dados Não Exclusivos - Magnetometria (km);2012;371455
Dados Não Exclusivos - Magnetometria (km);2013;385232,25
Dados Não Exclusivos - Magnetometria (km);2014;134158,8
Dados Não Exclusivos - Magnetometria (km);2015;40717,05
Dados Não Exclusivos - Magnetometria (km);2016;44802
Dados Não Exclusivos - Magnetometria (km);2017;33261
Dados Não Exclusivos - Magnetometria (km);2018;98908
Dados Não Exclusivos - Magnetometria (km);2019;14403
Dados Não Exclusivos - Magnetometria (km);2020;3388
Dados Não Exclusivos - Magnetometria (km);2021;9314
Dados Não Exclusivos - Magnetometria (km2);2012;0
Dados Não Exclusivos - Magnetometria (km2);2013;0
Dados Não Exclusivos - Magnetometria (km2);2014;0
Dados Não Exclusivos - Magnetometria (km2);2015;0
Dados Não Exclusivos - Magnetometria (km2);2016;643
Dados Não Exclusivos - Magnetometria (km2);2017;0
Dados Não Exclusivos - Magnetometria (km2);2018;0
Dados Não Exclusivos - Magnetometria (km2);2019;0
Dados Não Exclusivos - Magnetometria (km2);2020;19318
Dados Não Exclusivos - Magnetometria (km2);2021;6347
Dados de Fomento - Sísmica 2D (km);2012;1088
Dados de Fomento - Sísmica 2D (km);2013;2309,3
Dados de Fomento - Sísmica 2D (km);2014;1727,95
Dados de Fomento - Sísmica 2D (km);2015;5235
Dados de Fomento - Sísmica 2D (km);2016;5530
Dados de Fomento - Sísmica 2D (km);2017;6066,5
Dados de Fomento - Sísmica 2D (km);2018;0
Dados de Fomento - Sísmica 2D (km);2019;0
Dados de Fomento - Sísmica 2D (km);2020;0
Dados de Fomento - Sísmica 2D (km);2021;0
Dados de Fomento - Gravimetria (km);2012;1196
Dados de Fomento - Gravimetria (km);2013;1012
Dados de Fomento - Gravimetria (km);2014;1537,4
Dados de Fomento - Gravimetria (km);2015;2182
Dados de Fomento - Gravimetria (km);2016;0
Dados de Fomento - Gravimetria (km);2017;0
Dados de Fomento - Gravimetria (km);2018;0
Dados de Fomento - Gravimetria (km);2019;0
Dados de Fomento - Gravimetria (km);2020;0
Dados de Fomento - Gravimetria (km);2021;0
Dados de Fomento - Gravimetria (km2);2012;0
Dados de Fomento - Gravimetria (km2);2013;0
Dados de Fomento - Gravimetria (km2);2014;0
Dados de Fomento - Gravimetria (km2);2015;0
Dados de Fomento - Gravimetria (km2);2016;0
Dados de Fomento - Gravimetria (km2);2017;0
Dados de Fomento - Gravimetria (km2);2018;0
Dados de Fomento - Gravimetria (km2);2019;0
Dados de Fomento - Gravimetria (km2);2020;0
Dados de Fomento - Gravimetria (km2);2021;0
Dados de Fomento - Magnetometria (km);2012;1240
Dados de Fomento - Magnetometria (km);2013;1012
Dados de Fomento - Magnetometria (km);2014;1537,4
Dados de Fomento - Magnetometria (km);2015;576
Dados de Fomento - Magnetometria (km);2016;0
Dados de Fomento - Magnetometria (km);2017;0
