UNIDADES DA FEDERAÇÃO;ANO;PRODUÇÃO DE LGN
Amazonas;2012;6613
Amazonas;2013;5835,905861
Amazonas;2014;6085,422624
Amazonas;2015;6365,721717
Amazonas;2016;5794,160392
Amazonas;2017;5723,217625
Amazonas;2018;6225,043827
Amazonas;2019;5995
Amazonas;2020;5748,283361
Amazonas;2021;5405,501
Ceará;2012;28
Ceará;2013;68,48974109
Ceará;2014;57,3630672
Ceará;2015;27,51162894
Ceará;2016;0
Ceará;2017;0
Ceará;2018;0
Ceará;2021;0
Rio Grande do Norte;2012;1524
Rio Grande do Norte;2013;1469,758772
Rio Grande do Norte;2014;1337,968383
Rio Grande do Norte;2015;1143,657283
Rio Grande do Norte;2016;982,9337679
Rio Grande do Norte;2017;964,7184783
Rio Grande do Norte;2018;848,7473198
Rio Grande do Norte;2019;819
Rio Grande do Norte;2020;540,8834051
Rio Grande do Norte;2021;527,048
Alagoas;2012;568
Alagoas;2013;510,2128387
Alagoas;2014;515,8644531
Alagoas;2015;448,0141845
Alagoas;2016;597,7284562
Alagoas;2017;502,1171298
Alagoas;2018;514,224146
Alagoas;2019;369
Alagoas;2020;389,1180769
Alagoas;2021;296,029
Sergipe;2012;1042
Sergipe;2013;1149,27597
Sergipe;2014;1084,034916
Sergipe;2015;899,2906166
Sergipe;2016;639,2692422
Sergipe;2017;551,9249779
Sergipe;2018;453,7352006
Sergipe;2019;348
Sergipe;2020;105,7863835
Sergipe;2021;0
Bahia;2012;1506
Bahia;2013;1541,887112
Bahia;2014;1484,482016
Bahia;2015;1473,154376
Bahia;2016;1396,668595
Bahia;2017;960,0602198
Bahia;2018;936,2064109
Bahia;2019;880
Bahia;2020;674,196469
Bahia;2021;646,898
Espírito Santo;2012;2094
Espírito Santo;2013;4653,914363
Espírito Santo;2014;6140,076249
Espírito Santo;2015;5381,743406
Espírito Santo;2016;5789,482485
Espírito Santo;2017;5968,782035
Espírito Santo;2018;5475,707155
Espírito Santo;2019;5649
Espírito Santo;2020;5752,003909
Espírito Santo;2021;5096,657
Rio de Janeiro;2012;17699
Rio de Janeiro;2013;16513,66972
Rio de Janeiro;2014;15176,53663
Rio de Janeiro;2015;14318,53232
Rio de Janeiro;2016;10043,23525
Rio de Janeiro;2017;7509,36642
Rio de Janeiro;2018;5680,68593
Rio de Janeiro;2019;4330
Rio de Janeiro;2020;3220,278498
Rio de Janeiro;2021;3115,391
São Paulo;2012;1057
São Paulo;2013;1195,29695
São Paulo;2014;1593,61054
São Paulo;2015;2613,207177
São Paulo;2016;10163,9198
São Paulo;2017;18345,40567
São Paulo;2018;19047,5291
São Paulo;2019;19309
São Paulo;2020;20154,19103
São Paulo;2021;18053,018
