CONCESSIONÁRIO;PRODUÇÃO DE PETRÓLEO1;PRODUÇÃO DE GÁS NATURAL
3R Areia;171222,4;323,1
3R Macau;1751028,9;29902,7
3R Pescada;31641;20145,1
3R Rio Ventura;150297,4;6165,6
Alvopetro;20985;108308,6
Barra Energia;567188,1;4598,7
BGM;27754,1;22,1
Brasoil Manati;9391;117495,9
Chevron Brasil;1981259,8;12849
CNODC Brasil;3268432;151797
CNOOC Petroleum;3268432;151797
Dommo Energia;542140,4;1897,5
Enauta Energia;3564604,3;556014,7
Energizzi Energias;13723,4;268,6
Eneva;27663,5;2165197,3
EPG Brasil;2388,6;35,2
Equinor Energy;11872392,6;359022,5
Geopar - Geosol;25288,7;144,1
Geopark Brasil;9391;117495,9
Guto & Cacal;2948,2;9,5
Imetame;61304,7;75193,4
Imetame Lagoa Parda;116971,3;1578,5
IPI;4059;80,7
Karoon Brasil;4831298,5;31277,4
Maha Energy;996315,3;26388,4
Mandacaru Energia;31578,6;45,2
Newo;3648,3;3,7
Nord;742,2;1,2
Nova Petróleo;62876,2;692,9
NTF;3648,3;3,7
Oeste de Canoas;5180,9;32,9
ONGC Campos;3025668,5;28959,7
Origem;1158,6;10152,1
Perenco Brasil;2093656,2;11703,9
Perícia;1952;6,2
Petro Rio Jaguar;4734145;56503,5
Petro Rio O&G;5050483;19658,8
Petroborn;;14196,3
Petrobras;774931665,5;35332345,4
Petrogal Brasil;37317386,7;1661172
Petrom;33344,5;556,5
Petronas;14635364,4;169905,5
PetroRecôncavo;99304,9;3598,8
PetroRio;1057630,3;12623,2
Petrosynergy;118551,3;1831,9
Petro-Victory;10414,4;69
Phoenix Óleo & Gás;15524;504,8
Potiguar E&P;2393624,6;108420,5
QPI Brasil;2577421,3;24669,4
Recôncavo E&P;35311,7;347,2
Repsol Sinopec;24204002,9;1112387,5
Santana;4601,6;120,8
Seacrest SPE Cicaré;31077,7;154,7
SHB;124687,9;1929
Shell Brasil;128505915,7;5566983,2
Slim Drilling;16859,1;96,1
Sonangol Guanambi;2573,6;48,8
SPE Miranga;48209,9;25404,3
TotalEnergies EP;18335383;640206,9
Trident Energy;7528092,7;80966,6
Ubuntu Engenharia;4340,8;4,6
Vipetro;4860,2;11,6
