OPERADOR;PRODUÇÃO DE PETRÓLEO1;PRODUÇÃO DE GÁS NATURAL
3R Areia;171222,4;323,1
3R Macau;1771940,3;51184,7
3R Rio Ventura;291468,6;13546,8
Alvopetro;20985;108308,6
BGM;27754,1;22,1
Enauta Energia;4089532,8;31881,8
Energizzi Energias;18324,9;389,4
Eneva;27663,5;2165197,3
EPG Brasil;3067,5;56,8
Guto & Cacal;2948,2;9,6
Imetame;65363,7;75274,1
Imetame Lagoa Parda;116971,3;1578,5
Karoon Brasil;4831298,5;31277,4
Maha Energy;1016593,5;26813,3
Mandacaru Energia;63157,1;90,4
Newo;7296,6;7,5
Nord;742,2;1,2
Nova Petróleo;62876,2;692,9
Oeste de Canoas;10361,8;65,9
Origem;1158,6;10152,1
Origem Alagoas;591259;200614,7
Perenco Brasil;2093656,2;11703,9
Perícia;6506,6;20,7
Petro Rio Jaguar;5791775,3;69126,7
Petro Rio O&G;5592623,4;21556,3
Petroborn;0;14196,3
Petrobras;990729844,4;44762364,7
Petrom;53101;889,2
PetroRecôncavo;1181923,4;33892,8
Petrosynergy;118551,3;1831,9
Phoenix Óleo & Gás;15524;504,8
Potiguar E&P;2486194,3;109559,8
Recôncavo E&P;35311,7;347,2
Seacrest SPE Cicaré;468442,7;5305
Shell Brasil;11760340,1;117903,4
Slim Drilling;42147,8;240,1
SPE Miranga;255995,5;134396,8
TotalEnergies EP;19007790,7;742016,6
Trident Energy;7528092,7;80966,6
Ubuntu Engenharia;4340,8;4,6
Vipetro;4860,2;11,6
