UNIDADES DA FEDERAÇÃO;LOCALIZAÇÃO;ANO;PRODUÇÃO DE GÁS NATURAL
Amazonas;Terra;2012;4188,3
Amazonas;Terra;2013;4150,306
Amazonas;Terra;2014;4703,832
Amazonas;Terra;2015;5060,170806
Amazonas;Terra;2016;5106,161864
Amazonas;Terra;2017;4756,447366
Amazonas;Terra;2018;5215,971783
Amazonas;Terra;2019;5571,079
Amazonas;Terra;2020;4957,176762
Amazonas;Terra;2021;4957,092572
Maranhão;Terra;2012;0,4
Maranhão;Terra;2013;1419,659
Maranhão;Terra;2014;1968,438
Maranhão;Terra;2015;1565,326132
Maranhão;Terra;2016;1926,290142
Maranhão;Terra;2017;1617,242091
Maranhão;Terra;2018;1410,914469
Maranhão;Terra;2019;1395,128
Maranhão;Terra;2020;1350,388525
Maranhão;Terra;2021;2141,124113
Ceará;Terra;2012;0,4
Ceará;Terra;2013;0,331
Ceará;Terra;2014;0,356
Ceará;Terra;2015;0,4244182
Ceará;Terra;2016;0,4501874
Ceará;Terra;2017;0,3596354
Ceará;Terra;2018;0,30505939
Ceará;Terra;2019;0,344
Ceará;Terra;2020;0,34921915
Ceará;Terra;2021;0,313717
Ceará;Mar;2012;27,2
Ceará;Mar;2013;33,138
Ceará;Mar;2014;32,396
Ceará;Mar;2015;27,0728515
Ceará;Mar;2016;36,9340832
Ceará;Mar;2017;30,0869324
Ceará;Mar;2018;35,42096935
Ceará;Mar;2019;28,135
Ceará;Mar;2020;5,8875843
Ceará;Mar;2021;0
Rio Grande do Norte;Terra;2012;258,1
Rio Grande do Norte;Terra;2013;277,5
Rio Grande do Norte;Terra;2014;269,286
Rio Grande do Norte;Terra;2015;238,3758646
Rio Grande do Norte;Terra;2016;235,0091078
Rio Grande do Norte;Terra;2017;217,9865542
Rio Grande do Norte;Terra;2018;206,7279634
Rio Grande do Norte;Terra;2019;198,62
Rio Grande do Norte;Terra;2020;157,2488055
Rio Grande do Norte;Terra;2021;186,501076
Rio Grande do Norte;Mar;2012;305,1
Rio Grande do Norte;Mar;2013;268,374
Rio Grande do Norte;Mar;2014;220,614
Rio Grande do Norte;Mar;2015;188,344375
Rio Grande do Norte;Mar;2016;153,8174944
Rio Grande do Norte;Mar;2017;181,431443
Rio Grande do Norte;Mar;2018;144,6551512
Rio Grande do Norte;Mar;2019;136,185
Rio Grande do Norte;Mar;2020;87,73070053
Rio Grande do Norte;Mar;2021;58,379296
Alagoas;Terra;2012;508,5
Alagoas;Terra;2013;499,495
Alagoas;Terra;2014;460,225
Alagoas;Terra;2015;358,3682464
Alagoas;Terra;2016;355,8097079
Alagoas;Terra;2017;334,5894104
Alagoas;Terra;2018;346,0092296
Alagoas;Terra;2019;301,784
Alagoas;Terra;2020;268,6283882
Alagoas;Terra;2021;152,042349
Alagoas;Mar;2012;53,2
Alagoas;Mar;2013;86,835
Alagoas;Mar;2014;75,086
Alagoas;Mar;2015;69,0127715
Alagoas;Mar;2016;62,4714671
Alagoas;Mar;2017;57,104806
Alagoas;Mar;2018;61,47531602
Alagoas;Mar;2019;12,728
Alagoas;Mar;2020;40,88598215
Alagoas;Mar;2021;49,827263
Sergipe;Terra;2012;102,8
Sergipe;Terra;2013;92,992
Sergipe;Terra;2014;97,402
Sergipe;Terra;2015;83,2121601
Sergipe;Terra;2016;65,3368315
Sergipe;Terra;2017;50,0137291
Sergipe;Terra;2018;37,4468376
Sergipe;Terra;2019;40,419
Sergipe;Terra;2020;25,47990112
Sergipe;Terra;2021;16,548686
Sergipe;Mar;2012;927
Sergipe;Mar;2013;963,711
Sergipe;Mar;2014;960,59
Sergipe;Mar;2015;780,5979288
Sergipe;Mar;2016;883,8814035
Sergipe;Mar;2017;761,7714685
Sergipe;Mar;2018;753,8834955
Sergipe;Mar;2019;605,014
Sergipe;Mar;2020;147,9355219
Sergipe;Mar;2021;1,699851
Bahia;Terra;2012;970,8
Bahia;Terra;2013;989,884
Bahia;Terra;2014;934,051
Bahia;Terra;2015;997,2039301
Bahia;Terra;2016;931,1684541
Bahia;Terra;2017;808,7253735
Bahia;Terra;2018;764,7775136
Bahia;Terra;2019;759,103
Bahia;Terra;2020;691,8
Bahia;Terra;2021;807,874101
Bahia;Mar;2012;2245,9
Bahia;Mar;2013;2183,048
Bahia;Mar;2014;2162,624417
Bahia;Mar;2015;2043,563608
Bahia;Mar;2016;1793,06883
Bahia;Mar;2017;1778,633558
Bahia;Mar;2018;1788,151842
Bahia;Mar;2019;1323,6
Bahia;Mar;2020;871,262525
Bahia;Mar;2021;1175,02637
Espírito Santo;Terra;2012;93,6
Espírito Santo;Terra;2013;81,847
Espírito Santo;Terra;2014;73,939
Espírito Santo;Terra;2015;85,7892253
Espírito Santo;Terra;2016;79,9787442
Espírito Santo;Terra;2017;62,8697517
Espírito Santo;Terra;2018;31,12879393
Espírito Santo;Terra;2019;32,016
Espírito Santo;Terra;2020;26,99874638
Espírito Santo;Terra;2021;26,125357
Espírito Santo;Mar;2012;3814,3
Espírito Santo;Mar;2013;4333,497
Espírito Santo;Mar;2014;4675,602
Espírito Santo;Mar;2015;4028,572919
Espírito Santo;Mar;2016;3814,742964
Espírito Santo;Mar;2017;3958,721745
