UNIDADES DA FEDERAÇÃO;TIPO;ANO;PRODUÇÃO DE GÁS NATURAL
Amazonas;Associado;2012;4107,324899
Amazonas;Associado;2013;4051,784
Amazonas;Associado;2014;4335,842616
Amazonas;Associado;2015;4445,573747
Amazonas;Associado;2016;4390,751012
Amazonas;Associado;2017;3842,558665
Amazonas;Associado;2018;3731,262898
Amazonas;Associado;2019;3881
Amazonas;Associado;2020;3294,672835
Amazonas;Associado;2021;3561,083369
Amazonas;Não associado;2012;80,9553806
Amazonas;Não associado;2013;98,522
Amazonas;Não associado;2014;367,9895508
Amazonas;Não associado;2015;614,5970596
Amazonas;Não associado;2016;715,4108514
Amazonas;Não associado;2017;913,8887007
Amazonas;Não associado;2018;1484,708885
Amazonas;Não associado;2019;1690
Amazonas;Não associado;2020;1662,503927
Amazonas;Não associado;2021;1396,009203
Maranhão;Associado;2012;0
Maranhão;Associado;2013;0
Maranhão;Associado;2014;0
Maranhão;Associado;2015;0
Maranhão;Associado;2016;0
Maranhão;Associado;2017;0
Maranhão;Associado;2018;0
Maranhão;Associado;2019;0
Maranhão;Associado;2020;0,0531916
Maranhão;Associado;2021;0,065896
Maranhão;Não associado;2012;0,3810823
Maranhão;Não associado;2013;1419,659
Maranhão;Não associado;2014;1968,438088
Maranhão;Não associado;2015;1565,326132
Maranhão;Não associado;2016;1926,290142
Maranhão;Não associado;2017;1617,242091
Maranhão;Não associado;2018;1410,914469
Maranhão;Não associado;2019;1395
Maranhão;Não associado;2020;1350,335333
Maranhão;Não associado;2021;2141,058217
Ceará;Associado;2012;27,5517389
Ceará;Associado;2013;33,469
Ceará;Associado;2014;32,751646
Ceará;Associado;2015;27,4972697
Ceará;Associado;2016;37,3842706
Ceará;Associado;2017;30,4465678
Ceará;Associado;2018;35,63151854
Ceará;Associado;2019;28
Ceará;Associado;2020;6,23680345
Ceará;Associado;2021;0,313717
Rio Grande do Norte;Associado;2012;432,6465544
Rio Grande do Norte;Associado;2013;417,697
Rio Grande do Norte;Associado;2014;391,4626873
Rio Grande do Norte;Associado;2015;357,3128665
Rio Grande do Norte;Associado;2016;316,3106816
Rio Grande do Norte;Associado;2017;304,5617447
Rio Grande do Norte;Associado;2018;280,8076717
Rio Grande do Norte;Associado;2019;277
Rio Grande do Norte;Associado;2020;205,0605518
Rio Grande do Norte;Associado;2021;223,221777
Rio Grande do Norte;Não associado;2012;130,5629682
Rio Grande do Norte;Não associado;2013;128,208
Rio Grande do Norte;Não associado;2014;98,4376418
Rio Grande do Norte;Não associado;2015;69,4073733
Rio Grande do Norte;Não associado;2016;72,5159208
Rio Grande do Norte;Não associado;2017;94,8562532
Rio Grande do Norte;Não associado;2018;70,57544291
Rio Grande do Norte;Não associado;2019;58
Rio Grande do Norte;Não associado;2020;39,91895426
Rio Grande do Norte;Não associado;2021;21,658595
Alagoas;Associado;2012;170,004665
Alagoas;Associado;2013;136,169
Alagoas;Associado;2014;135,8897213
Alagoas;Associado;2015;146,3951454
Alagoas;Associado;2016;126,9363913
Alagoas;Associado;2017;87,6319705
Alagoas;Associado;2018;82,78180777
Alagoas;Associado;2019;71
Alagoas;Associado;2020;78,07658887
Alagoas;Associado;2021;57,323283
Alagoas;Não associado;2012;391,6578734
Alagoas;Não associado;2013;450,16
Alagoas;Não associado;2014;399,4209314
Alagoas;Não associado;2015;280,9858731
Alagoas;Não associado;2016;291,3447843
Alagoas;Não associado;2017;304,0622463
Alagoas;Não associado;2018;324,7027379
Alagoas;Não associado;2019;243
Alagoas;Não associado;2020;231,4377815
Alagoas;Não associado;2021;144,546329
Sergipe;Associado;2012;907,7996273
Sergipe;Associado;2013;946,119
Sergipe;Associado;2014;956,6023234
Sergipe;Associado;2015;763,6350191
Sergipe;Associado;2016;860,7012099
Sergipe;Associado;2017;730,0507074
Sergipe;Associado;2018;726,3867559
Sergipe;Associado;2019;587
Sergipe;Associado;2020;154,9728864
Sergipe;Associado;2021;18,248753
Sergipe;Não associado;2012;122,0494441
Sergipe;Não associado;2013;110,584
Sergipe;Não associado;2014;101,3885943
Sergipe;Não associado;2015;100,1750699
Sergipe;Não associado;2016;88,5170256
Sergipe;Não associado;2017;81,7344903
Sergipe;Não associado;2018;64,94357717
Sergipe;Não associado;2019;58
Sergipe;Não associado;2020;18,44253663
Sergipe;Não associado;2021;0
Bahia;Associado;2012;536,578198
Bahia;Associado;2013;541,256
Bahia;Associado;2014;562,0836506
Bahia;Associado;2015;671,697643
Bahia;Associado;2016;614,5991826
Bahia;Associado;2017;542,896513
Bahia;Associado;2018;519,8809461
Bahia;Associado;2019;507
Bahia;Associado;2020;430,5333766
Bahia;Associado;2021;432,331006
Bahia;Não associado;2012;2680,16389
Bahia;Não associado;2013;2631,676
Bahia;Não associado;2014;2534,591548
Bahia;Não associado;2015;2369,069896
Bahia;Não associado;2016;2109,638102
Bahia;Não associado;2017;2044,462419
Bahia;Não associado;2018;2033,048409
Bahia;Não associado;2019;1576
Bahia;Não associado;2020;1132,532831
Bahia;Não associado;2021;1550,569465
Espírito Santo;Associado;2012;1819,501117
Espírito Santo;Associado;2013;2612,281
Espírito Santo;Associado;2014;3191,523803
Espírito Santo;Associado;2015;3350,277041
Espírito Santo;Associado;2016;3406,528189
Espírito Santo;Associado;2017;3326,842071
Espírito Santo;Associado;2018;2946,941499
Espírito Santo;Associado;2019;2441
Espírito Santo;Associado;2020;2093,595466
Espírito Santo;Associado;2021;1750,879801
Espírito Santo;Não associado;2012;2088,463149
Espírito Santo;Não associado;2013;1803,062
Espírito Santo;Não associado;2014;1558,017483
Espírito Santo;Não associado;2015;764,085103
Espírito Santo;Não associado;2016;488,1935193
Espírito Santo;Não associado;2017;694,749426
Espírito Santo;Não associado;2018;515,9401765
Espírito Santo;Não associado;2019;231
Espírito Santo;Não associado;2020;210,2253245
Espírito Santo;Não associado;2021;246,444057
Rio de Janeiro;Associado;2012;9851,676669
Rio de Janeiro;Associado;2013;9555,956
Rio de Janeiro;Associado;2014;10503,12086
Rio de Janeiro;Associado;2015;13379,1789
Rio de Janeiro;Associado;2016;15746,43892
Rio de Janeiro;Associado;2017;18189,60906
Rio de Janeiro;Associado;2018;19881,98835
Rio de Janeiro;Associado;2019;24549
Rio de Janeiro;Associado;2020;29276,7592
Rio de Janeiro;Associado;2021;31205,82916
Rio de Janeiro;Não associado;2012;492,765578
Rio de Janeiro;Não associado;2013;449,831
Rio de Janeiro;Não associado;2014;594,2320067
Rio de Janeiro;Não associado;2015;682,794549
Rio de Janeiro;Não associado;2016;866,6418632
Rio de Janeiro;Não associado;2017;425,5279257
Rio de Janeiro;Não associado;2018;315,6524955
Rio de Janeiro;Não associado;2019;438
Rio de Janeiro;Não associado;2020;289,8650138
Rio de Janeiro;Não associado;2021;17,508779
São Paulo;Associado;2012;85,8597975
São Paulo;Associado;2013;472,568
São Paulo;Associado;2014;1291,554224
São Paulo;Associado;2015;2476,745323
São Paulo;Associado;2016;3042,034993
São Paulo;Associado;2017;3908,003539
São Paulo;Associado;2018;4166,773442
São Paulo;Associado;2019;4154
São Paulo;Associado;2020;4021,845574
São Paulo;Associado;2021;4400,621599
São Paulo;Não associado;2012;1906,289818
São Paulo;Não associado;2013;2315,244
São Paulo;Não associado;2014;2871,527329
São Paulo;Não associado;2015;3061,692986
São Paulo;Não associado;2016;2790,213224
São Paulo;Não associado;2017;2978,25811
São Paulo;Não associado;2018;2264,234629
São Paulo;Não associado;2019;2540
São Paulo;Não associado;2020;2134,139977
São Paulo;Não associado;2021;1656,613954
