UNIDADES DA FEDERAÇÃO;LOCALIZAÇÃO;ANO;QUEIMA E PERDA DE GÁS NATURAL
Amazonas;Terra;2012;216,3
Amazonas;Terra;2013;171,773
Amazonas;Terra;2014;114,4956801
Amazonas;Terra;2015;82,21039379
Amazonas;Terra;2016;109,975106
Amazonas;Terra;2017;99,4521259
Amazonas;Terra;2018;66,58691974
Amazonas;Terra;2019;81,944
Amazonas;Terra;2020;69,41946275
Amazonas;Terra;2021;76,77129
Maranhão;Terra;2012;0,4
Maranhão;Terra;2013;6,958
Maranhão;Terra;2014;2,2779601
Maranhão;Terra;2015;2,72848412
Maranhão;Terra;2016;2,0411969
Maranhão;Terra;2017;3,8702818
Maranhão;Terra;2018;2,41346601
Maranhão;Terra;2019;3,78
Maranhão;Terra;2020;5,18638022
Maranhão;Terra;2021;6,701579
Ceará;Terra;2012;0,4
Ceará;Terra;2013;0,331
Ceará;Terra;2014;0,3560447
Ceará;Terra;2015;0,42466169
Ceará;Terra;2016;0,4504716
Ceará;Terra;2017;0,3599523
Ceará;Terra;2018;0,30537194
Ceará;Terra;2019;0,344
Ceará;Terra;2020;0,34946674
Ceará;Terra;2021;0,31394
Ceará;Mar;2012;2,4
Ceará;Mar;2013;2,415
Ceará;Mar;2014;3,428408
Ceará;Mar;2015;4,934257
Ceará;Mar;2016;2,8345988
Ceará;Mar;2017;1,9297249
Ceará;Mar;2018;2,19025468
Ceará;Mar;2019;2,252
Ceará;Mar;2020;0,43694493
Ceará;Mar;2021;0
Rio Grande do Norte;Terra;2012;16,1
Rio Grande do Norte;Terra;2013;17,043
Rio Grande do Norte;Terra;2014;17,5191247
Rio Grande do Norte;Terra;2015;22,44966522
Rio Grande do Norte;Terra;2016;22,5771177
Rio Grande do Norte;Terra;2017;20,3584351
Rio Grande do Norte;Terra;2018;15,57425256
Rio Grande do Norte;Terra;2019;15,31
Rio Grande do Norte;Terra;2020;16,04144635
Rio Grande do Norte;Terra;2021;21,978138
Rio Grande do Norte;Mar;2012;5,6
Rio Grande do Norte;Mar;2013;5,087
Rio Grande do Norte;Mar;2014;4,3386849
Rio Grande do Norte;Mar;2015;4,86296985
Rio Grande do Norte;Mar;2016;4,8786969
Rio Grande do Norte;Mar;2017;4,4887763
Rio Grande do Norte;Mar;2018;3,79376849
Rio Grande do Norte;Mar;2019;2,323
Rio Grande do Norte;Mar;2020;1,74756194
Rio Grande do Norte;Mar;2021;0,593754
Alagoas;Terra;2012;5,4
Alagoas;Terra;2013;5,439
Alagoas;Terra;2014;5,3542224
Alagoas;Terra;2015;6,16179552
Alagoas;Terra;2016;6,0392986
Alagoas;Terra;2017;6,3025795
Alagoas;Terra;2018;5,95754299
Alagoas;Terra;2019;5,643
Alagoas;Terra;2020;5,78114776
Alagoas;Terra;2021;5,52215
Sergipe;Terra;2012;13,2
Sergipe;Terra;2013;10,622
Sergipe;Terra;2014;8,8311798
Sergipe;Terra;2015;9,47762287
Sergipe;Terra;2016;6,9736966
Sergipe;Terra;2017;5,5507972
Sergipe;Terra;2018;6,74342091
Sergipe;Terra;2019;7,462
Sergipe;Terra;2020;7,59184374
Sergipe;Terra;2021;6,17762
Sergipe;Mar;2012;19,1
Sergipe;Mar;2013;19,649
Sergipe;Mar;2014;23,3841761
Sergipe;Mar;2015;23,36078548
Sergipe;Mar;2016;22,7628659
Sergipe;Mar;2017;19,7858568
Sergipe;Mar;2018;16,77316425
Sergipe;Mar;2019;17,833
Sergipe;Mar;2020;16,2794745
Sergipe;Mar;2021;0,654551
Bahia;Terra;2012;32,8
Bahia;Terra;2013;40,367
Bahia;Terra;2014;46,5283153
Bahia;Terra;2015;36,74639879
Bahia;Terra;2016;34,5022987
Bahia;Terra;2017;26,6026019
Bahia;Terra;2018;23,38220934
Bahia;Terra;2019;24,545
Bahia;Terra;2020;28,38219653
Bahia;Terra;2021;24,237457
Bahia;Mar;2012;1,3
Bahia;Mar;2013;1,585
Bahia;Mar;2014;1,1532854
Bahia;Mar;2015;2,51051008
Bahia;Mar;2016;1,2366085
Bahia;Mar;2017;1,0529325
Bahia;Mar;2018;1,21739369
Bahia;Mar;2019;1,514
Bahia;Mar;2020;1,1606044
Bahia;Mar;2021;2,202358
Espírito Santo;Terra;2012;8,6
Espírito Santo;Terra;2013;9,345
Espírito Santo;Terra;2014;8,487278
Espírito Santo;Terra;2015;8,45794336
Espírito Santo;Terra;2016;8,453742
Espírito Santo;Terra;2017;7,0135146
Espírito Santo;Terra;2018;5,90381826
Espírito Santo;Terra;2019;6,693
Espírito Santo;Terra;2020;5,70152078
Espírito Santo;Terra;2021;5,322179
Espírito Santo;Mar;2012;206,2
Espírito Santo;Mar;2013;125,044
Espírito Santo;Mar;2014;270,745213
