GRAVIDADE;ANO;QUANTIDADE
Graves;2012;6
Moderados;2012;171
Leves;2012;575
Graves;2013;16
Moderados;2013;214
Leves;2013;725
Graves;2014;21
Moderados;2014;228
Leves;2014;1588
Graves;2015;9
Moderados;2015;220
Leves;2015;1973
Graves;2016;8
Moderados;2016;228
Leves;2016;2612
Graves;2017;21
Moderados;2017;230
Leves;2017;1795
Graves;2018;14
Moderados;2018;224
Leves;2018;1748
Graves;2019;16
Moderados;2019;221
Leves;2019;2103
Graves;2020;17
Moderados;2020;209
Leves;2020;1636
Graves;2021;11
Moderados;2021;222
Leves;2021;2433
