VARIÁVEL;ANO;VALOR
Ações de fiscalização offshore;2012;35
Ações de fiscalização onshore;2012;6
Ações de fiscalização offshore;2013;26
Ações de fiscalização onshore;2013;3
Ações de fiscalização offshore;2014;44
Ações de fiscalização onshore;2014;10
Ações de fiscalização offshore;2015;50
Ações de fiscalização onshore;2015;12
Ações de fiscalização offshore;2016;75
Ações de fiscalização onshore;2016;15
Ações de fiscalização offshore;2017;68
Ações de fiscalização onshore;2017;15
Ações de fiscalização offshore;2018;71
Ações de fiscalização onshore;2018;14
Ações de fiscalização offshore;2019;75
Ações de fiscalização onshore;2019;19
Ações de fiscalização offshore;2020;59
Ações de fiscalização onshore;2020;12
Número de autuações;2020;78
Número de interdições;2020;7
Ações de fiscalização offshore;2021;39
Ações de fiscalização onshore;2021;9
Número de autuações;2021;67
Número de interdições;2021;7
