BENIFICIÁRIO;ANO;DISTRIBUIÇÃO DE ROYALTIES SOBRE A PRODUÇÃO DE PETRÓLEO E DE GÁS NATURAL
Estado de Alagoas;2012;29170
Estado de Alagoas;2013;31574,77
Estado de Alagoas;2014;36992,8147
Estado de Alagoas;2015;27547,54381
Estado de Alagoas;2016;22606,50137
Estado de Alagoas;2017;22204,34408
Estado de Alagoas;2018;24711,96505
Estado de Alagoas;2019;22352,29076
Estado de Alagoas;2020;19522,9624
Estado de Alagoas;2021;23690,90512
Estado de Amazonas;2012;206733
Estado de Amazonas;2013;219185,21
Estado de Amazonas;2014;228724,3447
Estado de Amazonas;2015;164328,3288
Estado de Amazonas;2016;140204,0764
Estado de Amazonas;2017;151585,9285
Estado de Amazonas;2018;221484,9568
Estado de Amazonas;2019;199713,8032
Estado de Amazonas;2020;170162,5855
Estado de Amazonas;2021;307951,4578
Estado de Maranhão;2012;0
Estado de Maranhão;2013;20803,71
Estado de Maranhão;2014;48605,04099
Estado de Maranhão;2015;32805,79268
Estado de Maranhão;2016;35617,70281
Estado de Maranhão;2017;35497,61903
Estado de Maranhão;2018;50136,52852
Estado de Maranhão;2019;24474,38163
Estado de Maranhão;2020;33471,20729
Estado de Maranhão;2021;110909,8741
Estado de Bahia;2012;222987
Estado de Bahia;2013;248270,74
Estado de Bahia;2014;260236,0642
Estado de Bahia;2015;176294,2221
Estado de Bahia;2016;139852,7291
Estado de Bahia;2017;145702,1186
Estado de Bahia;2018;193700,9966
Estado de Bahia;2019;175917,6303
Estado de Bahia;2020;140682,8571
Estado de Bahia;2021;216792,2962
Estado de Ceará;2012;14212
Estado de Ceará;2013;19148,19
Estado de Ceará;2014;17435,52627
Estado de Ceará;2015;11529,30182
Estado de Ceará;2016;9220,42328
Estado de Ceará;2017;9459,95873
Estado de Ceará;2018;14413,53497
Estado de Ceará;2019;12852,64257
Estado de Ceará;2020;5433,16281
Estado de Ceará;2021;3711,1349
Estado de Espírito Santo;2012;680014
Estado de Espírito Santo;2013;732467,3
