TIPO DE POÇO;LOCALIZAÇÃO;ANO;POÇOS PERFURADOS
Exploratório;Terra;2012;125
Exploratório;Terra;2013;77
Exploratório;Terra;2014;47
Exploratório;Terra;2015;51
Exploratório;Terra;2016;26
Exploratório;Terra;2017;20
Exploratório;Terra;2018;20
Exploratório;Terra;2019;21
Exploratório;Terra;2020;11
Exploratório;Terra;2021;14
Exploratório;Mar;2012;90
Exploratório;Mar;2013;45
Exploratório;Mar;2014;42
Exploratório;Mar;2015;26
Exploratório;Mar;2016;12
Exploratório;Mar;2017;6
Exploratório;Mar;2018;7
Exploratório;Mar;2019;9
Exploratório;Mar;2020;5
Exploratório;Mar;2021;8
    Pioneiro;Terra;2012;55
    Pioneiro;Terra;2013;32
    Pioneiro;Terra;2014;20
    Pioneiro;Terra;2015;17
    Pioneiro;Terra;2016;15
    Pioneiro;Terra;2017;12
    Pioneiro;Terra;2018;11
    Pioneiro;Terra;2019;13
    Pioneiro;Terra;2020;7
    Pioneiro;Terra;2021;12
    Pioneiro;Mar;2012;45
    Pioneiro;Mar;2013;14
    Pioneiro;Mar;2014;3
    Pioneiro;Mar;2015;2
    Pioneiro;Mar;2016;0
    Pioneiro;Mar;2017;0
    Pioneiro;Mar;2018;5
    Pioneiro;Mar;2019;2
    Pioneiro;Mar;2020;4
    Pioneiro;Mar;2021;8
   Estratigráfico;Terra;2012;0
   Estratigráfico;Terra;2013;1
   Estratigráfico;Terra;2014;0
   Estratigráfico;Terra;2015;3
   Estratigráfico;Terra;2016;1
   Estratigráfico;Terra;2017;0
   Estratigráfico;Terra;2018;0
   Estratigráfico;Terra;2019;0
   Estratigráfico;Terra;2020;0
   Estratigráfico;Terra;2021;0
   Estratigráfico;Mar;2012;0
   Estratigráfico;Mar;2013;0
   Estratigráfico;Mar;2014;0
   Estratigráfico;Mar;2015;0
   Estratigráfico;Mar;2016;0
   Estratigráfico;Mar;2017;0
   Estratigráfico;Mar;2018;0
   Estratigráfico;Mar;2019;0
   Estratigráfico;Mar;2020;0
   Estratigráfico;Mar;2021;0
   Extensão/Avaliação;Terra;2012;39
   Extensão/Avaliação;Terra;2013;27
   Extensão/Avaliação;Terra;2014;18
   Extensão/Avaliação;Terra;2015;20
   Extensão/Avaliação;Terra;2016;4
   Extensão/Avaliação;Terra;2017;3
   Extensão/Avaliação;Terra;2018;4
   Extensão/Avaliação;Terra;2019;6
   Extensão/Avaliação;Terra;2020;3
   Extensão/Avaliação;Terra;2021;2
   Extensão/Avaliação;Mar;2012;36
   Extensão/Avaliação;Mar;2013;27
   Extensão/Avaliação;Mar;2014;25
   Extensão/Avaliação;Mar;2015;22
   Extensão/Avaliação;Mar;2016;11
   Extensão/Avaliação;Mar;2017;3
