BENEFICIÁRIO;ANO;DISTRIBUIÇÃO DA PARTICIPAÇÃO ESPECIAL SOBRE A PRODUÇÃO DE PETRÓLEO E DE GÁS NATURAL
Estado de Alagoas;2012;0
Estado de Alagoas;2013;0
Estado de Alagoas;2014;0
Estado de Alagoas;2015;0
Estado de Alagoas;2016;0
Estado de Alagoas;2017;0
Estado de Alagoas;2018;0
Estado de Alagoas;2019;0
Estado de Alagoas;2020;0
Estado de Alagoas;2021;33,63064
Estado de Amazonas;2012;63005
Estado de Amazonas;2013;67162,07047
Estado de Amazonas;2014;69976,05878
Estado de Amazonas;2015;36510,86093
Estado de Amazonas;2016;23925,45141
Estado de Amazonas;2017;24967,50925
Estado de Amazonas;2018;44531,32527
Estado de Amazonas;2019;65669,81132
Estado de Amazonas;2020;32798,79051
Estado de Amazonas;2021;77188,72193
Estado de Bahia;2012;7270
Estado de Bahia;2013;8974,12327
Estado de Bahia;2014;10327,94896
Estado de Bahia;2015;7801,67413
Estado de Bahia;2016;6843,15577
Estado de Bahia;2017;3874,17418
Estado de Bahia;2018;6983,57652
Estado de Bahia;2019;1977,54805
Estado de Bahia;2020;1245,59862
Estado de Bahia;2021;1696,78531
Estado de Espírito Santo;2012;974169
Estado de Espírito Santo;2013;825667,6489
Estado de Espírito Santo;2014;936944,889
Estado de Espírito Santo;2015;733786,0785
Estado de Espírito Santo;2016;461987,6253
Estado de Espírito Santo;2017;720848,9822
Estado de Espírito Santo;2018;1082730,749
Estado de Espírito Santo;2019;2032431,401
Estado de Espírito Santo;2020;997072,6717
Estado de Espírito Santo;2021;1492118,299
Estado de Maranhão;2012;0
Estado de Maranhão;2013;0
Estado de Maranhão;2014;2177,78763
Estado de Maranhão;2015;3141,64551
Estado de Maranhão;2016;1300,18917
Estado de Maranhão;2017;398,15853
Estado de Maranhão;2018;9,00005
Estado de Maranhão;2019;0
Estado de Maranhão;2020;0
Estado de Maranhão;2021;0
Estado de Rio de Janeiro;2012;5268453
Estado de Rio de Janeiro;2013;5240161,457
Estado de Rio de Janeiro;2014;5492211,661
Estado de Rio de Janeiro;2015;2985883,106
Estado de Rio de Janeiro;2016;1507269,621
Estado de Rio de Janeiro;2017;4469593,335
Estado de Rio de Janeiro;2018;9111788,522
Estado de Rio de Janeiro;2019;8886891,701
Estado de Rio de Janeiro;2020;6996496,185
Estado de Rio de Janeiro;2021;11588107,69
Estado de Rio Grande do Norte;2012;16085
Estado de Rio Grande do Norte;2013;21241,5023
Estado de Rio Grande do Norte;2014;19977,51266
Estado de Rio Grande do Norte;2015;4567,28428
Estado de Rio Grande do Norte;2016;170,14513
Estado de Rio Grande do Norte;2017;0
Estado de Rio Grande do Norte;2018;0
Estado de Rio Grande do Norte;2019;0
Estado de Rio Grande do Norte;2020;0
Estado de Rio Grande do Norte;2021;746,43514
Estado de São Paulo;2012;0
Estado de São Paulo;2013;24297,94348
Estado de São Paulo;2014;187474,3501
Estado de São Paulo;2015;489870,0001
Estado de São Paulo;2016;338646,407
Estado de São Paulo;2017;857545,2422
Estado de São Paulo;2018;1580793,699
Estado de São Paulo;2019;1589590,436
Estado de São Paulo;2020;881580,7262
Estado de São Paulo;2021;1641237,11
Estado de Sergipe;2012;13087
Estado de Sergipe;2013;11369,18487
Estado de Sergipe;2014;11919,58811
Estado de Sergipe;2015;979,08944
Estado de Sergipe;2016;60,08122
Estado de Sergipe;2017;43,40517
Estado de Sergipe;2018;0
Estado de Sergipe;2019;0
Estado de Sergipe;2020;0
Estado de Sergipe;2021;376,08451
Município de Açu-RN;2012;0
Município de Açu-RN;2013;0
Município de Açu-RN;2014;0
Município de Açu-RN;2015;0
Município de Açu-RN;2016;0
Município de Açu-RN;2017;0
Município de Açu-RN;2018;0
Município de Açu-RN;2019;0
Município de Açu-RN;2020;0
Município de Açu-RN;2021;0,07966
Município de Alto do Rodrigues-RN;2012;0
Município de Alto do Rodrigues-RN;2013;0
Município de Alto do Rodrigues-RN;2014;0
Município de Alto do Rodrigues-RN;2015;0
Município de Alto do Rodrigues-RN;2016;0
Município de Alto do Rodrigues-RN;2017;0
Município de Alto do Rodrigues-RN;2018;0
Município de Alto do Rodrigues-RN;2019;0
Município de Alto do Rodrigues-RN;2020;0
Município de Alto do Rodrigues-RN;2021;0,02598
Município de Anchieta-ES;2012;0
Município de Anchieta-ES;2013;1,99275
Município de Anchieta-ES;2014;122,07507
Município de Anchieta-ES;2015;108,34577
Município de Anchieta-ES;2016;0
Município de Anchieta-ES;2017;0
Município de Anchieta-ES;2018;0
Município de Anchieta-ES;2019;29,71579
Município de Anchieta-ES;2020;0
Município de Anchieta-ES;2021;0
Município de Aracruz-ES;2012;0
Município de Aracruz-ES;2013;0
Município de Aracruz-ES;2014;0
Município de Aracruz-ES;2015;0
Município de Aracruz-ES;2016;0
Município de Aracruz-ES;2017;0
Município de Aracruz-ES;2018;0
Município de Aracruz-ES;2019;0
Município de Aracruz-ES;2020;0
Município de Aracruz-ES;2021;0,16604
Município de Araruama-RJ;2012;0
Município de Araruama-RJ;2013;0
Município de Araruama-RJ;2014;0
Município de Araruama-RJ;2015;0
Município de Araruama-RJ;2017;0
Município de Araruama-RJ;2018;0
Município de Araruama-RJ;2019;149,12652
Município de Araruama-RJ;2020;301,92415
Município de Araruama-RJ;2021;320,79703
Município de Areia Branca-RN;2012;735
Município de Areia Branca-RN;2013;992,59795
Município de Areia Branca-RN;2014;925,46409
Município de Areia Branca-RN;2015;199,66884
Município de Areia Branca-RN;2016;8,15152
Município de Areia Branca-RN;2017;0
Município de Areia Branca-RN;2018;0
Município de Areia Branca-RN;2019;0
Município de Areia Branca-RN;2020;0
Município de Areia Branca-RN;2021;31,32289
Município de Armação dos Búzios-RJ;2012;19758
Município de Armação dos Búzios-RJ;2013;21720,96745
Município de Armação dos Búzios-RJ;2014;20349,30418
Município de Armação dos Búzios-RJ;2015;4368,13729
Município de Armação dos Búzios-RJ;2016;736,41762
Município de Armação dos Búzios-RJ;2017;2732,36579
Município de Armação dos Búzios-RJ;2018;7219,91514
Município de Armação dos Búzios-RJ;2019;6149,59464
Município de Armação dos Búzios-RJ;2020;451,05051
Município de Armação dos Búzios-RJ;2021;3912,73541
Município de Arraial do Cabo-RJ;2012;105
Município de Arraial do Cabo-RJ;2013;696,4669
Município de Arraial do Cabo-RJ;2014;1253,39129
Município de Arraial do Cabo-RJ;2015;172,00264
Município de Arraial do Cabo-RJ;2016;0
Município de Arraial do Cabo-RJ;2017;27,88105
Município de Arraial do Cabo-RJ;2018;823,34389
Município de Arraial do Cabo-RJ;2019;1271,65045
Município de Arraial do Cabo-RJ;2020;464,75117
Município de Arraial do Cabo-RJ;2021;538,32515
Município de Augusto Severo-RN;2012;0
Município de Augusto Severo-RN;2013;3,589
Município de Augusto Severo-RN;2014;3,76804
Município de Augusto Severo-RN;2015;0,60298
Município de Augusto Severo-RN;2016;0
Município de Augusto Severo-RN;2017;0
