ETAPAS;ANO;NÚMERO DE CAMPOS OU BLOCOS;PAGAMENTO
Exploração;2012;287;70291426
Desenvolvimento;2012;75;6375891
Produção;2012;341;129894646
Exploração;2015;360;52585265
Desenvolvimento;2015;69;7671615
Produção;2015;369;161470364
Exploração;2018;365;76413040
Desenvolvimento;2018;60;4970738
Produção;2018;372;195202891
Exploração;2021;246;106933781
Desenvolvimento;2021;45;4658021
Produção;2021;384;276184262
Exploração;2013;354;66693303
Desenvolvimento;2013;88;6606487
Produção;2013;356;145842422
Exploração;2016;341;61516716
Desenvolvimento;2016;69;6988760
Produção;2016;381;177509111
Exploração;2019;320;85490366
Desenvolvimento;2019;51;4224694
Produção;2019;376;210085375
Exploração;2014;368;57779395
Desenvolvimento;2014;68;7089546
Produção;2014;363;153899997
Exploração;2017;324;64799552
Desenvolvimento;2017;54;4693201
Produção;2017;374;189784847
Exploração;2020;300;94221454
Desenvolvimento;2020;65;4393043
Produção;2020;399;218713263
