UNIDADES DA  FEDERAÇÃO;ANO;NÚMERO DE PROPRIETÁRIOS REGULARIZADOS1;PAGAMENTO  TOTAL2
Amazonas;2012;1;33946406
Maranhão;2012;0;0
Ceará;2012;4;840167
Rio Grande do Norte;2012;1120;41581130
Alagoas;2012;54;4936134
Sergipe;2012;243;17323971
Bahia;2012;460;23887190
Espírito Santo;2012;116;10563050
Amazonas;2015;1;27703278
Maranhão;2015;6;5356661
Ceará;2015;4;620478
Rio Grande do Norte;2015;1252;29105245
Alagoas;2015;51;4553128
Sergipe;2015;253;9257904
Bahia;2015;469;18315300
Espírito Santo;2015;100;8920456
Amazonas;2018;1;36968597
Maranhão;2018;18;8253966
Ceará;2018;2;805721
Rio Grande do Norte;2018;1337;34074983
Alagoas;2018;41;4056760
Sergipe;2018;222;8275023
Bahia;2018;504;19455578
Espírito Santo;2018;89;7913261
Amazonas;2021;1;50273865
Maranhão;2021;19;17689175
Ceará;2021;2;746375
Rio Grande do Norte;2021;816;32331799
Alagoas;2021;55;3864138
Sergipe;2021;176;8450162
Bahia;2021;495;30415747
Espírito Santo;2021;55;815117
Amazonas;2013;1;36093650
Maranhão;2013;1;3428035
Ceará;2013;5;774296
Rio Grande do Norte;2013;1149;46629747
Alagoas;2013;51;5203603
Sergipe;2013;241;15914226
Bahia;2013;453;26352243
Espírito Santo;2013;126;11185260
Amazonas;2016;1;23274264
Maranhão;2016;15;5768695
Ceará;2016;2;507228
Rio Grande do Norte;2016;1370;29957870
Alagoas;2016;45;3897018
Sergipe;2016;236;6640778
Bahia;2016;475;14038818
Espírito Santo;2016;102;5242389
Amazonas;2019;1;33314265
Maranhão;2019;18;29618937
Ceará;2019;2;633314
Rio Grande do Norte;2019;1307;6665727
Alagoas;2019;44;3824014
Sergipe;2019;220;3988998
Bahia;2019;527;21331514
Espírito Santo;2019;79;4455947
Amazonas;2014;1;37875724
Maranhão;2014;5;7848073
Ceará;2014;5;813107
Rio Grande do Norte;2014;1244;44971450
Alagoas;2014;50;6129634
Sergipe;2014;244;15114771
Bahia;2014;491;27087927
Espírito Santo;2014;102;10561347
Amazonas;2017;1;25213455
Maranhão;2017;19;5797174
Ceará;2017;2;560364
Rio Grande do Norte;2017;1356;23589102
Alagoas;2017;48;3753573
Sergipe;2017;243;6912322
Bahia;2017;501;14876084
Espírito Santo;2017;98;5533453
Amazonas;2020;1;28156514
Maranhão;2020;20;5948328
Ceará;2020;2;461018
Rio Grande do Norte;2020;1348;22399773
Alagoas;2020;206;3266451
Sergipe;2020;43;5522705
Bahia;2020;509;21169806
Espírito Santo;2020;64;479069
