CONCESSIONÁRIO;ANO;OBRIGAÇÃO DE INVESTIMENTOS EM PD&I
Petrobras ;2012;1148808
Petrobras ;2013;1161893,867
Petrobras ;2014;1247773,837
Petrobras ;2015;898330,723
Petrobras ;2016;715251,624
Petrobras ;2017;1034299,398
Petrobras ;2018;1524521,901
Petrobras ;2019;1423701,807
Petrobras ;2020;1078681,28
Petrobras ;2021;2258906,371
Petronas;2012;0
Petronas;2013;0
Petronas;2014;0
Petronas;2015;0
Petronas;2016;0
Petronas;2017;0
Petronas;2018;0
Petronas;2020;32236,194
Petronas;2021;52810,26908
Shell ;2012;20308
Shell ;2013;23415,12347
Shell ;2014;58897,29097
Shell ;2015;78185,90438
Shell ;2016;94928,456
Shell ;2017;164175,3469
Shell ;2018;277049,806
Shell ;2019;284256,368
Shell ;2020;237410,322
Shell ;2021;419096,1825
Repsol-Sinopec;2012;4888
Repsol-Sinopec;2013;4161,681377
Repsol-Sinopec;2014;18733,93128
Repsol-Sinopec;2015;28305,57326
Repsol-Sinopec;2016;23288,81183
Repsol-Sinopec;2017;40469,54902
Repsol-Sinopec;2018;59178,87567
Repsol-Sinopec;2019;51074,856
Repsol-Sinopec;2020;38561,724
Repsol-Sinopec;2021;77917,25639
Enauta;2012;4007
Enauta;2013;4424,486584
Enauta;2014;4806,006754
Enauta;2015;4369,645526
Enauta;2016;4111,888749
Enauta;2017;4450,971624
Enauta;2018;4747,393508
Enauta;2019;2074,833738
Enauta;2020;1026,414
Enauta;2021;2732,91907
Geopark Brasil;2012;890
Geopark Brasil;2013;983,2192408
Geopark Brasil;2014;1068,001501
Geopark Brasil;2015;971,0323392
Geopark Brasil;2016;913,7530553
Geopark Brasil;2017;989,1048054
Geopark Brasil;2018;1054,976
Geopark Brasil;2019;461,074
Geopark Brasil;2020;228,092
Geopark Brasil;2021;607,31534
PetroRio Coral;2012;890
PetroRio Coral;2013;983,2192408
PetroRio Coral;2014;1068,001501
PetroRio Coral;2015;971,0323392
PetroRio Coral;2016;913,7530553
PetroRio Coral;2017;989,1048054
PetroRio Coral;2018;1054,976
PetroRio Coral;2019;461,074
PetroRio Coral;2020;228,092
PetroRio Coral;2021;607,31534
PetroRio Jaguar;2012;4692
PetroRio Jaguar;2013;0
PetroRio Jaguar;2014;0
PetroRio Jaguar;2015;0
PetroRio Jaguar;2016;0
PetroRio Jaguar;2017;0
PetroRio Jaguar;2018;0
PetroRio Jaguar;2019;0
PetroRio Jaguar;2020;0
PetroRio Jaguar;2021;0
PetroRio White Shark;2012;1656
PetroRio White Shark;2013;0
PetroRio White Shark;2014;0
PetroRio White Shark;2015;0
PetroRio White Shark;2016;0
PetroRio White Shark;2017;0
PetroRio White Shark;2018;0
PetroRio White Shark;2019;0
PetroRio White Shark;2020;0
PetroRio White Shark;2021;0
Petrogal;2012;6951
Petrogal;2013;9366,049389
Petrogal;2014;13580,62302
Petrogal;2015;19032,67599
Petrogal;2016;28018,676
Petrogal;2017;47488,83578
Petrogal;2018;81833,90741
Petrogal;2019;86677,99811
Petrogal;2020;74989,348
Petrogal;2021;128439,0878
Equinor;2012;19657
Equinor;2013;31827,89773
Equinor;2014;31730,9029
Equinor;2015;15244,324
Equinor;2016;0
Equinor;2017;5566,122692
Equinor;2018;53694,72697
Equinor;2019;52723,586
Equinor;2020;6520,826
Equinor;2021;44129,53207
Sinochem;2012;13104
Sinochem;2013;21218,59848
Sinochem;2014;21153,93527
Sinochem;2015;10162,883
Sinochem;2016;0
Sinochem;2017;3710,748461
Sinochem;2018;19712,61532
Sinochem;2019;17459,859
Sinochem;2020;0
Sinochem;2021;0
ONGC Campos;2012;879
ONGC Campos;2013;0
ONGC Campos;2014;4072,447269
ONGC Campos;2015;0
ONGC Campos;2016;0
ONGC Campos;2017;0
ONGC Campos;2018;0
ONGC Campos;2019;0
ONGC Campos;2020;0
ONGC Campos;2021;0
Eneva;2012;0
Eneva;2013;1712,574282
Eneva;2014;8925,466
Eneva;2015;5121,560671
Eneva;2016;2124,675035
Eneva;2017;691,0122062
Eneva;2018;0
Eneva;2019;0
Eneva;2020;0
Eneva;2021;1966,68531
QPI Brasil Petróleo;2012;0
QPI Brasil Petróleo;2013;0
QPI Brasil Petróleo;2014;3469,121747
QPI Brasil Petróleo;2015;0
QPI Brasil Petróleo;2016;0
QPI Brasil Petróleo;2017;0
QPI Brasil Petróleo;2018;0
QPI Brasil Petróleo;2019;0
QPI Brasil Petróleo;2020;0
QPI Brasil Petróleo;2021;0
Total E&P Brasil;2012;0
Total E&P Brasil;2013;0
Total E&P Brasil;2014;0
Total E&P Brasil;2015;0
Total E&P Brasil;2016;0
Total E&P Brasil;2017;10,54364707
Total E&P Brasil;2018;4822,619448
Total E&P Brasil;2019;6271,545
Total E&P Brasil;2020;3662,882
Total E&P Brasil;2021;18194,61654
CNODC;2012;0
CNODC;2013;0
CNODC;2014;0
CNODC;2015;0
CNODC;2016;0
CNODC;2017;5,27182
CNODC;2018;2411,30972
CNODC;2019;3135,772
CNODC;2020;1831,441
CNODC;2021;12643,60198
CNOOC;2012;0
CNOOC;2013;0
CNOOC;2014;0
CNOOC;2015;0
CNOOC;2016;0
CNOOC;2017;5,27182
CNOOC;2018;2411,30972
CNOOC;2019;3135,772
CNOOC;2020;1831,441
CNOOC;2021;12643,60198
