CAMPOS;ANO;OBRIGAÇÃO DE INVESTIMENTOS EM PD&I
Albacora;2012;53043
Albacora;2013;45933,62539
Albacora;2014;42951,56152
Albacora;2015;21169,96325
Albacora;2016;8647,86733
Albacora;2017;22044,42232
Albacora;2018;15621,59619
Albacora;2019;0
Albacora;2020;0
Albacora;2021;0
Albacora Leste;2012;48882
Albacora Leste;2013;41616,81372
Albacora Leste;2014;42304,60943
Albacora Leste;2015;28020,61256
Albacora Leste;2016;25540,08551
Albacora Leste;2017;26006,20856
Albacora Leste;2018;28101,93952
Albacora Leste;2019;0
Albacora Leste;2020;0
Albacora Leste;2021;9210,27667
Argonauta;2012;0
Argonauta;2013;0
Argonauta;2014;15083,13799
Argonauta;2015;0
Argonauta;2016;0
Argonauta;2017;0
Argonauta;2018;0
Argonauta;2019;0
Argonauta;2020;0
Argonauta;2021;0
Atapu;2012;0
Atapu;2013;18,9972
Atapu;2014;103,76237
Atapu;2015;2047,18964
Atapu;2016;13,40359
Atapu;2017;0
Atapu;2018;0
Atapu;2019;0
Atapu;2020;6196,66645
Atapu;2021;65235,45157
Baleia Azul;2012;0
Baleia Azul;2013;0
Baleia Azul;2014;42351,926
Baleia Azul;2015;36738,83807
Baleia Azul;2016;29138,24932
Baleia Azul;2017;28674,97725
Baleia Azul;2018;30624,37797
Baleia Azul;2019;0
Baleia Azul;2020;0
Baleia Azul;2021;0
Baleia Franca;2012;0
Baleia Franca;2013;0
Baleia Franca;2014;14218,48659
Baleia Franca;2015;13178,86012
Baleia Franca;2016;16483,37851
Baleia Franca;2017;21734,06094
Baleia Franca;2018;33473,23177
Baleia Franca;2019;0
Baleia Franca;2020;0
Baleia Franca;2021;0
Barracuda;2012;87680
Barracuda;2013;81598,15238
Barracuda;2014;67935,17311
Barracuda;2015;41809,68321
Barracuda;2016;25958,71235
Barracuda;2017;17269,9167
Barracuda;2018;53119,16859
Barracuda;2019;36066,96511
Barracuda;2020;7948,99212
Barracuda;2021;33072,28824
Baúna;2012;0
Baúna;2013;30535,38322
Baúna;2014;56255,99149
Baúna;2015;33549,44162
Baúna;2016;24091,68533
Baúna;2017;20177,05241
Baúna;2018;25905,15925
Baúna;2019;4952,60838
Baúna;2020;0
Baúna;2021;0
Búzios;2012;33
Búzios;2013;21,912
Búzios;2014;113,50399
Búzios;2015;2112,53378
Búzios;2016;2542,88402
Búzios;2017;651,51955
Búzios;2018;13385,65176
Búzios;2019;112084,7339
Búzios;2020;191399,8991
Búzios;2021;266893,8633
Búzios Eco;2012;0
Búzios Eco;2013;0
Búzios Eco;2014;0
Búzios Eco;2015;0
Búzios Eco;2016;0
Búzios Eco;2017;0
Búzios Eco;2018;0
Búzios Eco;2019;0
Búzios Eco;2020;0
Búzios Eco;2021;196842,156
Cachalote;2012;39376
Cachalote;2013;31748,96311
Cachalote;2014;25003,38232
Cachalote;2015;0
Cachalote;2016;0
Cachalote;2017;0
Cachalote;2018;0
Cachalote;2019;0
Cachalote;2020;0
Cachalote;2021;0
Canto do Amaro;2012;15539
Canto do Amaro;2013;17943,652
Canto do Amaro;2014;15869,83111
Canto do Amaro;2015;8633,69417
Canto do Amaro;2016;0
Canto do Amaro;2017;0
Canto do Amaro;2018;0
Canto do Amaro;2019;0
Canto do Amaro;2020;0
Canto do Amaro;2021;0
Caratinga;2012;31533
Caratinga;2013;28747,54102
Caratinga;2014;29843,23723
Caratinga;2015;19172,21947
Caratinga;2016;0
Caratinga;2017;8950,01448
Caratinga;2018;0
Caratinga;2019;0
Caratinga;2020;0
Caratinga;2021;0
Carmópolis;2012;14877
Carmópolis;2013;14761,09302
Carmópolis;2014;13756,3865
Carmópolis;2015;2320,39212
Carmópolis;2016;0
Carmópolis;2017;0
Carmópolis;2018;0
Carmópolis;2019;0
Carmópolis;2020;0
Carmópolis;2021;0
Espadarte;2012;5338
Espadarte;2013;0
Espadarte;2014;0
Espadarte;2015;0
Espadarte;2016;0
Espadarte;2017;0
Espadarte;2018;0
Espadarte;2019;0
Espadarte;2020;0
Espadarte;2021;0
Frade;2012;9068
Frade;2013;0
Frade;2014;0
Frade;2015;0
Frade;2016;0
Frade;2017;0
Frade;2018;0
Frade;2019;0
Frade;2020;0
Frade;2021;0
Gavião Caboclo;2012;0
Gavião Caboclo;2013;0
Gavião Caboclo;2014;0
Gavião Caboclo;2015;0
Gavião Caboclo;2016;0
Gavião Caboclo;2017;0
Gavião Caboclo;2018;0
Gavião Caboclo;2019;0
Gavião Caboclo;2020;0
Gavião Caboclo;2021;1966,68531
Gavião Real;2012;0
Gavião Real;2013;1712,57427
Gavião Real;2014;8925,46618
Gavião Real;2015;5121,56064
Gavião Real;2016;2124,675
Gavião Real;2017;691,0122
Gavião Real;2018;0
Gavião Real;2019;0
Gavião Real;2020;0
Gavião Real;2021;0
Itapu;2012;0
Itapu;2013;13,46845
Itapu;2014;9,02873
Itapu;2015;0
Itapu;2016;4,95369
Itapu;2017;7218,55343
Itapu;2018;0
Itapu;2019;0
Itapu;2020;0
Itapu;2021;0
Jubarte;2012;112114
Jubarte;2013;105990,0873
Jubarte;2014;114686,9718
Jubarte;2015;93001,60106
Jubarte;2016;99384,21366
Jubarte;2017;124883,7237
Jubarte;2018;176972,0354
Jubarte;2019;193722,9449
Jubarte;2020;141605,4623
Jubarte;2021;222714,9972
Lapa;2012;0
Lapa;2013;0
Lapa;2014;0
Lapa;2015;0
Lapa;2016;0
Lapa;2017;0
Lapa;2018;0
Lapa;2019;0
Lapa;2020;0
Lapa;2021;35976,08036
Leste de Urucu;2012;18381
Leste de Urucu;2013;19287,00426
Leste de Urucu;2014;19632,20454
Leste de Urucu;2015;13003,56685
Leste de Urucu;2016;10762,11425
Leste de Urucu;2017;11192,8213
Leste de Urucu;2018;15672,67833
Leste de Urucu;2019;13673,42456
Leste de Urucu;2020;13028,73499
Leste de Urucu;2021;26276,14032
Manati;2012;8905
Manati;2013;9832,19233
Manati;2014;10680,01493
Manati;2015;9710,32332
Manati;2016;9137,53049
Manati;2017;9891,04796
Manati;2018;10549,76325
Manati;2019;4610,74159
Manati;2020;2280,92002
Manati;2021;6073,15347
Marlim;2012;154046
Marlim;2013;144053,3515
Marlim;2014;136059,6983
Marlim;2015;91011,30373
Marlim;2016;38583,89928
Marlim;2017;77533,1448
Marlim;2018;102709,883
Marlim;2019;58643,11025
Marlim;2020;13519,81422
Marlim;2021;0
Marlim Leste;2012;82655
Marlim Leste;2013;86805,8392
Marlim Leste;2014;93013,20609
Marlim Leste;2015;53558,97816
Marlim Leste;2016;20885,71007
Marlim Leste;2017;29097,37506
Marlim Leste;2018;63067,7787
Marlim Leste;2019;36527,14104
Marlim Leste;2020;0
Marlim Leste;2021;71594,38356
Marlim Sul;2012;213805
Marlim Sul;2013;225347,3123
Marlim Sul;2014;184254,7295
Marlim Sul;2015;81085,53239
Marlim Sul;2016;43646,36155
Marlim Sul;2017;94139,71263
Marlim Sul;2018;132368,2196
Marlim Sul;2019;110083,7975
Marlim Sul;2020;42040,81289
Marlim Sul;2021;139304,4976
Mero;2012;0
Mero;2013;0
Mero;2014;0
Mero;2015;0
Mero;2016;0
Mero;2017;52,71821
Mero;2018;24113,09715
Mero;2019;31357,72695
Mero;2020;18314,4101
Mero;2021;28014,94203
Mexilhão;2012;0
Mexilhão;2013;0
Mexilhão;2014;9522,71857
Mexilhão;2015;6440,84708
Mexilhão;2016;6777,07484
Mexilhão;2017;15043,33476
Mexilhão;2018;12568,4468
Mexilhão;2019;14718,73046
Mexilhão;2020;12508,89461
Mexilhão;2021;15659,00726
Ostra;2012;5863
Ostra;2013;0
Ostra;2014;0
Ostra;2015;0
Ostra;2016;0
Ostra;2017;0
Ostra;2018;0
Ostra;2019;0
Ostra;2020;0
Ostra;2021;0
Pampo;2012;7369
Pampo;2013;0
Pampo;2014;0
Pampo;2015;0
Pampo;2016;0
Pampo;2017;0
Pampo;2018;0
Pampo;2019;0
Pampo;2020;0
Pampo;2021;0
Peregrino;2012;32761
Peregrino;2013;53046,49618
Peregrino;2014;52884,83813
Peregrino;2015;25407,20808
Peregrino;2016;0
Peregrino;2017;9276,87115
Peregrino;2018;49281,53827
Peregrino;2019;43649,64893
Peregrino;2020;0
Peregrino;2021;0
Rio Urucu;2012;14696
Rio Urucu;2013;15991,56905
Rio Urucu;2014;13966,00693
Rio Urucu;2015;9666,76567
Rio Urucu;2016;10358,85364
Rio Urucu;2017;11632,09687
Rio Urucu;2018;17029,79995
Rio Urucu;2019;14934,32325
Rio Urucu;2020;12249,08507
Rio Urucu;2021;24747,0693
Roncador;2012;201249
Roncador;2013;211315,1497
Roncador;2014;212003,3912
Roncador;2015;171567,1453
Roncador;2016;130120,5698
Roncador;2017;140326,6268
Roncador;2018;174158,454
Roncador;2019;106135,1883
Roncador;2020;26083,30781
Roncador;2021;176518,1283
Sapinhoá;2012;0
Sapinhoá;2013;0
Sapinhoá;2014;58013,88129
Sapinhoá;2015;102014,0479
Sapinhoá;2016;82939,21306
Sapinhoá;2017;151475,7126
Sapinhoá;2018;225474,7268
Sapinhoá;2019;204299,4257
Sapinhoá;2020;154246,8988
Sapinhoá;2021;272008,8346
Sépia;2012;12
Sépia;2013;0
Sépia;2014;30,18897
Sépia;2015;26,28714
Sépia;2016;2223,43377
Sépia;2017;0
Sépia;2018;0
Sépia;2019;0
Sépia;2020;0
Sépia;2021;10984,86042
Sul de Tupi;2012;0
Sul de Tupi;2013;5,04494
Sul de Tupi;2014;0
Sul de Tupi;2015;0
Sul de Tupi;2016;0
Sul de Tupi;2017;0
Sul de Tupi;2018;0
Sul de Tupi;2019;19673,45134
Sul de Tupi;2020;21418,28888
Sul de Tupi;2021;37590,52278
Tartaruga Verde;2012;0
Tartaruga Verde;2013;0
Tartaruga Verde;2014;0
Tartaruga Verde;2015;0
Tartaruga Verde;2016;0
Tartaruga Verde;2017;0
Tartaruga Verde;2018;9957,79668
Tartaruga Verde;2019;59520,60591
Tartaruga Verde;2020;64472,38992
Tartaruga Verde;2021;105620,5382
Tupi;2012;69507
Tupi;2013;93660,49384
Tupi;2014;135806,2302
Tupi;2015;190326,7599
Tupi;2016;280186,7695
Tupi;2017;474888,3577
Tupi;2018;818339,074
Tupi;2019;866779,981
Tupi;2020;749893,4815
Tupi;2021;1284390,878
