UNIDADES DA FEDERAÇÃO;ANO;R$/BARRIL;US$/BARRIL
Alagoas;2012;212,85;111,4
Alagoas;2013;229,83;108,63
Alagoas;2014;243,07;105,35
Alagoas;2015;172,85;55,3
Alagoas;2016;143,03;40,08
Alagoas;2017;161,52;50,42
Alagoas;2018;248,49;69,79
Alagoas;2019;239,86;61,58
Alagoas;2020;210,14;42,34
Alagoas;2021;338,9;63,46
Amazonas;2012;213,35;111,66
Amazonas;2013;231,16;109,26
Amazonas;2014;243,63;105,59
Amazonas;2015;178,11;56,98
Amazonas;2016;152,19;42,64
Amazonas;2017;168,01;52,45
Amazonas;2018;257,63;72,36
Amazonas;2019;248,84;63,89
Amazonas;2020;219,3;44,18
Amazonas;2021;359,74;67,36
Bahia;2012;208,68;109,21
Bahia;2013;223,91;105,83
Bahia;2014;236,55;102,52
Bahia;2015;165,38;52,91
Bahia;2016;134,47;37,68
Bahia;2017;156,51;48,86
Bahia;2018;245,13;68,85
Bahia;2019;235,8;60,54
Bahia;2020;208,7;42,05
Bahia;2021;334,81;62,69
Ceará;2012;191,02;99,97
Ceará;2013;207,22;97,95
Ceará;2014;217,43;94,24
Ceará;2015;143,81;46,01
Ceará;2016;115,91;32,48
Ceará;2017;146,63;45,78
Ceará;2018;234,98;66
Ceará;2019;229,36;58,89
Ceará;2020;201,22;40,54
Ceará;2021;292,12;54,7
Espírito Santo;2012;197,34;103,28
Espírito Santo;2013;206,3;97,51
Espírito Santo;2014;227,77;98,72
Espírito Santo;2015;156,92;50,2
Espírito Santo;2016;113,1;31,69
Espírito Santo;2017;139,57;43,57
Espírito Santo;2018;223,13;62,67
Espírito Santo;2019;215,09;55,22
Espírito Santo;2020;184,15;37,1
Espírito Santo;2021;318,21;59,58
Maranhão;2012;0;0
Maranhão;2013;249,61;117,98
Maranhão;2014;249,01;107,92
Maranhão;2015;189,84;60,73
Maranhão;2016;166,77;46,73
Maranhão;2017;161,56;50,44
Maranhão;2018;250,31;70,3
Maranhão;2019;238,99;61,36
Maranhão;2020;222,52;44,83
Maranhão;2021;374,86;70,19
Paraná;2012;0;0
Paraná;2013;200,23;94,64
Paraná;2014;209,48;90,79
Paraná;2015;135,88;43,47
Paraná;2016;92,94;26,04
Paraná;2017;116,19;36,27
Paraná;2018;174,66;49,06
Paraná;2019;176,69;45,36
Paraná;2020;155,88;31,41
Paraná;2021;277,45;51,95
Rio de Janeiro;2012;194,4;101,74
Rio de Janeiro;2013;205,44;97,1
Rio de Janeiro;2014;215,23;93,28
Rio de Janeiro;2015;144,71;46,29
Rio de Janeiro;2016;99,99;28,02
Rio de Janeiro;2017;123,44;38,54
Rio de Janeiro;2018;196,74;55,26
Rio de Janeiro;2019;224,94;57,75
Rio de Janeiro;2020;198,5;39,99
Rio de Janeiro;2021;330,36;61,86
Rio Grande do Norte;2012;201,57;105,49
Rio Grande do Norte;2013;214,37;101,32
Rio Grande do Norte;2014;227,9;98,77
Rio Grande do Norte;2015;174,98;47,52
Rio Grande do Norte;2016;94,85;26,58
Rio Grande do Norte;2017;116,94;36,51
Rio Grande do Norte;2018;192,81;54,15
Rio Grande do Norte;2019;219,02;56,23
Rio Grande do Norte;2020;182,33;36,73
Rio Grande do Norte;2021;319,95;59,91
Sergipe;2012;192,01;100,49
Sergipe;2013;206,35;97,53
Sergipe;2014;220,39;95,52
Sergipe;2015;146,76;46,95
Sergipe;2016;103,12;28,89
Sergipe;2017;122,83;38,35
Sergipe;2018;197,55;55,49
Sergipe;2019;222,99;57,25
Sergipe;2020;188,12;37,9
Sergipe;2021;320,03;59,92
São Paulo;2012;213,62;111,8
São Paulo;2013;227,08;107,33
São Paulo;2014;235,19;101,93
São Paulo;2015;158,12;50,58
São Paulo;2016;111,74;31,31
São Paulo;2017;127,61;39,84
São Paulo;2018;203,18;57,07
São Paulo;2019;227;58,28
São Paulo;2020;196,29;39,55
São Paulo;2021;332,17;62,2
