UNIDADES DA FEDERAÇÃO;ANO;R$/MIL M3;US$/MIL M3;US$/MILHÕES BTU
Alagoas;2012;326,15;170,69;4,57
Alagoas;2013;420,0347913;198,53152;5,318425889
Alagoas;2014;529,0856485;229,3077739;6,142885528
Alagoas;2015;493,4088802;157,8462238;4,228514661
Alagoas;2016;473,2890547;132,6151363;3,552603506
Alagoas;2017;529,1821126;165,2011975;4,42872
Alagoas;2018;541,1745744;151,9971842;4,07474
Alagoas;2019;526,1407781;135,0810727;3,618663041
Alagoas;2020;433,6524487;87,36593128;2,342111095
Alagoas;2021;933,6698137;174,8238;4,683323957
Amazonas;2012;420,08;219,85;5,89
Amazonas;2013;442,7837026;209,2839054;5,606469645
Amazonas;2014;529,8095641;229,6215217;6,151290464
Amazonas;2015;445,0878336;142,3878585;3,814403238
Amazonas;2016;490,8764766;137,5431149;3,684618257
Amazonas;2017;638,6029292;199,3604208;5,34446
Amazonas;2018;750,9350881;210,9116434;5,65413
Amazonas;2019;626,1372705;160,7541131;4,306413595
Amazonas;2020;516,8114338;104,1195832;2,791243995
Amazonas;2021;1087,04488;203,5423165;5,452659233
Bahia;2012;385,52;201,77;5,41
Bahia;2013;446,5637205;211,0705495;5,65433174
Bahia;2014;520,7889523;225,7119535;6,046557731
Bahia;2015;470,8402071;150,6262892;4,035101107
Bahia;2016;479,9565988;134,4833757;3,602651442
Bahia;2017;543,1415768;169,5590927;4,54555
Bahia;2018;585,9135165;164,5628026;4,4116
Bahia;2019;584,1342436;149,9702808;4,017527412
Bahia;2020;535,1912854;107,822486;2,890511633
Bahia;2021;959,8814307;179,7317604;4,814802443
Ceará;2012;544,38;284,91;7,63
Ceará;2013;627,3216791;296,506692;7,943065498
Ceará;2014;713,355111;309,1708743;8,282324045
Ceará;2015;519,9476243;166,3362221;4,455951729
Ceará;2016;542,7404948;152,0753627;4,073920082
Ceará;2017;654,4380772;204,303871;5,47699
Ceará;2018;818,072214;229,7681355;6,15963
Ceará;2019;712,0601286;182,813897;4,897369256
Ceará;2020;667,7527879;134,5290321;3,606462313
Ceará;2021;3346,685833;626,6458722;16,78710579
Espírito Santo;2012;327,03;171,16;4,59
Espírito Santo;2013;442,545395;209,1712681;5,603452225
Espírito Santo;2014;565,0359438;244,8887714;6,560282124
Espírito Santo;2015;464,4734924;148,5895163;3,980538356
Espírito Santo;2016;494,9122923;138,6739466;3,714911907
Espírito Santo;2017;594,4591905;185,5795345;4,97502
Espírito Santo;2018;774,2842999;217,4696279;5,82993
Espírito Santo;2019;639,830064;164,2695928;4,400589161
Espírito Santo;2020;551,3457932;111,0770591;2,977760424
Espírito Santo;2021;1149,245;215,1888977;5,764657444
Maranhão;2012;0;0;0
Maranhão;2013;298,5683333;141,1197983;3,780433399
Maranhão;2014;386,88;167,6752938;4,491823885
Maranhão;2015;335,2331483;107,2442931;2,87294846
Maranhão;2016;290,6826193;81,44898935;2,181922616
Maranhão;2017;342,9656166;107,0677357;2,87027
Maranhão;2018;396,5230572;111,3695857;2,9856
Maranhão;2019;395,1672532;101,4550073;2,717860303
Maranhão;2020;381,9705102;76,95381277;2,062982401
Maranhão;2021;718,9971397;134,627692;3,606517507
Paraná;2012;0;0;0
Paraná;2013;444,1257421;209,918227;5,623462375
Paraná;2014;526,1884537;228,0521184;6,109247995
Paraná;2015;411,7117844;131,7105408;3,528370458
Paraná;2016;304,5437403;85,33286206;2,285966998
Paraná;2017;322,1075136;100,5562087;2,69571
Paraná;2018;446,3592294;125,3668395;3,36084
Paraná;2019;426,6074829;109,5269532;2,934098241
Paraná;2020;440,98165;88,8425112;2,381695338
Paraná;2021;853,6747425;159,8452261;4,282065581
Rio de Janeiro;2012;475,78;249;6,67
Rio de Janeiro;2013;583,5615124;275,8232329;7,388979959
Rio de Janeiro;2014;669,237247;290,0500207;7,77009887
Rio de Janeiro;2015;484,4540227;154,9814792;4,151771522
Rio de Janeiro;2016;366,9862632;102,8291967;2,754673222
Rio de Janeiro;2017;452,1631175;141,1572438;3,78415
Rio de Janeiro;2018;558,3242259;156,813927;4,20387
Rio de Janeiro;2019;540,496911;138,7668578;3,717400889
Rio de Janeiro;2020;488,4553724;98,40682009;2,638095901
Rio de Janeiro;2021;1020,809147;191,1400921;5,12041823
Rio Grande do Norte;2012;468,75;245,32;6,57
Rio Grande do Norte;2013;570,2180015;269,5163565;7,22002616
Rio Grande do Norte;2014;587,1363841;254,4671881;6,816876639
Rio Grande do Norte;2015;546,9742823;174,9823087;4,687570218
Rio Grande do Norte;2016;389,8032796;109,2225027;2,925942369
Rio Grande do Norte;2017;458,1554805;143,0279524;3,8343
Rio Grande do Norte;2018;548,4429178;154,0386099;4,12947
Rio Grande do Norte;2019;516,4635165;132,5965382;3,552105287
Rio Grande do Norte;2020;553,4599199;111,5029823;2,989178599
Rio Grande do Norte;2021;1148,850254;215,114984;5,762677383
São Paulo;2012;342,61;179,31;4,8
São Paulo;2013;483,0194259;228,3015188;6,115929139
São Paulo;2014;619,5343202;268,5085793;7,193028994
São Paulo;2015;374,1879794;119,7063164;3,206791407
São Paulo;2016;269,1888816;75,42646477;2,020586267
São Paulo;2017;318,7582203;99,51061923;2,66768
São Paulo;2018;377,4486437;106,012244;2,84198
São Paulo;2019;404,3656309;103,8165933;2,781124416
São Paulo;2020;386,7556119;77,91784484;2,08882623
São Paulo;2021;880,0136137;164,777014;4,414182379
Sergipe;2012;437,87;229,16;6,14
Sergipe;2013;528,0879727;249,6033902;6,686581216
Sergipe;2014;632,0190265;273,9194995;7,337981181
Sergipe;2015;491,3160551;157,176709;4,210579148
Sergipe;2016;384,8001264;107,820624;2,888387687
Sergipe;2017;469,251841;146,4920378;3,92716
Sergipe;2018;577,1161788;162,0919353;4,34537
Sergipe;2019;584,5352688;150,0732397;4,020285562
Sergipe;2020;599,4332357;120,7650113;3,237475624
Sergipe;2021;1165,441045;218,2215052;5,845897431
