REFINARIA (UF);ANO;CAPACIDADE DE REFINO
Riograndense (RS) ;2012;17014
Riograndense (RS) ;2013;17013,93635
Riograndense (RS) ;2014;17013,93635
Riograndense (RS) ;2015;17013,93635
Riograndense (RS) ;2016;17013,93635
Riograndense (RS) ;2017;17013,93635
Riograndense (RS) ;2018;17013,93635
Riograndense (RS) ;2019;17013,936
Riograndense (RS) ;2020;17013,936
Riograndense (RS) ;2021;17013,936
Lubnor (CE);2012;8177
Lubnor (CE);2013;8176,75283
Lubnor (CE);2014;8176,75283
Lubnor (CE);2015;9434,715
Lubnor (CE);2016;10378,17
Lubnor (CE);2017;10378,17
Lubnor (CE);2018;10378,17
Lubnor (CE);2019;10378,19
Lubnor (CE);2020;10378,19
Lubnor (CE);2021;10378,19
Manguinhos (RJ) ;2012;14000
Manguinhos (RJ) ;2013;14000
Manguinhos (RJ) ;2014;14000
Manguinhos (RJ) ;2015;14000
Manguinhos (RJ) ;2016;14000
Manguinhos (RJ) ;2017;14000
Manguinhos (RJ) ;2018;14000
Manguinhos (RJ) ;2019;10000,798
Manguinhos (RJ) ;2020;10000,798
Manguinhos (RJ) ;2021;14303
Recap (SP);2012;53463
Recap (SP);2013;53463,38527
Recap (SP);2014;53463,385
Recap (SP);2015;62898,1
Recap (SP);2016;62898,1
Recap (SP);2017;62898,1
Recap (SP);2018;62898,1
Recap (SP);2019;62898,1
Recap (SP);2020;62898,1
Recap (SP);2021;62898,1
Reduc (RJ);2012;242158
Reduc (RJ);2013;242157,685
Reduc (RJ);2014;242157,685
Reduc (RJ);2015;251592,4
Reduc (RJ);2016;251592,4
Reduc (RJ);2017;251592,4
Reduc (RJ);2018;251592,4
Reduc (RJ);2019;251592,4
Reduc (RJ);2020;251592,4
Reduc (RJ);2021;251592,4
Refap (RS) ;2012;201274
Refap (RS) ;2013;201273,92
Refap (RS) ;2014;201273,92
Refap (RS) ;2015;220143,35
Refap (RS) ;2016;220143,35
Refap (RS) ;2017;220143,35
Refap (RS) ;2018;220143,35
Refap (RS) ;2019;220143,35
Refap (RS) ;2020;220143,35
Refap (RS) ;2021;220143,35
Regap (MG);2012;150955
