REFINARIA;MUNICÍPIO (UF);INÍCIO DE OPERAÇÃO;CAPACIDADE NOMINAL
Replan - Refinaria de Paulínia;Paulínia (SP);1972;433996
Mataripe - Refinaria de Mataripe S/A (ex-Rlam);São Francisco do Conde (BA);1950;377388
Revap - Refinaria Henrique Lage;São José dos Campos (SP);1980;251592,401
Reduc - Refinaria Duque de Caxias;Duque de Caxias (RJ);1961;251592,401
Repar - Refinaria Presidente Getúlio Vargas;Araucária (PR);1977;213853,54
Refap - Refinaria Alberto Pasqualini S/A;Canoas (RS);1968;220143,35
RPBC - Refinaria Presidente Bernardes;Cubatão (SP);1955;179184,107
Regap - Refinaria Gabriel Passos;Betim (MG);1968;166050,984
Recap - Refinaria de Capuava;Mauá (SP);1954;62898,1
Reman - Refinaria Isaac Sabbá ;Manaus (AM);1956;45915,613
RPCC - Refinaria Potiguar Clara Camarão;Guamaré (RN);2000;44657,65
Rnest - Refinaria Abreu e Lima1;Ipojuca (PE);2014;115009,176
Riograndense - Refinaria de Petróleo Riograndense S/A;Rio Grande (RS);1937;17013,936
Manguinhos - Refinaria de Petróleos de Manguinhos S/A;Rio de Janeiro (RJ);1954;14303
Univen - Univen Refinaria de Petróleo Ltda.;Itupeva (SP);2007;5157,64
Lubnor - Lubrificantes e Derivados de Petróleo do Nordeste;Fortaleza (CE);1966;10378,19
Dax Oil - Dax Oil Refino S/A;Camaçari (BA);2008;2094,507
Ssoil Energy S/A;Coroados (SP);2021;12498
Six2;São Mateus do Sul (PR);2007;0
