UNIDADES DA FEDERAÇÃO;LOCALIZAÇÃO;ANO;RESERVAS TOTAIS DE PETRÓLEO
Amazonas;Terra;2012;169
Amazonas;Terra;2013;167
Amazonas;Terra;2014;90
Amazonas;Terra;2015;62
Amazonas;Terra;2016;50
Amazonas;Terra;2017;46
Amazonas;Terra;2018;46
Amazonas;Terra;2019;48
Amazonas;Terra;2020;52
Amazonas;Terra;2021;52
Maranhão;Terra;2012;0
Maranhão;Terra;2013;0
Maranhão;Terra;2014;0
Maranhão;Terra;2015;0
Maranhão;Terra;2016;0
Maranhão;Terra;2017;0
Maranhão;Terra;2018;0
Maranhão;Terra;2019;0
Maranhão;Terra;2020;2
Maranhão;Terra;2021;4
Ceará;Terra;2012;31
Ceará;Terra;2013;31
Ceará;Terra;2014;30
Ceará;Terra;2015;20
Ceará;Terra;2016;4
Ceará;Terra;2017;1
Ceará;Terra;2018;4
Ceará;Terra;2019;3
Ceará;Terra;2020;0
Ceará;Terra;2021;1
Ceará;Mar;2012;66
Ceará;Mar;2013;80
Ceará;Mar;2014;62
Ceará;Mar;2015;25
Ceará;Mar;2016;45
Ceará;Mar;2017;13
Ceará;Mar;2018;28
Ceará;Mar;2019;28
Ceará;Mar;2020;0
Ceará;Mar;2021;0
Rio Grande do Norte;Terra;2012;356
Rio Grande do Norte;Terra;2013;336
Rio Grande do Norte;Terra;2014;327
Rio Grande do Norte;Terra;2015;268
Rio Grande do Norte;Terra;2016;252
Rio Grande do Norte;Terra;2017;237
Rio Grande do Norte;Terra;2018;169
Rio Grande do Norte;Terra;2019;173
Rio Grande do Norte;Terra;2020;178
Rio Grande do Norte;Terra;2021;185
Rio Grande do Norte;Mar;2012;192
Rio Grande do Norte;Mar;2013;187
Rio Grande do Norte;Mar;2014;177
Rio Grande do Norte;Mar;2015;110
Rio Grande do Norte;Mar;2016;108
Rio Grande do Norte;Mar;2017;110
Rio Grande do Norte;Mar;2018;102
Rio Grande do Norte;Mar;2019;101
Rio Grande do Norte;Mar;2020;84
Rio Grande do Norte;Mar;2021;90
Alagoas;Terra;2012;15
Alagoas;Terra;2013;16
Alagoas;Terra;2014;14
Alagoas;Terra;2015;12
Alagoas;Terra;2016;8
Alagoas;Terra;2017;7
Alagoas;Terra;2018;5
Alagoas;Terra;2019;5
Alagoas;Terra;2020;4
Alagoas;Terra;2021;5
Alagoas;Mar;2012;1
Alagoas;Mar;2013;1
Alagoas;Mar;2014;1
Alagoas;Mar;2015;1
Alagoas;Mar;2016;0
Alagoas;Mar;2017;0
Alagoas;Mar;2018;0
Alagoas;Mar;2019;0
Alagoas;Mar;2020;0
Alagoas;Mar;2021;0
Sergipe;Terra;2012;307
Sergipe;Terra;2013;294
Sergipe;Terra;2014;296
Sergipe;Terra;2015;317
Sergipe;Terra;2016;334
Sergipe;Terra;2017;345
Sergipe;Terra;2018;262
Sergipe;Terra;2019;236
Sergipe;Terra;2020;173
Sergipe;Terra;2021;201
Sergipe;Mar;2012;126
Sergipe;Mar;2013;105
Sergipe;Mar;2014;99
Sergipe;Mar;2015;78
Sergipe;Mar;2016;47
Sergipe;Mar;2017;10
Sergipe;Mar;2018;9
Sergipe;Mar;2019;25
Sergipe;Mar;2020;22
Sergipe;Mar;2021;1
Bahia;Terra;2012;523
Bahia;Terra;2013;531
Bahia;Terra;2014;343
Bahia;Terra;2015;289
Bahia;Terra;2016;261
Bahia;Terra;2017;248
Bahia;Terra;2018;220
Bahia;Terra;2019;189
Bahia;Terra;2020;198
Bahia;Terra;2021;206
Bahia;Mar;2012;127
Bahia;Mar;2013;124
Bahia;Mar;2014;96
Bahia;Mar;2015;91
Bahia;Mar;2016;91
Bahia;Mar;2017;91
Bahia;Mar;2018;91
Bahia;Mar;2019;90
Bahia;Mar;2020;90
Bahia;Mar;2021;36
Espírito Santo;Terra;2012;76
Espírito Santo;Terra;2013;69
Espírito Santo;Terra;2014;70
Espírito Santo;Terra;2015;53
Espírito Santo;Terra;2016;51
Espírito Santo;Terra;2017;49
Espírito Santo;Terra;2018;48
Espírito Santo;Terra;2019;49
Espírito Santo;Terra;2020;54
Espírito Santo;Terra;2021;49
Espírito Santo;Mar;2012;2676
Espírito Santo;Mar;2013;2447
Espírito Santo;Mar;2014;2301
Espírito Santo;Mar;2015;2245
Espírito Santo;Mar;2016;1910
Espírito Santo;Mar;2017;1789
Espírito Santo;Mar;2018;1630
Espírito Santo;Mar;2019;1344
Espírito Santo;Mar;2020;1235
Espírito Santo;Mar;2021;1359
Rio de Janeiro3;Mar;2012;22136
Rio de Janeiro3;Mar;2013;24018
Rio de Janeiro3;Mar;2014;25619
Rio de Janeiro3;Mar;2015;19520
Rio de Janeiro3;Mar;2016;18441
Rio de Janeiro3;Mar;2017;19693
Rio de Janeiro3;Mar;2018;20184
Rio de Janeiro3;Mar;2019;18693
Rio de Janeiro3;Mar;2020;16064
Rio de Janeiro3;Mar;2021;20063
São Paulo4;Mar;2012;1665
São Paulo4;Mar;2013;1685
São Paulo4;Mar;2014;1535
São Paulo4;Mar;2015;1161
São Paulo4;Mar;2016;962
São Paulo4;Mar;2017;928
São Paulo4;Mar;2018;1054
São Paulo4;Mar;2019;931
São Paulo4;Mar;2020;2082
São Paulo4;Mar;2021;2093
Paraná5;Terra;2012;0
Paraná5;Terra;2013;0
Paraná5;Terra;2014;0
Paraná5;Terra;2015;0
Paraná5;Terra;2016;0
Paraná5;Terra;2017;0
Paraná5;Terra;2018;0
