ORIGEM;ANO;VOLUME DE CARGA PROCESSADA
Petróleo2;2012;1892441
Petróleo2;2013;2029297,709
Petróleo2;2014;2069509,731
Petróleo2;2015;1924730,434
Petróleo2;2016;1764132,791
Petróleo2;2017;1672505,264
Petróleo2;2018;1655531,987
Petróleo2;2019;1689524,704
Petróleo2;2020;1722835,007
Petróleo2;2021;1775946,784
   Nacional;2012;1537629
   Nacional;2013;1647030,217
   Nacional;2014;1691569,431
   Nacional;2015;1648641,637
   Nacional;2016;1600816,757
   Nacional;2017;1537106,282
   Nacional;2018;1490717,06
   Nacional;2019;1504244,81
   Nacional;2020;1602402,226
   Nacional;2021;1611699,656
   Importado;2012;354813
   Importado;2013;382267,4921
   Importado;2014;377940,3003
   Importado;2015;276088,7975
   Importado;2016;163316,0339
   Importado;2017;135398,9822
   Importado;2018;164814,9266
   Importado;2019;185279,8945
   Importado;2020;120432,7808
   Importado;2021;164247,1283
Outras cargas3;2012;34273
Outras cargas3;2013;26041,08241
Outras cargas3;2014;37403,23955
Outras cargas3;2015;59313,01916
Outras cargas3;2016;66916,86647
Outras cargas3;2017;64850,92623
Outras cargas3;2018;70797,55601
Outras cargas3;2019;58236,50428
Outras cargas3;2020;45795,8495
Outras cargas3;2021;42388,84193
