REFINARIA (UF);ORIGEM;VOLUME DE CARGA PROCESSADA
Manguinhos (RJ);Petróleo de Origem nacional;0
Manguinhos (RJ);petróleo de origem importado;8520
Manguinhos (RJ);Outras cargas2;0
Riograndense (RS);Petróleo de Origem nacional;2008
Riograndense (RS);petróleo de origem importado;9228
Riograndense (RS);Outras cargas2;18
Lubnor (CE);Petróleo de Origem nacional;7612
Lubnor (CE);petróleo de origem importado;0
Lubnor (CE);Outras cargas2;115
Recap (SP);Petróleo de Origem nacional;53748
Recap (SP);petróleo de origem importado;201
Recap (SP);Outras cargas2;138
Reduc (RJ);Petróleo de Origem nacional;103649
Reduc (RJ);petróleo de origem importado;80955
Reduc (RJ);Outras cargas2;4261
Refap (RS);Petróleo de Origem nacional;126842
Refap (RS);petróleo de origem importado;18149
Refap (RS);Outras cargas2;6901
Regap (MG);Petróleo de Origem nacional;126097
Regap (MG);petróleo de origem importado;6208
Regap (MG);Outras cargas2;5107
Reman (AM);Petróleo de Origem nacional;26505
Reman (AM);petróleo de origem importado;5
Reman (AM);Outras cargas2;3892
Repar (PR);Petróleo de Origem nacional;158416
Repar (PR);petróleo de origem importado;22492
Repar (PR);Outras cargas2;1344
Replan (SP);Petróleo de Origem nacional;341408
Replan (SP);petróleo de origem importado;13497
Replan (SP);Outras cargas2;2950
Revap (SP);Petróleo de Origem nacional;224722
Revap (SP);petróleo de origem importado;2065
Revap (SP);Outras cargas2;4881
Mataripe (BA) (ex-Rlam);Petróleo de Origem nacional;200758
Mataripe (BA) (ex-Rlam);petróleo de origem importado;0
Mataripe (BA) (ex-Rlam);Outras cargas2;5744
RPBC (SP);Petróleo de Origem nacional;146403
RPBC (SP);petróleo de origem importado;2898
RPBC (SP);Outras cargas2;549
RPCC (RN);Petróleo de Origem nacional;28450
RPCC (RN);petróleo de origem importado;0
RPCC (RN);Outras cargas2;0
Rnest (PE);Petróleo de Origem nacional;62965
Rnest (PE);petróleo de origem importado;28
Rnest (PE);Outras cargas2;6490
Univen (SP);Petróleo de Origem nacional;0
Univen (SP);petróleo de origem importado;0
Univen (SP);Outras cargas2;0
Dax Oil (BA);Petróleo de Origem nacional;2115
Dax Oil (BA);petróleo de origem importado;0
Dax Oil (BA);Outras cargas2;0
