REFINARIA (UF);PRODUTO;CAPACIDADE DE ARMAZENAMENTO
 Replan (SP) ;Petróleo;780719
 Replan (SP) ;Derivados de petróleo, intermediários e etanol;1972388
Mataripe (BA) (ex-Rlam);Petróleo;649210
Mataripe (BA) (ex-Rlam);Derivados de petróleo, intermediários e etanol;911320
 Revap (SP) ;Petróleo;686166
 Revap (SP) ;Derivados de petróleo, intermediários e etanol;1737834
 Reduc (RJ) ;Petróleo;947856
 Reduc (RJ) ;Derivados de petróleo, intermediários e etanol;1888093
 Repar (PR) ;Petróleo;522094
 Repar (PR) ;Derivados de petróleo, intermediários e etanol;1008978
 Refap (RS) ;Petróleo;484485
 Refap (RS) ;Derivados de petróleo, intermediários e etanol;887828
 RPBC (SP) ;Petróleo;356077
 RPBC (SP) ;Derivados de petróleo, intermediários e etanol;1114738
 Regap (MG) ;Petróleo;333952
 Regap (MG) ;Derivados de petróleo, intermediários e etanol;836627
 Recap (SP) ;Petróleo;82440
 Recap (SP) ;Derivados de petróleo, intermediários e etanol;269279
 Reman (AM)  ;Petróleo;128700
 Reman (AM)  ;Derivados de petróleo, intermediários e etanol;253382
Rnest (PE);Petróleo;804205
Rnest (PE);Derivados de petróleo, intermediários e etanol;797998
RPCC (RN);Petróleo;0
RPCC (RN);Derivados de petróleo, intermediários e etanol;16680
Riograndense (RS) ;Petróleo;94662
Riograndense (RS) ;Derivados de petróleo, intermediários e etanol;105915
Manguinhos (RJ) ;Petróleo;136728
Manguinhos (RJ) ;Derivados de petróleo, intermediários e etanol;75846
Lubnor (CE) ;Petróleo;48699
Lubnor (CE) ;Derivados de petróleo, intermediários e etanol;78775
Univen (SP);Petróleo;7500
Univen (SP);Derivados de petróleo, intermediários e etanol;7500
Dax Oil (BA);Petróleo;1833
Dax Oil (BA);Derivados de petróleo, intermediários e etanol;2028
Ssoil (SP);Petróleo;80
Ssoil (SP);Derivados de petróleo, intermediários e etanol;1331
 Six (PR)2;Petróleo;0
 Six (PR)2;Derivados de petróleo, intermediários e etanol;15649
