POLOS PRODUTORES;ANO;CAPACIDADE DE PROCESSAMENTO
Urucu;2012;9706
Urucu;2013;9706
Urucu;2014;9706
Urucu;2015;12200
Urucu;2016;12200
Urucu;2017;12200
Urucu;2018;12200
Urucu;2019;12200
Urucu;2020;12200
Urucu;2021;12200
Lubnor;2012;350
Lubnor;2013;350
Lubnor;2014;350
Lubnor;2015;350
Lubnor;2016;350
Lubnor;2017;350
Lubnor;2018;350
Lubnor;2019;350
Lubnor;2020;350
Lubnor;2021;350
Guamaré;2012;5700
Guamaré;2013;5700
Guamaré;2014;5700
Guamaré;2015;5700
Guamaré;2016;5700
Guamaré;2017;5700
Guamaré;2018;5700
Guamaré;2019;5700
Guamaré;2020;5700
Guamaré;2021;5700
Pilar;2012;1800
Pilar;2013;1800
Pilar;2014;1800
Pilar;2015;1800
Pilar;2016;1800
Pilar;2017;1800
Pilar;2018;1800
Pilar;2019;1800
Pilar;2020;1800
Pilar;2021;1800
Atalaia;2012;3000
Atalaia;2013;3000
Atalaia;2014;3000
Atalaia;2015;3000
Atalaia;2016;3000
Atalaia;2017;3000
Atalaia;2018;3000
Atalaia;2019;3000
Atalaia;2020;3000
Atalaia;2021;0
Candeias;2012;2900
Candeias;2013;2900
Candeias;2014;2900
Candeias;2015;2900
Candeias;2016;2900
Candeias;2017;2900
Candeias;2018;2900
Candeias;2019;2900
Candeias;2020;2900
Candeias;2021;2900
Santiago²;2012;4400
Santiago²;2013;4400
Santiago²;2014;4400
Santiago²;2015;1900
Santiago²;2016;1900
Santiago²;2017;2000
Santiago²;2018;2000
Santiago²;2019;2000
Santiago²;2020;2000
Santiago²;2021;2000
Estação Vandemir Ferreira;2012;6000
Estação Vandemir Ferreira;2013;6000
Estação Vandemir Ferreira;2014;6000
Estação Vandemir Ferreira;2015;6000
Estação Vandemir Ferreira;2016;6000
Estação Vandemir Ferreira;2017;6000
Estação Vandemir Ferreira;2018;6000
Estação Vandemir Ferreira;2019;6000
Estação Vandemir Ferreira;2020;6000
Estação Vandemir Ferreira;2021;6000
Cacimbas;2012;16000
Cacimbas;2013;16000
Cacimbas;2014;16000
Cacimbas;2015;16000
Cacimbas;2016;16000
Cacimbas;2017;16000
Cacimbas;2018;16000
Cacimbas;2019;16000
Cacimbas;2020;18100
Cacimbas;2021;18100
Sul Capixaba;2012;2500
Sul Capixaba;2013;2500
Sul Capixaba;2014;2500
Sul Capixaba;2015;2500
Sul Capixaba;2016;2500
Sul Capixaba;2017;2500
Sul Capixaba;2018;2500
Sul Capixaba;2019;2500
Sul Capixaba;2020;2500
Sul Capixaba;2021;2500
Reduc;2012;4500
Reduc;2013;4500
Reduc;2014;4500
Reduc;2015;4500
Reduc;2016;4500
Reduc;2017;5000
Reduc;2018;5000
Reduc;2019;5000
Reduc;2020;5000
Reduc;2021;5000
Cabiúnas;2012;17240
Cabiúnas;2013;17240
Cabiúnas;2014;17240
Cabiúnas;2015;17240
Cabiúnas;2016;16200
Cabiúnas;2017;15900
Cabiúnas;2018;15900
Cabiúnas;2019;15900
Cabiúnas;2020;25160
Cabiúnas;2021;25160
RPBC;2012;2300
RPBC;2013;2300
RPBC;2014;2300
RPBC;2015;2300
RPBC;2016;2300
RPBC;2017;2300
RPBC;2018;2300
RPBC;2019;2300
RPBC;2020;2500
RPBC;2021;2500
Caraguatatuba;2012;14000
Caraguatatuba;2013;14000
Caraguatatuba;2014;14000
Caraguatatuba;2015;20000
Caraguatatuba;2016;20000
Caraguatatuba;2017;20000
Caraguatatuba;2018;20000
Caraguatatuba;2019;20000
Caraguatatuba;2020;20000
Caraguatatuba;2021;20000
Alvopetro;2012;0
Alvopetro;2013;0
Alvopetro;2014;0
Alvopetro;2015;0
Alvopetro;2016;0
Alvopetro;2017;0
Alvopetro;2018;0
Alvopetro;2019;0
Alvopetro;2020;500
Alvopetro;2021;500
