POLOS PRODUTORES;MUNICÍPIO (UF);INÍCIO DE OPERAÇÃO;CAPACIDADE NOMINAL
Urucu;Coari (AM);1993;12200
Lubnor;Fortaleza (CE);1987;350
Guamaré;Guamaré (RN);1985;5700
Alagoas;Pilar (AL);2003;1800
Candeias;São Francisco do Conde (BA);1972;2900
Santiago²;Catu (BA);1962;2000
Estação Vandemir Ferreira;São Francisco do Conde (BA);2007;6000
Cacimbas;Linhares (ES);2008;18100
Sul Capixaba;Anchieta (ES);2010;2500
Reduc;Duque de Caxias (RJ);1983;5000
Cabiúnas;Macaé (RJ);1987;25160
RPBC;Cubatão (SP);1993;2500
Caraguatatuba;Caraguatatuba (SP);2011;20000
Alvopetro;Mata de São João (BA);2020;500
