POLOS PRODUTORES (UF);VOLUME DE GÁS NATURAL PROCESSADO1;PRODUTO OBTIDO;VOLUME DE PRODUÇÃO
Catu (BA)3;422222;GLP  (m3)2;0
Catu (BA)3;422222;C5+  (m3) 2;0
Catu (BA)3;422222;Etano  (mil m3)1;0
Catu (BA)3;422222;Propano (m3)2;455
Catu (BA)3;422222;Gás seco  (mil m3)1;385712
Catu (BA)3;422222;LGN (m3)2;98629
Cabiúnas (RJ)4;7901534;GLP  (m3)2;601563
Cabiúnas (RJ)4;7901534;C5+  (m3) 2;199197
Cabiúnas (RJ)4;7901534;Etano  (mil m3)1;0
Cabiúnas (RJ)4;7901534;Propano (m3)2;0
Cabiúnas (RJ)4;7901534;Gás seco  (mil m3)1;6639092
Cacimbas (ES)5;1200133;GLP  (m3)2;307768
Cacimbas (ES)5;1200133;C5+  (m3) 2;89631
Cacimbas (ES)5;1200133;Etano  (mil m3)1;0
Cacimbas (ES)5;1200133;Propano (m3)2;0
Cacimbas (ES)5;1200133;Gás seco  (mil m3)1;1115053
Cacimbas (ES)5;1200133;LGN (m3)2;0
Guamaré (RN)6;193274;GLP  (m3)2;64795
Guamaré (RN)6;193274;C5+  (m3) 2;17997
Guamaré (RN)6;193274;Etano  (mil m3)1;0
Guamaré (RN)6;193274;Propano (m3)2;28
Guamaré (RN)6;193274;Gás seco  (mil m3)1;170146
Guamaré (RN)6;193274;LGN (m3)2;0
Alagoas (AL);375290;GLP  (m3)2;36679
Alagoas (AL);375290;C5+  (m3) 2;10386
Alagoas (AL);375290;Etano  (mil m3)1;0
Alagoas (AL);375290;Propano (m3)2;0
Alagoas (AL);375290;Gás seco  (mil m3)1;363899
Alagoas (AL);375290;LGN (m3)2;0
Reduc (RJ)7;352552;GLP  (m3)2;351236
Reduc (RJ)7;352552;C5+  (m3) 2;242966
Reduc (RJ)7;352552;Etano  (mil m3)1;225517
Reduc (RJ)7;352552;Propano (m3)2;817708
Reduc (RJ)7;352552;Gás seco  (mil m3)1;334925
Reduc (RJ)7;352552;LGN (m3)2;0
Sul Capixaba (ES)8;111394;GLP  (m3)2;0
Sul Capixaba (ES)8;111394;C5+  (m3) 2;5388
Sul Capixaba (ES)8;111394;Etano  (mil m3)1;0
Sul Capixaba (ES)8;111394;Propano (m3)2;0
Sul Capixaba (ES)8;111394;Gás seco  (mil m3)1;101360
Sul Capixaba (ES)8;111394;LGN (m3)2;0
Urucu (AM)9;4324725;GLP  (m3)2;709527
Urucu (AM)9;4324725;C5+  (m3) 2;149671
Urucu (AM)9;4324725;Etano  (mil m3)1;0
Urucu (AM)9;4324725;Propano (m3)2;208
Urucu (AM)9;4324725;Gás seco  (mil m3)1;4048925
Urucu (AM)9;4324725;LGN (m3)2;0
Caraguatatuba (SP)10;4078043;GLP  (m3)2;507563
Caraguatatuba (SP)10;4078043;C5+  (m3) 2;257442
Caraguatatuba (SP)10;4078043;Etano  (mil m3)1;0
Caraguatatuba (SP)10;4078043;Propano (m3)2;0
Caraguatatuba (SP)10;4078043;Gás seco  (mil m3)1;3962717
Caraguatatuba (SP)10;4078043;LGN (m3)2;0
Estação Vandemir Ferreira11;1148126;GLP  (m3)2;0
Estação Vandemir Ferreira11;1148126;C5+  (m3) 2;15048
Estação Vandemir Ferreira11;1148126;Etano  (mil m3)1;0
Estação Vandemir Ferreira11;1148126;Propano (m3)2;0
Estação Vandemir Ferreira11;1148126;Gás seco  (mil m3)1;1148126
Estação Vandemir Ferreira11;1148126;LGN (m3)2;0
Alvopetro;142740;GLP  (m3)2;0
Alvopetro;142740;C5+  (m3) 2;0
Alvopetro;142740;Etano  (mil m3)1;0
Alvopetro;142740;Propano (m3)2;0
Alvopetro;142740;Gás seco  (mil m3)1;140153
Alvopetro;142740;LGN (m3)2;3800
