PRODUTO;ANO;PRODUÇÃO EM POLOS PRODUTORES
Gás seco1;2012;17282423
Gás seco1;2013;17323331,45
Gás seco1;2014;18412306,31
Gás seco1;2015;19430201,8
Gás seco1;2016;20578404,49
Gás seco1;2017;22342244,98
Gás seco1;2018;20348946,48
Gás seco1;2019;20968765,98
Gás seco1;2020;19458442,68
Gás seco1;2021;18410108,2
Etano1;2012;281013
Etano1;2013;252131,269
Etano1;2014;233281,164
Etano1;2015;214924,55
Etano1;2016;300351,977
Etano1;2017;391810,187
Etano1;2018;287328,119
Etano1;2019;282849,177
Etano1;2020;202291,402
Etano1;2021;225517,267
GLP;2012;2330
GLP;2013;2566,795
GLP;2014;2615,864
GLP;2015;2652,343
GLP;2016;2686,549
GLP;2017;3284,694
GLP;2018;3451,664
GLP;2019;3249,881108
GLP;2020;2848,066807
GLP;2021;2579,131
C5+;2012;1121
C5+;2013;1040,231
C5+;2014;1232,925
C5+;2015;1272,967
C5+;2016;1360,983
C5+;2017;1574,167
C5+;2018;1245,01203
C5+;2019;1236,161642
C5+;2020;1062,905643
C5+;2021;987,726
Propano;2012;772
Propano;2013;810,485
Propano;2014;652,951
Propano;2015;663,246
Propano;2016;935,619
Propano;2017;600,076
Propano;2018;700,6268
Propano;2019;783,341331
Propano;2020;881,811409
Propano;2021;818,399
LGN;2012;0
LGN;2013;0
LGN;2014;0
LGN;2015;0
LGN;2016;0
LGN;2017;0
LGN;2018;0
LGN;2019;0
LGN;2020;0
LGN;2021;102,429
