TIPO DE DERIVADO;DERIVADOS DE PETRÓLEO;ANO;PRODUÇÃO
Energéticos;Gasolina A ;2012;27061075
Energéticos;Gasolina A ;2013;29720706,67
Energéticos;Gasolina A ;2014;30078550,08
Energéticos;Gasolina A ;2015;26923072,35
Energéticos;Gasolina A ;2016;27719573,38
Energéticos;Gasolina A ;2017;27774986,78
Energéticos;Gasolina A ;2018;25169471,88
Energéticos;Gasolina A ;2019;25257430,9
Energéticos;Gasolina A ;2020;23395021,51
Energéticos;Gasolina A ;2021;27903802,97
Energéticos;Gasolina de aviação;2012;77606
Energéticos;Gasolina de aviação;2013;93685
Energéticos;Gasolina de aviação;2014;93762
Energéticos;Gasolina de aviação;2015;72486
Energéticos;Gasolina de aviação;2016;53902
Energéticos;Gasolina de aviação;2017;59662
Energéticos;Gasolina de aviação;2018;46220
Energéticos;Gasolina de aviação;2019;0
Energéticos;Gasolina de aviação;2020;2216
Energéticos;Gasolina de aviação;2021;55899,386
Energéticos;GLP;2012;10361616
Energéticos;GLP;2013;10228150,92
Energéticos;GLP;2014;10050965,09
Energéticos;GLP;2015;9897466,509
Energéticos;GLP;2016;9663121,744
Energéticos;GLP;2017;10336423,35
Energéticos;GLP;2018;9979416,714
Energéticos;GLP;2019;9815071,336
Energéticos;GLP;2020;9858566,99
Energéticos;GLP;2021;9600855,388
Energéticos;Óleo combustível;2012;13691084
Energéticos;Óleo combustível;2013;14761275,97
Energéticos;Óleo combustível;2014;16267891,47
Energéticos;Óleo combustível;2015;14339295,27
Energéticos;Óleo combustível;2016;11506737,88
Energéticos;Óleo combustível;2017;11691290,53
Energéticos;Óleo combustível;2018;10751047,87
Energéticos;Óleo combustível;2019;11866978,8
Energéticos;Óleo combustível;2020;17238549,76
Energéticos;Óleo combustível;2021;16952831,91
Energéticos;Óleo diesel;2012;45504004
Energéticos;Óleo diesel;2013;49539186,3
Energéticos;Óleo diesel;2014;49675057,16
Energéticos;Óleo diesel;2015;49457609,07
Energéticos;Óleo diesel;2016;45369806,61
Energéticos;Óleo diesel;2017;40625829,53
Energéticos;Óleo diesel;2018;41957390,12
Energéticos;Óleo diesel;2019;40998506,91
Energéticos;Óleo diesel;2020;42215122,37
Energéticos;Óleo diesel;2021;42852980,2
Energéticos;QAV;2012;5422769
Energéticos;QAV;2013;5554391
