TIPO DE DERIVADO;DERIVADOS DE PETRÓLEO;TIPO DE UNIDADE PRODUTORA;PRODUÇÃO
Energéticos;Gasolina A;Refinarias;25402865
Energéticos;Gasolina A;"Centrais
petroquímicas";1434851
Energéticos;Gasolina A;"Outros
produtores";1066087
Energéticos;Gasolina de aviação;Refinarias;55899
Energéticos;Gasolina de aviação;"Centrais
petroquímicas";0
Energéticos;Gasolina de aviação;"Outros
produtores";0
Energéticos;GLP;Refinarias;7228154
Energéticos;GLP;"Centrais
petroquímicas";209601
Energéticos;GLP;UPGNs;2163100
Energéticos;GLP;"Outros
produtores";0
Energéticos;Óleo combustível;Refinarias;16952832
Energéticos;Óleo combustível;"Centrais
petroquímicas";0
Energéticos;Óleo combustível;"Outros
produtores";0
Energéticos;Óleo diesel;Refinarias;42852980
Energéticos;Óleo diesel;"Centrais
petroquímicas";0
Energéticos;Óleo diesel;"Outros
produtores";0
Energéticos;QAV;Refinarias;4074103
Energéticos;QAV;"Centrais
petroquímicas";0
Energéticos;QAV;"Outros
produtores";0
Energéticos;Querosene iluminante;Refinarias;5554
Energéticos;Querosene iluminante;"Centrais
petroquímicas";0
Energéticos;Querosene iluminante;"Outros
produtores";0
Não energéticos ;Asfalto;Refinarias;1875770
Não energéticos ;Asfalto;"Centrais
petroquímicas";0
Não energéticos ;Asfalto;UPGNs;0
Não energéticos ;Asfalto;"Outros
produtores";0
Não energéticos ;Coque;Refinarias;4367408
Não energéticos ;Coque;"Centrais
petroquímicas";0
Não energéticos ;Coque;"Outros
produtores";0
Não energéticos ;Nafta;Refinarias;4623048
Não energéticos ;Nafta;"Centrais
petroquímicas";0
Não energéticos ;Nafta;"Outros
produtores";0
Não energéticos ;Óleo lubrificante ;Refinarias;621662
Não energéticos ;Óleo lubrificante ;"Centrais
petroquímicas";0
Não energéticos ;Óleo lubrificante ;"Outros
produtores";0
Não energéticos ;Parafina;Refinarias;57115
Não energéticos ;Parafina;"Centrais
petroquímicas";0
Não energéticos ;Parafina;"Outros
produtores";0
Não energéticos ;Solvente;Refinarias;407962
Não energéticos ;Solvente;"Centrais
petroquímicas";0
Não energéticos ;Solvente;"Outros
produtores";3446
Não energéticos ;Outros;Refinarias;2375803
Não energéticos ;Outros;"Centrais
petroquímicas";0
Não energéticos ;Outros;"Outros
produtores";0
