TIPO DE DERIVADO;DERIVADOS DE PETRÓLEO;REFINARIA (UF);PRODUÇÃO
Energéticos;Gasolina A;Riograndense (RS);257697
Energéticos;Gasolina A;Lubnor (CE);0
Energéticos;Gasolina A;Manguinhos (RJ);618107
Energéticos;Gasolina A;Recap (SP);1137052
Energéticos;Gasolina A;Reduc (RJ)1;2164956
Energéticos;Gasolina A;Refap (RS);1981176
Energéticos;Gasolina A;Regap (MG);2087218
Energéticos;Gasolina A;Reman (AM);625353
Energéticos;Gasolina A;Repar (PR);2989609
Energéticos;Gasolina de aviação;Riograndense (RS);0
Energéticos;Gasolina de aviação;Lubnor (CE);0
Energéticos;Gasolina de aviação;Manguinhos (RJ);0
Energéticos;Gasolina de aviação;Recap (SP);0
Energéticos;Gasolina de aviação;Reduc (RJ)1;0
Energéticos;Gasolina de aviação;Refap (RS);0
Energéticos;Gasolina de aviação;Regap (MG);0
Energéticos;Gasolina de aviação;Reman (AM);0
Energéticos;Gasolina de aviação;Repar (PR);0
Energéticos;GLP;Riograndense (RS);23634
Energéticos;GLP;Lubnor (CE);0
Energéticos;GLP;Manguinhos (RJ);0
Energéticos;GLP;Recap (SP);254627
Energéticos;GLP;Reduc (RJ)1;1059160
Energéticos;GLP;Refap (RS);708496
Energéticos;GLP;Regap (MG);588454
Energéticos;GLP;Reman (AM);24075
Energéticos;GLP;Repar (PR);757883
Energéticos;Óleo combustível;Riograndense (RS);258666
Energéticos;Óleo combustível;Lubnor (CE);124096
Energéticos;Óleo combustível;Manguinhos (RJ);0
Energéticos;Óleo combustível;Recap (SP);259105
Energéticos;Óleo combustível;Reduc (RJ)1;2267942
Energéticos;Óleo combustível;Refap (RS);622506
Energéticos;Óleo combustível;Regap (MG);539473
Energéticos;Óleo combustível;Reman (AM);342954
Energéticos;Óleo combustível;Repar (PR);744298
Energéticos;Óleo diesel;Riograndense (RS);324009
Energéticos;Óleo diesel;Lubnor (CE);101245
Energéticos;Óleo diesel;Manguinhos (RJ);25502
Energéticos;Óleo diesel;Recap (SP);1486610
Energéticos;Óleo diesel;Reduc (RJ)1;2867088
Energéticos;Óleo diesel;Refap (RS);4126134
Energéticos;Óleo diesel;Regap (MG);3903365
Energéticos;Óleo diesel;Reman (AM);489490
Energéticos;Óleo diesel;Repar (PR);5371539
Energéticos;QAV;Riograndense (RS);0
Energéticos;QAV;Lubnor (CE);0
Energéticos;QAV;Manguinhos (RJ);0
Energéticos;QAV;Recap (SP);0
Energéticos;QAV;Reduc (RJ)1;666947
Energéticos;QAV;Refap (RS);83543
Energéticos;QAV;Regap (MG);407078
Energéticos;QAV;Reman (AM);113575
Energéticos;QAV;Repar (PR);119644
Energéticos;Querosene iluminante;Riograndense (RS);1101
Energéticos;Querosene iluminante;Lubnor (CE);0
Energéticos;Querosene iluminante;Manguinhos (RJ);0
Energéticos;Querosene iluminante;Recap (SP);0
Energéticos;Querosene iluminante;Reduc (RJ)1;0
