DERIVADOS DE PETRÓLEO;ANO;PRODUÇÃO DE DERIVADOS DE PETRÓLEO ENERGÉTICOS EM CENTRAIS PETROQUÍMICAS
GLP;2012;310839
GLP;2013;329291,234
GLP;2014;267955,57
GLP;2015;269494,8324
GLP;2016;173413,712
GLP;2017;192429,5162
GLP;2018;177002,6745
GLP;2019;152951,409
GLP;2020;159147,128
GLP;2021;209601,057
Gasolina A;2012;806609
Gasolina A;2013;931931,709
Gasolina A;2014;989855,62
Gasolina A;2015;1004250,408
Gasolina A;2016;1184808,97
Gasolina A;2017;1328552,02
Gasolina A;2018;1313702,897
Gasolina A;2019;1217948,339
Gasolina A;2020;1247245,563
Gasolina A;2021;1434851,034
