GRANDES REGIÕES;ANO;PREÇO MÉDIO PONDERADO DE PRODUTORES E IMPORTADORES DE GASOLINA A
Região Norte;2012;1,513
Região Norte;2013;1,613217004
Região Norte;2014;1,683505901
Região Norte;2015;1,949666406
Região Norte;2016;2,039584314
Região Norte;2017;2,085361214
Região Norte;2018;2,638744559
Região Norte;2019;2,506352935
Região Norte;2020;2,41966998
Região Norte;2021;3,526893347
Região Nordeste;2012;1,477
Região Nordeste;2013;1,557547993
Região Nordeste;2014;1,626125645
Região Nordeste;2015;1,87909666
Região Nordeste;2016;1,979716168
Região Nordeste;2017;2,056833406
Região Nordeste;2018;2,646070918
Região Nordeste;2019;2,600145198
Região Nordeste;2020;2,434264084
Região Nordeste;2021;3,545563783
Região Sudeste;2012;1,534
Região Sudeste;2013;1,615189359
Região Sudeste;2014;1,692864737
Região Sudeste;2015;1,950233639
Região Sudeste;2016;2,025773318
Região Sudeste;2017;2,169464866
Região Sudeste;2018;2,743708099
Região Sudeste;2019;2,723208655
Região Sudeste;2020;2,557887146
Região Sudeste;2021;3,801122263
Região Sul;2012;1,504
Região Sul;2013;1,594624252
Região Sul;2014;1,658957442
Região Sul;2015;1,919588019
Região Sul;2016;2,015472491
Região Sul;2017;2,143773676
Região Sul;2018;2,707916157
Região Sul;2019;2,64203675
Região Sul;2020;2,492771309
Região Sul;2021;3,604322002
Região Centro-Oeste;2012;1,567
Região Centro-Oeste;2013;1,653771213
Região Centro-Oeste;2014;1,716229158
Região Centro-Oeste;2015;1,971155043
Região Centro-Oeste;2016;2,062356884
Região Centro-Oeste;2017;2,239892299
Região Centro-Oeste;2018;2,860268925
Região Centro-Oeste;2019;2,80705395
Região Centro-Oeste;2020;2,644758814
Região Centro-Oeste;2021;3,758214804
