GRANDES REGIÕES;ANO;PREÇO MÉDIO PONDERADO DE PRODUTORES E IMPORTADORES DE ÓLEO DIESE
Região Norte;2012;1,408
Região Norte;2013;1,581615202
Região Norte;2014;1,749503465
Região Norte;2015;1,988373149
Região Norte;2016;2,092298373
Região Norte;2017;1,973260031
Região Norte;2018;2,371472724
Região Norte;2019;2,445298151
Região Norte;2020;2,020463554
Região Norte;2021;3,05192445
Região Nordeste;2012;1,349
Região Nordeste;2013;1,527495907
Região Nordeste;2014;1,681232513
Região Nordeste;2015;1,91939086
Região Nordeste;2016;2,031325385
Região Nordeste;2017;1,987794978
Região Nordeste;2018;2,386652332
Região Nordeste;2019;2,441368114
Região Nordeste;2020;2,041122914
Região Nordeste;2021;3,008269309
Região Sudeste;2012;1,414
Região Sudeste;2013;1,599439557
Região Sudeste;2014;1,757074088
Região Sudeste;2015;1,99709098
Região Sudeste;2016;2,104929547
Região Sudeste;2017;2,16437257
Região Sudeste;2018;2,487641474
Região Sudeste;2019;2,568263592
Região Sudeste;2020;2,175627757
Região Sudeste;2021;3,155756929
Região Sul;2012;1,431
Região Sul;2013;1,606018722
Região Sul;2014;1,748212894
Região Sul;2015;1,971161428
Região Sul;2016;2,072416863
Região Sul;2017;2,101122241
Região Sul;2018;2,438251744
Região Sul;2019;2,491108015
Região Sul;2020;2,042425762
Região Sul;2021;3,097749683
Região Centro-Oeste;2012;1,492
Região Centro-Oeste;2013;1,648968009
Região Centro-Oeste;2014;1,813032484
Região Centro-Oeste;2015;2,062966934
Região Centro-Oeste;2016;2,208233234
Região Centro-Oeste;2017;2,290235387
Região Centro-Oeste;2018;2,578960837
Região Centro-Oeste;2019;2,658064771
Região Centro-Oeste;2020;2,252188246
Região Centro-Oeste;2021;3,254805028
