GRANDES REGIÕES;ANO;PREÇO MÉDIO PONDERADO DE PRODUTORES E IMPORTADORES DE GLP
Região Norte;2012;1,095
Região Norte;2013;1,094313676
Região Norte;2014;1,101470022
Região Norte;2015;1,169793918
Região Norte;2016;1,271322974
Região Norte;2017;1,555598917
Região Norte;2018;2,076149665
Região Norte;2019;2,145424089
Região Norte;2020;2,238312785
Região Norte;2021;3,440833466
Região Nordeste;2012;1,122
Região Nordeste;2013;1,127063202
Região Nordeste;2014;1,132994609
Região Nordeste;2015;1,216292212
Região Nordeste;2016;1,331850163
Região Nordeste;2017;1,629540442
Região Nordeste;2018;2,133770041
Região Nordeste;2019;2,187438943
Região Nordeste;2020;2,281504536
Região Nordeste;2021;3,451533268
Região Sudeste;2012;1,195
Região Sudeste;2013;1,198082414
Região Sudeste;2014;1,202684469
Região Sudeste;2015;1,316955897
Região Sudeste;2016;1,439708065
Região Sudeste;2017;1,725612566
Região Sudeste;2018;2,225806728
Região Sudeste;2019;2,222102495
Região Sudeste;2020;2,25775903
Região Sudeste;2021;3,465278757
Região Sul;2012;1,176
Região Sul;2013;1,1787162
Região Sul;2014;1,183315404
Região Sul;2015;1,291160088
Região Sul;2016;1,414844424
Região Sul;2017;1,710490254
Região Sul;2018;2,229164105
Região Sul;2019;2,252115545
Região Sul;2020;2,312425187
Região Sul;2021;3,521456635
Região Centro-Oeste;2012;0
