GRANDES REGIÕES;ANO;PREÇO MÉDIO PONDERADO DE PRODUTORES E IMPORTADORES DE QUEROSENE DE AVIAÇÃO
Brasil;2012;1,742
Brasil;2013;1,849245866
Brasil;2014;1,938177302
Brasil;2015;1,627122217
Brasil;2016;1,410455364
Brasil;2017;1,605342472
Brasil;2018;2,20732435
Brasil;2019;2,220895137
Brasil;2020;2,03791816
Brasil;2021;2,900112864
Região Norte;2012;1,747
Região Norte;2013;1,841630826
Região Norte;2014;1,937490511
Região Norte;2015;1,585841731
Região Norte;2016;1,368993124
Região Norte;2017;1,562624917
Região Norte;2018;2,204057311
Região Norte;2019;2,190794567
Região Norte;2020;1,91398092
Região Norte;2021;2,803264445
Região Nordeste;2012;1,735
Região Nordeste;2013;1,840078729
Região Nordeste;2014;1,91400258
Região Nordeste;2015;1,592050326
Região Nordeste;2016;1,383140003
Região Nordeste;2017;1,562108981
Região Nordeste;2018;2,197367993
Região Nordeste;2019;2,164126725
Região Nordeste;2020;2,010644104
Região Nordeste;2021;2,829174141
Região Sudeste;2012;1,739
Região Sudeste;2013;1,847907643
Região Sudeste;2014;1,939470302
Região Sudeste;2015;1,632551308
Região Sudeste;2016;1,414249322
Região Sudeste;2017;1,615921537
Região Sudeste;2018;2,206954471
Região Sudeste;2019;2,231048601
Região Sudeste;2020;2,04565026
Região Sudeste;2021;2,917347433
Região Sul;2012;1,779
Região Sul;2013;1,887735266
Região Sul;2014;1,973324106
Região Sul;2015;1,672093796
Região Sul;2016;1,455123219
Região Sul;2017;1,618362455
Região Sul;2018;2,236154043
Região Sul;2019;2,264108702
Região Sul;2020;2,174612667
Região Sul;2021;3,023929208
Região Centro-Oeste;2012;0
Região Centro-Oeste;2013;1,90425
Região Centro-Oeste;2015;1,6873
