GRANDES REGIÕES;ANO;PREÇO MÉDIO PONDERADO DE PRODUTORES E IMPORTADORES DE ÓLEO COMBUSTÍVEL A1
Região Norte;2012;1,016
Região Norte;2013;1,067388147
Região Norte;2014;1,238783789
Região Norte;2015;1,241188367
Região Norte;2016;1,084403488
Região Norte;2017;1,256317637
Região Norte;2018;1,680621521
Região Norte;2019;1,856711709
Região Norte;2020;1,762404078
Região Norte;2021;2,757532438
Região Nordeste;2012;1,017
Região Nordeste;2013;1,07008613
Região Nordeste;2014;1,251870897
Região Nordeste;2015;1,304729943
Região Nordeste;2016;1,146909897
Região Nordeste;2017;1,303458006
Região Nordeste;2018;1,864874948
Região Nordeste;2019;1,926637629
Região Nordeste;2020;1,868500024
Região Nordeste;2021;3,015941131
Região Sudeste;2012;0,999
Região Sudeste;2013;1,041771345
Região Sudeste;2014;1,22336582
Região Sudeste;2015;1,298231383
Região Sudeste;2016;1,339764357
Região Sudeste;2017;1,513490145
Região Sudeste;2018;2,148414725
Região Sudeste;2019;2,178826078
Região Sudeste;2020;2,165970593
Região Sudeste;2021;3,343658644
Região Sul;2012;1,024
Região Sul;2013;1,070878929
Região Sul;2014;1,230452866
Região Sul;2015;1,275991185
Região Sul;2016;1,303971623
Região Sul;2017;1,453426021
Região Sul;2018;1,917291632
Região Sul;2019;2,053853955
Região Sul;2020;2,073577793
Região Sul;2021;3,187291782
Região Centro-Oeste;2012;0
