GRANDES REGIÕES;ANO;PREÇO MÉDIO PONDERADO DE PRODUTORES E IMPORTADORES DE ÓLEO COMBUSTÍVEL A2
Região Norte;2012;0
Região Norte;2015;0
Região Norte;2016;0
Região Norte;2017;0
Região Norte;2018;0
Região Norte;2019;0
Região Norte;2020;0
Região Norte;2021;0
Região Nordeste;2012;0
Região Nordeste;2015;0
Região Nordeste;2016;0
Região Nordeste;2017;0
Região Nordeste;2018;0
Região Nordeste;2019;0
Região Nordeste;2020;0
Região Nordeste;2021;0
Região Sudeste;2012;1,022
Região Sudeste;2013;1,063764349
Região Sudeste;2014;1,21542
Região Sudeste;2015;0
Região Sudeste;2016;0
Região Sudeste;2017;0
Região Sudeste;2018;0
Região Sudeste;2019;0
Região Sudeste;2020;0
Região Sudeste;2021;0
Região Sul;2012;0
Região Sul;2015;0
Região Sul;2016;0
Região Sul;2017;0
Região Sul;2018;0
Região Sul;2019;0
Região Sul;2020;0
Região Sul;2021;0
Região Centro-Oeste;2012;0
Região Centro-Oeste;2015;0
Região Centro-Oeste;2016;0
Região Centro-Oeste;2017;0
Região Centro-Oeste;2018;0
Região Centro-Oeste;2019;0
Região Centro-Oeste;2020;0
Região Centro-Oeste;2021;0
