GRANDES REGIÕES;ANO;PREÇO MÉDIO PONDERADO DE PRODUTORES E IMPORTADORES DE ÓLEO COMBUSTÍVEL B1
Região Norte;2012;1,051
Região Norte;2013;1,118512449
Região Norte;2014;1,30826068
Região Norte;2015;1,247118096
Região Norte;2016;1,065931214
Região Norte;2017;1,294252409
Região Norte;2021;3,394835611
Região Nordeste;2012;0
Região Nordeste;2020;2,914456069
Região Nordeste;2021;3,216044309
Região Sudeste;2012;1,089
Região Sudeste;2014;1,33473
Região Sudeste;2015;1,415963333
Região Sudeste;2018;2,226289646
Região Sudeste;2019;1,909312235
Região Sudeste;2020;1,34500812
Região Sudeste;2021;3,241449169
Região Sul;2012;1,037
Região Sul;2013;1,210749905
Região Sul;2014;1,25239941
Região Sul;2017;1,3545
Região Sul;2018;1,684076084
Região Sul;2019;1,978665608
Região Sul;2020;2,13079501
Região Sul;2021;2,978853212
Região Centro-Oeste;2012;0
