TIPO DE PRODUTO OBTIDO;PRODUTO OBTIDO;UNIDADE DE MEDIDA;QUANTIDADE OBTIDA;XISTO BRUTO PROCESSADO;ANO
   Energéticos;       Gás de xisto;t;10619;1732378;2012
   Energéticos;       GLP1;m3;24122;1732378;2012
   Energéticos;       Gás de xisto;t;8109;1458191;2013
   Energéticos;       Gás de xisto;t;8424;1655484;2014
   Energéticos;       Gás de xisto;t;7752;1696947;2015
   Energéticos;       Gás de xisto;t;5162;1554895;2016
   Energéticos;       Gás de xisto;t;4238;1514187;2017
   Energéticos;       Gás de xisto;t;5761;1693884;2018
   Energéticos;       Gás de xisto;t;6724;1461562;2019
   Energéticos;       Gás de xisto;t;10005;1579182;2020
   Energéticos;       Gás de xisto;t;30000,416;1329214,02;2021
   Energéticos;       GLP1;m3;21563,14467;1458191;2013
   Energéticos;       GLP1;m3;25418,89006;1655484;2014
   Energéticos;       GLP1;m3;24164,14351;1696947;2015
   Energéticos;       GLP1;m3;20662,93779;1554895;2016
   Energéticos;       GLP1;m3;17163,4658;1514187;2017
   Energéticos;       GLP1;m3;7792,911267;1693884;2018
   Energéticos;       GLP1;m3;545,2700347;1461562;2019
   Energéticos;       GLP1;m3;14547,93323;1579182;2020
   Energéticos;       GLP1;m3;8840,233884;1329214,02;2021
   Energéticos;       Óleo combustível;m3;244754;1732378;2012
   Energéticos;       Óleo combustível;m3;216689,0923;1458191;2013
   Energéticos;       Óleo combustível;m3;237960,6919;1655484;2014
   Energéticos;       Óleo combustível;m3;219912,5646;1696947;2015
   Energéticos;       Óleo combustível;m3;217954,7587;1554895;2016
   Energéticos;       Óleo combustível;m3;346022,1272;1514187;2017
   Energéticos;       Óleo combustível;m3;320115,2847;1693884;2018
   Energéticos;       Óleo combustível;m3;149141,7788;1461562;2019
   Energéticos;       Óleo combustível;m3;183239,1444;1579182;2020
   Energéticos;       Óleo combustível;m3;161229,982;1329214,02;2021
   Não energéticos;       Nafta1;m3;31689;1732378;2012
   Não energéticos;       Nafta1;m3;24001;1458191;2013
   Não energéticos;       Nafta1;m3;28512;1655484;2014
   Não energéticos;       Nafta1;m3;25824;1696947;2015
   Não energéticos;       Nafta1;m3;29813;1554895;2016
   Não energéticos;       Nafta1;m3;32117;1514187;2017
   Não energéticos;       Nafta1;m3;37866;1693884;2018
   Não energéticos;       Nafta1;m3;31707;1461562;2019
   Não energéticos;       Nafta1;m3;35821;1579182;2020
   Não energéticos;       Nafta1;m3;28225,323;1329214,02;2021
   Não energéticos;       Outros não energéticos2;m3;2587;1732378;2012
   Não energéticos;       Outros não energéticos2;m3;2374,297838;1458191;2013
   Não energéticos;       Outros não energéticos2;m3;1931,690765;1655484;2014
   Não energéticos;       Outros não energéticos2;m3;295,5126859;1696947;2015
   Não energéticos;       Outros não energéticos2;m3;0;1554895;2016
   Não energéticos;       Outros não energéticos2;m3;0;1514187;2017
   Não energéticos;       Outros não energéticos2;m3;0;1693884;2018
   Não energéticos;       Outros não energéticos2;m3;0;1461562;2019
   Não energéticos;       Outros não energéticos2;m3;0;1579182;2020
   Não energéticos;       Outros não energéticos2;m3;0;1329214,02;2021
