TIPO DE TERMINAL;LOCAL / OPERADOR;QTDE TANQUES;CAPACIDADE DE ARMAZENAMENTO - PETRÓLEO;CAPACIDADE DE ARMAZENAMENTO - DERIVADOS E ETANOL;CAPACIDADE DE ARMAZENAMENTO - GLP
Terminal Fluvial;Belém (PA) - Transpetro Belém;7;0;37899;9535
Terminal Fluvial;Coari (AM) - Transpetro Coari;13;62817;767;19116
Terminal Fluvial;Itacoatiara (AM)  - TFB Itacoatiara ;18;0;106478;0
Terminal Fluvial;Itaituba (PA) - ABI Itaituba;8;0;4458;0
Terminal Fluvial;Ladário (MS) - Granel Química Ladário;6;0;8052;0
Terminal Fluvial;Porto Velho (RO) - ABI Porto Velho;12;0;16000;0
Terminal Fluvial;Santarém (PA) - ABI Santarém;8;0;12806;0
Terminal Fluvial;Santarém (PA) - Sociedade Fogás Santarém;7;0;0;680
Terminal Fluvial;Vitória do Xingu (PA) - Dorinaldo M. da Silva Vitória do Xingu;4;0;3323;0
Terminal Lacustre;Canoas (RS) - Transpetro Tenit Canoas;6;0;27127;0
Terminal Lacustre;Rio Grande (RS) - Transpetro Rio Grande;24;0;101092;0
Terminal Lacustre;Triunfo (RS) - Braskem Triunfo;2;0;12235;0
Terminal Marítimo;Angra dos Reis (RJ) - Transpetro Angra dos Reis;19;845577;142489;0
Terminal Marítimo;Aracaju (SE) - Transpetro Aracaju;5;155788;0;0
Terminal Marítimo;Aracruz (ES) - Transpetro Aracruz;9;0;60988;46900
Terminal Marítimo;Barcarena (PA) - Tequimar Vila do Conde;12;0;77598;0
Terminal Marítimo;Belém (PA) - Latitude Logística Belém;9;0;16843;0
Terminal Marítimo;Cabedelo (PB) - Nordeste Logística I Cabedelo;6;0;22371;0
Terminal Marítimo;Cabedelo (PB) - Nordeste Logística II Cabedelo;4;0;10805;0
Terminal Marítimo;Cabedelo (PB) - Nordeste Logística III Cabedelo;6;0;13045;0
Terminal Marítimo;Cabedelo (PB) - Tecab Cabedelo;10;0;36309;0
Terminal Marítimo;Cabedelo (PB) - Transpetro Cabedelo;4;0;10022;0
Terminal Marítimo;Candeias (BA) - Ultracargo Candeias;89;0;209470;0
Terminal Marítimo;Candeias (BA) - Vopak Candeias;58;0;86378;0
