UNIDADES DA FEDERAÇÃO;LOCALIZAÇÃO;ANO;RESERVAS TOTAIS DE GÁS NATURAL
Amazonas;Terra;2012;89237
Amazonas;Terra;2013;86963,30412
Amazonas;Terra;2014;74486,0594
Amazonas;Terra;2015;51225,37809
Amazonas;Terra;2016;38686,31384
Amazonas;Terra;2017;45137,08714
Amazonas;Terra;2018;41073,85136
Amazonas;Terra;2019;45300
Amazonas;Terra;2020;47714,64751
Amazonas;Terra;2021;45293,28012
Maranhão;Terra;2012;29705
Maranhão;Terra;2013;8651,926596
Maranhão;Terra;2014;8405,637236
Maranhão;Terra;2015;17272,93056
Maranhão;Terra;2016;20412,20212
Maranhão;Terra;2017;20822,20833
Maranhão;Terra;2018;25720,765
Maranhão;Terra;2019;25127
Maranhão;Terra;2020;29215,37147
Maranhão;Terra;2021;35360,60947
Ceará;Terra;2012;0
Ceará;Terra;2013;0
Ceará;Terra;2014;6,5706
Ceará;Terra;2015;0,000013
Ceará;Terra;2016;0
Ceará;Terra;2017;0
Ceará;Terra;2018;0
Ceará;Terra;2019;0
Ceará;Terra;2020;0
Ceará;Terra;2021;0
Ceará;Mar;2012;454
Ceará;Mar;2013;741,6388
Ceará;Mar;2014;502,907578
Ceará;Mar;2015;255,940367
Ceará;Mar;2016;509,988719
Ceará;Mar;2017;216,941968
Ceará;Mar;2018;359,900728
Ceará;Mar;2019;327
Ceará;Mar;2020;0
Ceará;Mar;2021;0
Rio Grande do Norte;Terra;2012;3275
Rio Grande do Norte;Terra;2013;2548,927338
Rio Grande do Norte;Terra;2014;2209,704036
Rio Grande do Norte;Terra;2015;2407,036523
Rio Grande do Norte;Terra;2016;2240,641592
Rio Grande do Norte;Terra;2017;2311,22094
Rio Grande do Norte;Terra;2018;1965,809214
Rio Grande do Norte;Terra;2019;1724
Rio Grande do Norte;Terra;2020;1799,590972
Rio Grande do Norte;Terra;2021;2624,351923
Rio Grande do Norte;Mar;2012;10401
Rio Grande do Norte;Mar;2013;9088,21879
Rio Grande do Norte;Mar;2014;8224,91917
Rio Grande do Norte;Mar;2015;2421,85501
Rio Grande do Norte;Mar;2016;2700,919308
Rio Grande do Norte;Mar;2017;2377,486097
Rio Grande do Norte;Mar;2018;2810,010052
Rio Grande do Norte;Mar;2019;2962
Rio Grande do Norte;Mar;2020;2473,784967
Rio Grande do Norte;Mar;2021;2383,080684
Alagoas;Terra;2012;4223
Alagoas;Terra;2013;4335,349042
Alagoas;Terra;2014;3757,148426
Alagoas;Terra;2015;2907,7166
Alagoas;Terra;2016;2626,874231
Alagoas;Terra;2017;2437,739323
Alagoas;Terra;2018;2238,562756
Alagoas;Terra;2019;1789
Alagoas;Terra;2020;2608,828293
Alagoas;Terra;2021;2328,749333
Alagoas;Mar;2012;762
Alagoas;Mar;2013;656,364427
Alagoas;Mar;2014;583,409393
Alagoas;Mar;2015;502,253362
Alagoas;Mar;2016;456,203076
Alagoas;Mar;2017;394,974267
Alagoas;Mar;2018;341,389638
Alagoas;Mar;2019;231
Alagoas;Mar;2020;213,10587
Alagoas;Mar;2021;78,754052
Sergipe;Terra;2012;1756
Sergipe;Terra;2013;1813,597175
Sergipe;Terra;2014;1729,969541
Sergipe;Terra;2015;1566,01328
Sergipe;Terra;2016;1628,99026
Sergipe;Terra;2017;1580,226378
Sergipe;Terra;2018;1308,589966
Sergipe;Terra;2019;877
Sergipe;Terra;2020;339,6072219
Sergipe;Terra;2021;416,4137562
Sergipe;Mar;2012;5210
Sergipe;Mar;2013;4813,045188
Sergipe;Mar;2014;4185,986279
Sergipe;Mar;2015;4776,685762
Sergipe;Mar;2016;2751,73206
Sergipe;Mar;2017;1328,402136
Sergipe;Mar;2018;150,6204549
Sergipe;Mar;2019;504
Sergipe;Mar;2020;451,3131584
Sergipe;Mar;2021;24,30809685
Bahia;Terra;2012;12056
Bahia;Terra;2013;11553,31303
Bahia;Terra;2014;9452,474279
Bahia;Terra;2015;10358,6872
Bahia;Terra;2016;10979,50835
Bahia;Terra;2017;10418,33518
Bahia;Terra;2018;9351,368553
Bahia;Terra;2019;8764
Bahia;Terra;2020;9462,184749
Bahia;Terra;2021;9901,140501
Bahia;Mar;2012;28059
Bahia;Mar;2013;24742,7586
Bahia;Mar;2014;24036,375
Bahia;Mar;2015;13944,70953
Bahia;Mar;2016;12193,63818
Bahia;Mar;2017;11326,06887
Bahia;Mar;2018;8328,300505
Bahia;Mar;2019;7693
Bahia;Mar;2020;7419,47521
Bahia;Mar;2021;4323,439017
Espírito Santo;Terra;2012;729
Espírito Santo;Terra;2013;718,0847565
Espírito Santo;Terra;2014;950,416605
Espírito Santo;Terra;2015;768,7992599
Espírito Santo;Terra;2016;806,831725
Espírito Santo;Terra;2017;485,636327
Espírito Santo;Terra;2018;395,734185
Espírito Santo;Terra;2019;227
Espírito Santo;Terra;2020;384,2354661
Espírito Santo;Terra;2021;342,1920566
Espírito Santo;Mar;2012;103075
Espírito Santo;Mar;2013;91556,89429
Espírito Santo;Mar;2014;90662,52408
Espírito Santo;Mar;2015;79655,38391
Espírito Santo;Mar;2016;84659,77205
Espírito Santo;Mar;2017;67580,34447
Espírito Santo;Mar;2018;54055,94896
Espírito Santo;Mar;2019;47804
Espírito Santo;Mar;2020;30265,04454
Espírito Santo;Mar;2021;35870,06761
Rio de Janeiro3;Mar;2012;531125
Rio de Janeiro3;Mar;2013;507841,3469
Rio de Janeiro3;Mar;2014;555349,9913
Rio de Janeiro3;Mar;2015;490558,4954
Rio de Janeiro3;Mar;2016;397437,9111
Rio de Janeiro3;Mar;2017;385978,0583
Rio de Janeiro3;Mar;2018;372546,5774
Rio de Janeiro3;Mar;2019;375661
Rio de Janeiro3;Mar;2020;281541,2809
Rio de Janeiro3;Mar;2021;388123,7378
São Paulo4;Mar;2012;94268
São Paulo4;Mar;2013;79254,96968
São Paulo4;Mar;2014;75227,17362
São Paulo4;Mar;2015;67838,6995
São Paulo4;Mar;2016;59837,10271
São Paulo4;Mar;2017;59927,14429
São Paulo4;Mar;2018;49142,65502
São Paulo4;Mar;2019;31661
São Paulo4;Mar;2020;37709,14198
São Paulo4;Mar;2021;35124,35057
Paraná5;Terra;2012;0
Paraná5;Terra;2013;0
Paraná5;Terra;2014;0
Paraná5;Terra;2015;0
Paraná5;Terra;2016;0
Paraná5;Terra;2017;0
Paraná5;Terra;2018;0
Paraná5;Terra;2019;0
Paraná5;Terra;2020;400
Paraná5;Terra;2021;400
Paraná5;Mar;2012;1308
Paraná5;Mar;2013;1298,040442
Paraná5;Mar;2014;0
Paraná5;Mar;2015;0
Paraná5;Mar;2016;0
Paraná5;Mar;2017;0
Paraná5;Mar;2018;0
Paraná5;Mar;2019;0
Paraná5;Mar;2020;0
Paraná5;Mar;2021;0
Santa Catarina6;Mar;2012;2928
Santa Catarina6;Mar;2013;2928,049469
Santa Catarina6;Mar;2014;0
Santa Catarina6;Mar;2015;0
Santa Catarina6;Mar;2016;0
Santa Catarina6;Mar;2017;0
Santa Catarina6;Mar;2018;0
Santa Catarina6;Mar;2019;0
Santa Catarina6;Mar;2020;0
Santa Catarina6;Mar;2021;0
