REGIÃO GEOGRÁFICA;PAÍS;EXPORTAÇÃO DE PETRÓLEO;ANO
América do Norte;Canadá;6871;2012
América do Norte;Canadá;5561,403;2013
América do Norte;Canadá;1529,001047;2014
América do Norte;Canadá;1913,551147;2015
América do Norte;Canadá;0;2016
América do Norte;Canadá;0;2017
América do Norte;Canadá;0;2018
América do Norte;Canadá;1,39996E-05;2019
América do Norte;Canadá;0;2020
América do Norte;Canadá;0;2021
América do Norte;Estados Unidos;57061;2012
América do Norte;Estados Unidos;38847,108;2013
América do Norte;Estados Unidos;40283,85939;2014
América do Norte;Estados Unidos;43954,55755;2015
América do Norte;Estados Unidos;34425,66551;2016
América do Norte;Estados Unidos;62226,30779;2017
América do Norte;Estados Unidos;50761,36326;2018
América do Norte;Estados Unidos;60014,59635;2019
América do Norte;Estados Unidos;35989,20376;2020
América do Norte;Estados Unidos;47280,21034;2021
Américas Central e do Sul;Argentina;0;2012
Américas Central e do Sul;Argentina;0;2013
Américas Central e do Sul;Argentina;0;2014
Américas Central e do Sul;Argentina;0;2015
Américas Central e do Sul;Argentina;0;2016
Américas Central e do Sul;Argentina;479,3618568;2017
Américas Central e do Sul;Argentina;0;2018
Américas Central e do Sul;Argentina;0;2019
Américas Central e do Sul;Argentina;0;2020
Américas Central e do Sul;Argentina;0;2021
Américas Central e do Sul;Aruba;0;2012
Américas Central e do Sul;Aruba;0;2013
Américas Central e do Sul;Aruba;2863,427319;2014
Américas Central e do Sul;Aruba;327,9903603;2015
Américas Central e do Sul;Aruba;1417,216055;2016
Américas Central e do Sul;Aruba;0;2017
Américas Central e do Sul;Aruba;0;2018
Américas Central e do Sul;Aruba;0;2019
Américas Central e do Sul;Aruba;0;2020
Américas Central e do Sul;Aruba;0;2021
Américas Central e do Sul;Bahamas;1890;2012
Américas Central e do Sul;Bahamas;1525,034;2013
Américas Central e do Sul;Bahamas;6810,697686;2014
Américas Central e do Sul;Bahamas;13165,36911;2015
Américas Central e do Sul;Bahamas;9379,627213;2016
Américas Central e do Sul;Bahamas;3763,646343;2017
Américas Central e do Sul;Bahamas;0;2018
Américas Central e do Sul;Bahamas;490,4059797;2019
Américas Central e do Sul;Bahamas;1008,274755;2020
Américas Central e do Sul;Bahamas;2423,386764;2021
Américas Central e do Sul;Bonaire, Saint Eustatius e Saba;0;2012
Américas Central e do Sul;Bonaire, Saint Eustatius e Saba;0;2013
Américas Central e do Sul;Bonaire, Saint Eustatius e Saba;0;2014
Américas Central e do Sul;Bonaire, Saint Eustatius e Saba;0;2015
Américas Central e do Sul;Bonaire, Saint Eustatius e Saba;0;2016
Américas Central e do Sul;Bonaire, Saint Eustatius e Saba;0;2017
Américas Central e do Sul;Bonaire, Saint Eustatius e Saba;0;2018
Américas Central e do Sul;Bonaire, Saint Eustatius e Saba;0;2019
Américas Central e do Sul;Bonaire, Saint Eustatius e Saba;0;2020
Américas Central e do Sul;Bonaire, Saint Eustatius e Saba;982,038149;2021
Américas Central e do Sul;Chile;9661;2012
Américas Central e do Sul;Chile;11178,925;2013
Américas Central e do Sul;Chile;21657,8825;2014
Américas Central e do Sul;Chile;22611,52186;2015
Américas Central e do Sul;Chile;29838,98534;2016
Américas Central e do Sul;Chile;31160,91146;2017
Américas Central e do Sul;Chile;33857,92264;2018
Américas Central e do Sul;Chile;20551,26573;2019
Américas Central e do Sul;Chile;16166,92307;2020
Américas Central e do Sul;Chile;30562,67827;2021
Américas Central e do Sul;Colômbia;0;2012
Américas Central e do Sul;Colômbia;0;2013
Américas Central e do Sul;Colômbia;0;2014
Américas Central e do Sul;Colômbia;0;2015
Américas Central e do Sul;Colômbia;3799,657404;2016
Américas Central e do Sul;Colômbia;0;2017
Américas Central e do Sul;Colômbia;488,4118068;2018
Américas Central e do Sul;Colômbia;0;2019
Américas Central e do Sul;Colômbia;0;2020
Américas Central e do Sul;Colômbia;0;2021
Américas Central e do Sul;Jamaica;0;2012
Américas Central e do Sul;Jamaica;0;2013
Américas Central e do Sul;Jamaica;0;2014
Américas Central e do Sul;Jamaica;0;2015
Américas Central e do Sul;Jamaica;0;2016
Américas Central e do Sul;Jamaica;0;2017
Américas Central e do Sul;Jamaica;0;2018
Américas Central e do Sul;Jamaica;197,6629683;2019
Américas Central e do Sul;Jamaica;2925,389166;2020
Américas Central e do Sul;Jamaica;979,7055087;2021
Américas Central e do Sul;Panamá;0;2012
Américas Central e do Sul;Panamá;0;2013
Américas Central e do Sul;Panamá;0;2014
Américas Central e do Sul;Panamá;0;2015
Américas Central e do Sul;Panamá;0;2016
Américas Central e do Sul;Panamá;3900,281852;2017
Américas Central e do Sul;Panamá;3430,484731;2018
Américas Central e do Sul;Panamá;0;2019
Américas Central e do Sul;Panamá;1944,910868;2020
Américas Central e do Sul;Panamá;970,0408296;2021
Américas Central e do Sul;Peru;1762;2012
Américas Central e do Sul;Peru;804,681;2013
Américas Central e do Sul;Peru;430,5609098;2014
Américas Central e do Sul;Peru;887,607994;2015
Américas Central e do Sul;Peru;1696,290844;2016
Américas Central e do Sul;Peru;3053,16447;2017
Américas Central e do Sul;Peru;394,9630671;2018
Américas Central e do Sul;Peru;0;2019
Américas Central e do Sul;Peru;1938,251224;2020
Américas Central e do Sul;Peru;10628,31876;2021
Américas Central e do Sul;Santa Lúcia;12384;2012
Américas Central e do Sul;Santa Lúcia;998,39;2013
Américas Central e do Sul;Santa Lúcia;13489,69445;2014
Américas Central e do Sul;Santa Lúcia;16745,86603;2015
Américas Central e do Sul;Santa Lúcia;9985,872333;2016
Américas Central e do Sul;Santa Lúcia;9889,892584;2017
Américas Central e do Sul;Santa Lúcia;6483,547845;2018
Américas Central e do Sul;Santa Lúcia;912,9149175;2019
Américas Central e do Sul;Santa Lúcia;997,333709;2020
Américas Central e do Sul;Santa Lúcia;2942,76701;2021
Américas Central e do Sul;Trinidad e Tobago;489;2012
Américas Central e do Sul;Trinidad e Tobago;0;2013
Américas Central e do Sul;Trinidad e Tobago;884,2983422;2014
Américas Central e do Sul;Trinidad e Tobago;0;2015
Américas Central e do Sul;Trinidad e Tobago;506,565494;2016
Américas Central e do Sul;Trinidad e Tobago;0;2017
Américas Central e do Sul;Trinidad e Tobago;0;2018
Américas Central e do Sul;Trinidad e Tobago;0;2019
Américas Central e do Sul;Trinidad e Tobago;0;2020
Américas Central e do Sul;Trinidad e Tobago;0;2021
Américas Central e do Sul;Uruguai;1658;2012
Américas Central e do Sul;Uruguai;2636,276;2013
Américas Central e do Sul;Uruguai;12950,98378;2014
Américas Central e do Sul;Uruguai;26461,23853;2015
Américas Central e do Sul;Uruguai;36533,3107;2016
Américas Central e do Sul;Uruguai;15248,8415;2017
Américas Central e do Sul;Uruguai;19811,86951;2018
Américas Central e do Sul;Uruguai;12632,9476;2019
Américas Central e do Sul;Uruguai;2873,9415;2020
Américas Central e do Sul;Uruguai;0;2021
Europa;Alemanha;464;2012
Europa;Alemanha;842,419;2013
Europa;Alemanha;493,6805663;2014
Europa;Alemanha;0;2015
Europa;Alemanha;0;2016
Europa;Alemanha;0;2017
Europa;Alemanha;0;2018
Europa;Alemanha;0;2019
Europa;Alemanha;0;2020
Europa;Alemanha;0;2021
Europa;Croácia;0;2012
Europa;Croácia;0;2013
Europa;Croácia;0;2014
Europa;Croácia;0;2015
Europa;Croácia;379,465596;2016
Europa;Croácia;0;2017
Europa;Croácia;0;2018
Europa;Croácia;0;2019
Europa;Croácia;0;2020
Europa;Croácia;0;2021
Europa;Espanha;4675;2012
Europa;Espanha;6024,984;2013
Europa;Espanha;4366,883702;2014
Europa;Espanha;10982,31601;2015
Europa;Espanha;16411,39099;2016
Europa;Espanha;24575,49579;2017
Europa;Espanha;37680,37939;2018
Europa;Espanha;16451,37799;2019
Europa;Espanha;26340,6595;2020
Europa;Espanha;17223,64507;2021
Europa;França;7430;2012
Europa;França;1214,603;2013
Europa;França;0;2014
Europa;França;0,000405989;2015
Europa;França;975,1946377;2016
Europa;França;0;2017
Europa;França;0;2018
Europa;França;2185,352321;2019
Europa;França;2440,718929;2020
Europa;França;992,1585462;2021
Europa;Itália;0;2012
Europa;Itália;0;2013
Europa;Itália;447,9420768;2014
Europa;Itália;0;2015
Europa;Itália;2446,670503;2016
Europa;Itália;2,09994E-05;2017
Europa;Itália;0;2018
Europa;Itália;0;2019
Europa;Itália;2845,385777;2020
Europa;Itália;2379,27098;2021
Europa;Luxemburgo;0;2012
Europa;Luxemburgo;1064,42029;2019
Europa;Luxemburgo;0;2020
Europa;Luxemburgo;201,314282;2021
Europa;Noruega;0;2012
Europa;Noruega;0;2013
Europa;Noruega;0;2014
Europa;Noruega;0;2015
Europa;Noruega;0;2016
Europa;Noruega;0,002652924;2017
Europa;Noruega;0,002680923;2018
Europa;Noruega;1864,042483;2019
Europa;Noruega;1920,254348;2020
Europa;Noruega;2004,549503;2021
Europa;Países Baixos (Holanda);8144;2012
Europa;Países Baixos (Holanda);7513,185;2013
Europa;Países Baixos (Holanda);3973,248026;2014
Europa;Países Baixos (Holanda);3776,242404;2015
Europa;Países Baixos (Holanda);5500,979384;2016
Europa;Países Baixos (Holanda);3312,969693;2017
Europa;Países Baixos (Holanda);0;2018
Europa;Países Baixos (Holanda);7187,528275;2019
Europa;Países Baixos (Holanda);12573,16606;2020
Europa;Países Baixos (Holanda);18835,12898;2021
Europa;Portugal;7831;2012
Europa;Portugal;1968,772;2013
Europa;Portugal;4926,813002;2014
Europa;Portugal;4925,969847;2015
Europa;Portugal;2971,334022;2016
Europa;Portugal;8565,772334;2017
Europa;Portugal;5843,685964;2018
Europa;Portugal;4710,646064;2019
Europa;Portugal;20697,637;2020
Europa;Portugal;25118,89381;2021
Europa;Reino Unido;0;2012
Europa;Reino Unido;0;2013
Europa;Reino Unido;2845,247802;2014
Europa;Reino Unido;6,99981E-06;2015
Europa;Reino Unido;853,7423922;2016
Europa;Reino Unido;0;2017
Europa;Reino Unido;0;2018
Europa;Reino Unido;6,9998E-06;2019
Europa;Reino Unido;0;2020
Europa;Reino Unido;0,00011436;2021
Europa;Suécia;0;2012
Europa;Suécia;0;2013
Europa;Suécia;0;2014
Europa;Suécia;0;2015
Europa;Suécia;0;2016
Europa;Suécia;0;2017
Europa;Suécia;0;2018
Europa;Suécia;0;2019
Europa;Suécia;0;2020
Europa;Suécia;1639,895988;2021
Oriente Médio;Israel;0;2012
Oriente Médio;Israel;0;2013
