TIPO DE DERIVADO;DERIVADO DE PETRÓLEO;VOLUME IMPORTADO;ANO
Energéticos;Gasolina A;3780,2;2012
Energéticos;Gasolina A;2878,042;2013
Energéticos;Gasolina A;2176,993;2014
Energéticos;Gasolina A;2469,576065;2015
Energéticos;Gasolina A;2926,182269;2016
Energéticos;Gasolina A;4488,50467;2017
Energéticos;Gasolina A;2966,858561;2018
Energéticos;Gasolina A;4828,411527;2019
Energéticos;Gasolina A;3944,013962;2020
Energéticos;Gasolina A;2419,963715;2021
Energéticos;Gasolina de aviação;6,2;2012
Energéticos;Gasolina de aviação;0;2013
Energéticos;Gasolina de aviação;0;2014
Energéticos;Gasolina de aviação;0;2015
Energéticos;Gasolina de aviação;0;2016
Energéticos;Gasolina de aviação;0;2017
Energéticos;Gasolina de aviação;4,683281944;2018
Energéticos;Gasolina de aviação;59,63650972;2019
Energéticos;Gasolina de aviação;34,94625972;2020
Energéticos;Gasolina de aviação;0;2021
Energéticos;GLP1;2520,3;2012
Energéticos;GLP1;3324,43;2013
Energéticos;GLP1;3862,921;2014
Energéticos;GLP1;3191,170824;2015
Energéticos;GLP1;4149,569225;2016
Energéticos;GLP1;3292,753692;2017
Energéticos;GLP1;4391,262176;2018
Energéticos;GLP1;3555,340549;2019
Energéticos;GLP1;3617,302268;2020
Energéticos;GLP1;4017,136482;2021
Energéticos;Óleo combustível ;212,3;2012
Energéticos;Óleo combustível ;96,25;2013
Energéticos;Óleo combustível ;398,833;2014
Energéticos;Óleo combustível ;354,7211757;2015
Energéticos;Óleo combustível ;65,089695;2016
Energéticos;Óleo combustível ;75,11716584;2017
Energéticos;Óleo combustível ;319,1752201;2018
Energéticos;Óleo combustível ;56,19815893;2019
Energéticos;Óleo combustível ;81,45216907;2020
Energéticos;Óleo combustível ;621,825668;2021
Energéticos;Óleo diesel;7970,2;2012
Energéticos;Óleo diesel;10283,044;2013
Energéticos;Óleo diesel;11275,109;2014
Energéticos;Óleo diesel;6940,099664;2015
Energéticos;Óleo diesel;7918,323718;2016
Energéticos;Óleo diesel;12955,23004;2017
Energéticos;Óleo diesel;11649,95671;2018
Energéticos;Óleo diesel;13007,76548;2019
Energéticos;Óleo diesel;11994,55886;2020
Energéticos;Óleo diesel;14436,65362;2021
Energéticos;QAV;1663,2;2012
Energéticos;QAV;1961,649;2013
Energéticos;QAV;1503,589;2014
Energéticos;QAV;1373,952143;2015
Energéticos;QAV;1274,285344;2016
Energéticos;QAV;575,7946608;2017
Energéticos;QAV;857,8219487;2018
Energéticos;QAV;1037,754539;2019
Energéticos;QAV;326,6856629;2020
Energéticos;QAV;373,8447019;2021
Não energéticos ;Asfalto;103,7;2012
Não energéticos ;Asfalto;84,779;2013
Não energéticos ;Asfalto;26,754;2014
Não energéticos ;Asfalto;8,056913171;2015
Não energéticos ;Asfalto;0,867391;2016
Não energéticos ;Asfalto;1,488649756;2017
Não energéticos ;Asfalto;1,211426341;2018
Não energéticos ;Asfalto;6,359349268;2019
Não energéticos ;Asfalto;32,2336839;2020
Não energéticos ;Asfalto;64,17259317;2021
Não energéticos ;Coque;3713,2;2012
Não energéticos ;Coque;3776,722;2013
Não energéticos ;Coque;3842,835;2014
Não energéticos ;Coque;2972,596262;2015
Não energéticos ;Coque;2057,621478;2016
Não energéticos ;Coque;2228,677838;2017
Não energéticos ;Coque;2781,096994;2018
Não energéticos ;Coque;2631,611885;2019
Não energéticos ;Coque;2535,982013;2020
Não energéticos ;Coque;3573,00956;2021
Não energéticos ;Nafta;6098,3;2012
Não energéticos ;Nafta;7008,309;2013
Não energéticos ;Nafta;6846,834;2014
Não energéticos ;Nafta;7003,992939;2015
Não energéticos ;Nafta;8667,163897;2016
Não energéticos ;Nafta;10412,8563;2017
Não energéticos ;Nafta;7976,00791;2018
Não energéticos ;Nafta;7630,817481;2019
Não energéticos ;Nafta;3832,718743;2020
Não energéticos ;Nafta;7991,45567;2021
Não energéticos ;Óleo lubrificante;801;2012
Não energéticos ;Óleo lubrificante;862,544;2013
Não energéticos ;Óleo lubrificante;713,183;2014
Não energéticos ;Óleo lubrificante;649,9025244;2015
Não energéticos ;Óleo lubrificante;648,241856;2016
Não energéticos ;Óleo lubrificante;575,9184756;2017
Não energéticos ;Óleo lubrificante;787,3216442;2018
Não energéticos ;Óleo lubrificante;764,10095;2019
Não energéticos ;Óleo lubrificante;851,9926012;2020
Não energéticos ;Óleo lubrificante;1109,646927;2021
Não energéticos ;Parafina;35,3;2012
Não energéticos ;Parafina;31,904;2013
Não energéticos ;Parafina;25,578;2014
Não energéticos ;Parafina;25,48690854;2015
Não energéticos ;Parafina;24,295428;2016
Não energéticos ;Parafina;31,40725976;2017
Não energéticos ;Parafina;31,94077195;2018
Não energéticos ;Parafina;18,82226585;2019
Não energéticos ;Parafina;81,42164146;2020
Não energéticos ;Parafina;112,7688341;2021
Não energéticos ;Solvente;263,8;2012
Não energéticos ;Solvente;303,291;2013
Não energéticos ;Solvente;599,975;2014
Não energéticos ;Solvente;729,3124076;2015
Não energéticos ;Solvente;588,599229;2016
Não energéticos ;Solvente;1083,136316;2017
Não energéticos ;Solvente;976,4704022;2018
Não energéticos ;Solvente;579,5495735;2019
Não energéticos ;Solvente;919,3252834;2020
Não energéticos ;Solvente;1300,380022;2021
Não energéticos ;Outros2;10;2012
Não energéticos ;Outros2;8,416;2013
Não energéticos ;Outros2;5,717;2014
Não energéticos ;Outros2;5,592375;2015
Não energéticos ;Outros2;5,616984;2016
Não energéticos ;Outros2;6,438033565;2017
Não energéticos ;Outros2;12,85741551;2018
Não energéticos ;Outros2;11,9459919;2019
