REGIÃO REOGRÁFICA;PAÍS;PRODUTO;EXPORTAÇÃO DE DERIVADOS DE PETRÓLEO
América do Norte;Canadá;Óleo combustível;0,4
América do Norte;Canadá;Gasolina A;0
América do Norte;Canadá;Solvente;0
América do Norte;Canadá;Coque;125,2
América do Norte;Canadá;Lubrificante;0
América do Norte;Canadá;Diesel;0
América do Norte;Canadá;GLP;0
América do Norte;Estados Unidos;Óleo combustível;146,2
América do Norte;Estados Unidos;Gasolina A;1318,6
América do Norte;Estados Unidos;Solvente;199,5
América do Norte;Estados Unidos;Coque;378,4
América do Norte;Estados Unidos;Lubrificante;0,4
América do Norte;Estados Unidos;Diesel;0,5
América do Norte;Estados Unidos;GLP;0
América do Norte;México;Óleo combustível;0
América do Norte;México;Gasolina A;0
América do Norte;México;Solvente;0,1
América do Norte;México;Coque;0,2
América do Norte;México;Lubrificante;0,8
América do Norte;México;Diesel;0
América do Norte;México;GLP;0
Américas Central e do Sul;Antígua e Barbuda;Óleo combustível;40,6
Américas Central e do Sul;Antígua e Barbuda;Gasolina A;0
Américas Central e do Sul;Antígua e Barbuda;Solvente;0
Américas Central e do Sul;Antígua e Barbuda;Coque;0
Américas Central e do Sul;Antígua e Barbuda;Lubrificante;0
Américas Central e do Sul;Antígua e Barbuda;Diesel;1
Américas Central e do Sul;Antígua e Barbuda;GLP;0
Américas Central e do Sul;Argentina;Óleo combustível;0
Américas Central e do Sul;Argentina;Gasolina A;5,4
Américas Central e do Sul;Argentina;Solvente;2,3
Américas Central e do Sul;Argentina;Coque;0,1
Américas Central e do Sul;Argentina;Lubrificante;27,2
Américas Central e do Sul;Argentina;Diesel;0
Américas Central e do Sul;Argentina;GLP;0
Américas Central e do Sul;Bahamas;Óleo combustível;238,8
Américas Central e do Sul;Bahamas;Gasolina A;0
Américas Central e do Sul;Bahamas;Solvente;0
Américas Central e do Sul;Bahamas;Coque;0
Américas Central e do Sul;Bahamas;Lubrificante;0,7
Américas Central e do Sul;Bahamas;Diesel;2
Américas Central e do Sul;Bahamas;GLP;0
Américas Central e do Sul;Barbados;Óleo combustível;10,4
Américas Central e do Sul;Barbados;Gasolina A;0
Américas Central e do Sul;Barbados;Solvente;0
Américas Central e do Sul;Barbados;Coque;0
Américas Central e do Sul;Barbados;Lubrificante;0
Américas Central e do Sul;Barbados;Diesel;0,1
Américas Central e do Sul;Barbados;GLP;0
Américas Central e do Sul;Bolívia;Óleo combustível;0
Américas Central e do Sul;Bolívia;Gasolina A;0
Américas Central e do Sul;Bolívia;Solvente;1,3
Américas Central e do Sul;Bolívia;Coque;0,1
Américas Central e do Sul;Bolívia;Lubrificante;13,6
Américas Central e do Sul;Bolívia;Diesel;0
Américas Central e do Sul;Bolívia;GLP;0
Américas Central e do Sul;Chile;Óleo combustível;22,3
Américas Central e do Sul;Chile;Gasolina A;0
Américas Central e do Sul;Chile;Solvente;8
Américas Central e do Sul;Chile;Coque;0,5
Américas Central e do Sul;Chile;Lubrificante;5,7
Américas Central e do Sul;Chile;Diesel;0
Américas Central e do Sul;Chile;GLP;0
Américas Central e do Sul;Colômbia;Óleo combustível;0
Américas Central e do Sul;Colômbia;Gasolina A;0
Américas Central e do Sul;Colômbia;Solvente;17,3
Américas Central e do Sul;Colômbia;Coque;0
Américas Central e do Sul;Colômbia;Lubrificante;4,6
Américas Central e do Sul;Colômbia;Diesel;0
Américas Central e do Sul;Colômbia;GLP;0
Américas Central e do Sul;Panamá;Óleo combustível;526,7
Américas Central e do Sul;Panamá;Gasolina A;0
Américas Central e do Sul;Panamá;Solvente;0,1
Américas Central e do Sul;Panamá;Coque;0
Américas Central e do Sul;Panamá;Lubrificante;0,8
Américas Central e do Sul;Panamá;Diesel;4,6
Américas Central e do Sul;Panamá;GLP;0
Américas Central e do Sul;Paraguai;Óleo combustível;0,5
Américas Central e do Sul;Paraguai;Gasolina A;0
Américas Central e do Sul;Paraguai;Solvente;3,2
Américas Central e do Sul;Paraguai;Coque;0
Américas Central e do Sul;Paraguai;Lubrificante;28,2
Américas Central e do Sul;Paraguai;Diesel;0
Américas Central e do Sul;Paraguai;GLP;0
Américas Central e do Sul;Peru;Óleo combustível;0
Américas Central e do Sul;Peru;Gasolina A;0
Américas Central e do Sul;Peru;Solvente;3,9
Américas Central e do Sul;Peru;Coque;0
Américas Central e do Sul;Peru;Lubrificante;4,9
Américas Central e do Sul;Peru;Diesel;0
Américas Central e do Sul;Peru;GLP;0
Américas Central e do Sul;Trinidad e Tobago;Óleo combustível;0
Américas Central e do Sul;Trinidad e Tobago;Gasolina A;0
Américas Central e do Sul;Trinidad e Tobago;Solvente;0
Américas Central e do Sul;Trinidad e Tobago;Coque;15,2
Américas Central e do Sul;Trinidad e Tobago;Lubrificante;0
Américas Central e do Sul;Trinidad e Tobago;Diesel;0
Américas Central e do Sul;Trinidad e Tobago;GLP;0
Américas Central e do Sul;Uruguai;Óleo combustível;0,6
Américas Central e do Sul;Uruguai;Gasolina A;0
Américas Central e do Sul;Uruguai;Solvente;0,9
Américas Central e do Sul;Uruguai;Coque;1,4
Américas Central e do Sul;Uruguai;Lubrificante;7,9
Américas Central e do Sul;Uruguai;Diesel;0
Américas Central e do Sul;Uruguai;GLP;0
Américas Central e do Sul;Outros2;Óleo combustível;20,2
Américas Central e do Sul;Outros2;Gasolina A;0
Américas Central e do Sul;Outros2;Solvente;0,6
Américas Central e do Sul;Outros2;Coque;0,7
Américas Central e do Sul;Outros2;Lubrificante;10,1
Américas Central e do Sul;Outros2;Diesel;2,8
Américas Central e do Sul;Outros2;GLP;0
Américas Central e do Sul;Europa;Óleo combustível;1129,7
Américas Central e do Sul;Europa;Gasolina A;203,4
Américas Central e do Sul;Europa;Solvente;27,9
Américas Central e do Sul;Europa;Coque;125,1
Américas Central e do Sul;Europa;Lubrificante;5,5
Américas Central e do Sul;Europa;Diesel;16,4
Américas Central e do Sul;Europa;GLP;0
Américas Central e do Sul;Alemanha;Óleo combustível;10,7
Américas Central e do Sul;Alemanha;Gasolina A;0
Américas Central e do Sul;Alemanha;Solvente;6,4
Américas Central e do Sul;Alemanha;Coque;0
Américas Central e do Sul;Alemanha;Lubrificante;0,1
Américas Central e do Sul;Alemanha;Diesel;0,1
Américas Central e do Sul;Alemanha;GLP;0
Américas Central e do Sul;Bélgica;Óleo combustível;10,6
Américas Central e do Sul;Bélgica;Gasolina A;0
Américas Central e do Sul;Bélgica;Solvente;13,6
Américas Central e do Sul;Bélgica;Coque;0
Américas Central e do Sul;Bélgica;Lubrificante;0
Américas Central e do Sul;Bélgica;Diesel;1,3
Américas Central e do Sul;Bélgica;GLP;0
Américas Central e do Sul;Chipre;Óleo combustível;100,3
Américas Central e do Sul;Chipre;Gasolina A;0
Américas Central e do Sul;Chipre;Solvente;0
Américas Central e do Sul;Chipre;Coque;0
Américas Central e do Sul;Chipre;Lubrificante;0,4
Américas Central e do Sul;Chipre;Diesel;0,5
Américas Central e do Sul;Chipre;GLP;0
Américas Central e do Sul;Dinamarca;Óleo combustível;23,4
Américas Central e do Sul;Dinamarca;Gasolina A;0
Américas Central e do Sul;Dinamarca;Solvente;0
Américas Central e do Sul;Dinamarca;Coque;0
Américas Central e do Sul;Dinamarca;Lubrificante;0
Américas Central e do Sul;Dinamarca;Diesel;0
Américas Central e do Sul;Dinamarca;GLP;0
Américas Central e do Sul;Espanha;Óleo combustível;0
Américas Central e do Sul;Espanha;Gasolina A;0
Américas Central e do Sul;Espanha;Solvente;0
Américas Central e do Sul;Espanha;Coque;14,7
Américas Central e do Sul;Espanha;Lubrificante;0,1
Américas Central e do Sul;Espanha;Diesel;0
Américas Central e do Sul;Espanha;GLP;0
Américas Central e do Sul;França;Óleo combustível;1,2
Américas Central e do Sul;França;Gasolina A;0
Américas Central e do Sul;França;Solvente;0,4
Américas Central e do Sul;França;Coque;0
Américas Central e do Sul;França;Lubrificante;0,1
Américas Central e do Sul;França;Diesel;0,5
Américas Central e do Sul;França;GLP;0
Américas Central e do Sul;Grécia;Óleo combustível;65,6
Américas Central e do Sul;Grécia;Gasolina A;0
Américas Central e do Sul;Grécia;Solvente;0
Américas Central e do Sul;Grécia;Coque;0,1
Américas Central e do Sul;Grécia;Lubrificante;0,5
Américas Central e do Sul;Grécia;Diesel;0,1
Américas Central e do Sul;Grécia;GLP;0
Américas Central e do Sul;Holanda;Óleo combustível;444,7
Américas Central e do Sul;Holanda;Gasolina A;203,4
Américas Central e do Sul;Holanda;Solvente;7,5
Américas Central e do Sul;Holanda;Coque;66,4
Américas Central e do Sul;Holanda;Lubrificante;0,4
Américas Central e do Sul;Holanda;Diesel;1,8
Américas Central e do Sul;Holanda;GLP;0
Américas Central e do Sul;Ilha de Man;Óleo combustível;22,4
Américas Central e do Sul;Ilha de Man;Gasolina A;0
Américas Central e do Sul;Ilha de Man;Solvente;0
Américas Central e do Sul;Ilha de Man;Coque;0
Américas Central e do Sul;Ilha de Man;Lubrificante;0
Américas Central e do Sul;Ilha de Man;Diesel;0
Américas Central e do Sul;Ilha de Man;GLP;0
Américas Central e do Sul;Islândia;Óleo combustível;0
Américas Central e do Sul;Islândia;Gasolina A;0
Américas Central e do Sul;Islândia;Solvente;0
Américas Central e do Sul;Islândia;Coque;18,4
Américas Central e do Sul;Islândia;Lubrificante;0
Américas Central e do Sul;Islândia;Diesel;0
Américas Central e do Sul;Islândia;GLP;0
Américas Central e do Sul;Itália;Óleo combustível;9,8
Américas Central e do Sul;Itália;Gasolina A;0
Américas Central e do Sul;Itália;Solvente;0
Américas Central e do Sul;Itália;Coque;0,2
Américas Central e do Sul;Itália;Lubrificante;0,2
Américas Central e do Sul;Itália;Diesel;0,3
Américas Central e do Sul;Itália;GLP;0
Américas Central e do Sul;Luxemburgo;Óleo combustível;2,2
Américas Central e do Sul;Luxemburgo;Gasolina A;0
Américas Central e do Sul;Luxemburgo;Solvente;0
Américas Central e do Sul;Luxemburgo;Coque;0
Américas Central e do Sul;Luxemburgo;Lubrificante;0
Américas Central e do Sul;Luxemburgo;Diesel;0,5
Américas Central e do Sul;Luxemburgo;GLP;0
Américas Central e do Sul;Malta;Óleo combustível;224,8
Américas Central e do Sul;Malta;Gasolina A;0
Américas Central e do Sul;Malta;Solvente;0
Américas Central e do Sul;Malta;Coque;0
Américas Central e do Sul;Malta;Lubrificante;0,3
Américas Central e do Sul;Malta;Diesel;9,7
Américas Central e do Sul;Malta;GLP;0
Américas Central e do Sul;Noruega;Óleo combustível;114,4
Américas Central e do Sul;Noruega;Gasolina A;0
Américas Central e do Sul;Noruega;Solvente;0
