TIPO DE DERIVADO;DERIVADO DE PETRÓLEO;VOLUME EXPORTADO;ANO
Energéticos;Gasolina A;122,3;2012
Energéticos;Gasolina A;332,257;2013
Energéticos;Gasolina A;348,066;2014
Energéticos;Gasolina A;609,5322251;2015
Energéticos;Gasolina A;721,693729;2016
Energéticos;Gasolina A;471,222558;2017
Energéticos;Gasolina A;1390,641387;2018
Energéticos;Gasolina A;3018,714904;2019
Energéticos;Gasolina A;2369,223588;2020
Energéticos;Gasolina A;1794,574199;2021
Energéticos;Gasolina de aviação;8,4;2012
Energéticos;Gasolina de aviação;14,657;2013
Energéticos;Gasolina de aviação;16,501;2014
Energéticos;Gasolina de aviação;6,3308;2015
Energéticos;Gasolina de aviação;6,746982;2016
Energéticos;Gasolina de aviação;7,004497;2017
Energéticos;Gasolina de aviação;3,539091667;2018
Energéticos;Gasolina de aviação;0;2019
Energéticos;Gasolina de aviação;0,417884722;2020
Energéticos;Gasolina de aviação;1,086122222;2021
Energéticos;GLP1;31,2;2012
Energéticos;GLP1;90,082;2013
Energéticos;GLP1;17,995;2014
Energéticos;GLP1;27,45972101;2015
Energéticos;GLP1;0,379368;2016
Energéticos;GLP1;1,723825;2017
Energéticos;GLP1;0,904655797;2018
Energéticos;GLP1;0,539413043;2019
Energéticos;GLP1;0,205469203;2020
Energéticos;GLP1;0,031449275;2021
Energéticos;Óleo combustível;7279;2012
Energéticos;Óleo combustível;5926,58;2013
Energéticos;Óleo combustível;5349,392;2014
Energéticos;Óleo combustível;4590,835272;2015
Energéticos;Óleo combustível;3270,038172;2016
Energéticos;Óleo combustível;3976,619873;2017
Energéticos;Óleo combustível;5532,195291;2018
Energéticos;Óleo combustível;7352,154816;2019
Energéticos;Óleo combustível;12903,3135;2020
Energéticos;Óleo combustível;11756,68395;2021
Energéticos;Óleo combustível marítimo2;3442,2;2012
Energéticos;Óleo combustível marítimo2;3201,879;2013
Energéticos;Óleo combustível marítimo2;3235,843;2014
Energéticos;Óleo combustível marítimo2;3867,561908;2015
Energéticos;Óleo combustível marítimo2;3342,962571;2016
Energéticos;Óleo combustível marítimo2;3163,913224;2017
Energéticos;Óleo combustível marítimo2;1476,85566;2018
Energéticos;Óleo combustível marítimo2;4,80205232;2019
Energéticos;Óleo combustível marítimo2;0;2020
Energéticos;Óleo combustível marítimo2;0;2021
Energéticos;Óleo diesel;321,2;2012
Energéticos;Óleo diesel;363,589;2013
Energéticos;Óleo diesel;390,531;2014
Energéticos;Óleo diesel;81,28422066;2015
Energéticos;Óleo diesel;476,421241;2016
Energéticos;Óleo diesel;500,967;2017
Energéticos;Óleo diesel;945,1935223;2018
Energéticos;Óleo diesel;44,80546127;2019
Energéticos;Óleo diesel;315,5940833;2020
Energéticos;Óleo diesel;36,72659524;2021
Energéticos;QAV;28,7;2012
Energéticos;QAV;63,652;2013
Energéticos;QAV;20,031;2014
Energéticos;QAV;10,48704881;2015
Energéticos;QAV;29,327238;2016
Energéticos;QAV;32,613875;2017
Energéticos;QAV;358,0430638;2018
Energéticos;QAV;2014,033372;2019
Energéticos;QAV;993,2521774;2020
Energéticos;QAV;1074,172136;2021
Energéticos;Querosene Iluminante;0;2012
Energéticos;Querosene Iluminante;0,245;2013
Energéticos;Querosene Iluminante;0;2014
Energéticos;Querosene Iluminante;0;2015
Energéticos;Querosene Iluminante;0;2016
Energéticos;Querosene Iluminante;0;2017
Energéticos;Querosene Iluminante;0;2018
Energéticos;Querosene Iluminante;0;2019
Energéticos;Querosene Iluminante;0;2020
Energéticos;Querosene Iluminante;0;2021
Energéticos;Combustíveis de aviação3;2781,3;2012
Energéticos;Combustíveis de aviação3;2763,513;2013
Energéticos;Combustíveis de aviação3;3040,302;2014
Energéticos;Combustíveis de aviação3;2958,157468;2015
Energéticos;Combustíveis de aviação3;2693,3081;2016
Energéticos;Combustíveis de aviação3;2782,58129;2017
Energéticos;Combustíveis de aviação3;2396,977;2018
Energéticos;Combustíveis de aviação3;3,707100125;2019
Energéticos;Combustíveis de aviação3;0;2020
Energéticos;Combustíveis de aviação3;0;2021
Não energéticos;Asfalto;110,1;2012
Não energéticos;Asfalto;140,766;2013
Não energéticos;Asfalto;150,186;2014
Não energéticos;Asfalto;138,76108;2015
Não energéticos;Asfalto;133,007053;2016
Não energéticos;Asfalto;85,62155;2017
Não energéticos;Asfalto;66,28435122;2018
Não energéticos;Asfalto;42,75545463;2019
Não energéticos;Asfalto;43,69159707;2020
Não energéticos;Asfalto;54,06809463;2021
Não energéticos;Nafta ;0;2012
Não energéticos;Nafta ;0;2013
