DERIVADO;TIPO DE OPERAÇÃO;VALORES DA IMPORTAÇÃO E DA EXPORTAÇÃO DE DERIVADOS DE PETRÓLEO;ANO
Gasolina A;Dispêndio;3002218;2012
Gasolina A;Dispêndio;2143884,423;2013
Gasolina A;Dispêndio;1582338,631;2014
Gasolina A;Dispêndio;1047669,43;2015
Gasolina A;Dispêndio;915078,818;2016
Gasolina A;Dispêndio;1731628,846;2017
Gasolina A;Dispêndio;1433395,532;2018
Gasolina A;Dispêndio;2039391,415;2019
Gasolina A;Dispêndio;1215442,012;2020
Gasolina A;Dispêndio;1160921,332;2021
Gasolina A;Receita;92640;2012
Gasolina A;Receita;230363,941;2013
Gasolina A;Receita;228702,516;2014
Gasolina A;Receita;247540,868;2015
Gasolina A;Receita;232504,387;2016
Gasolina A;Receita;185395,302;2017
Gasolina A;Receita;675730,582;2018
Gasolina A;Receita;1285828,577;2019
Gasolina A;Receita;660337,913;2020
Gasolina A;Receita;850381,199;2021
GLP1;Dispêndio;1075076;2012
GLP1;Dispêndio;1285308,483;2013
GLP1;Dispêndio;1507805,814;2014
GLP1;Dispêndio;596541,599;2015
GLP1;Dispêndio;641626,437;2016
GLP1;Dispêndio;708179,87;2017
GLP1;Dispêndio;1232621,987;2018
GLP1;Dispêndio;689839,36;2019
GLP1;Dispêndio;560784,019;2020
GLP1;Dispêndio;1200824,522;2021
GLP1;Receita;18191;2012
GLP1;Receita;44256,035;2013
GLP1;Receita;11065,793;2014
GLP1;Receita;12584,599;2015
GLP1;Receita;258,167;2016
GLP1;Receita;770,064;2017
GLP1;Receita;452,874;2018
GLP1;Receita;447,548;2019
GLP1;Receita;155,911;2020
GLP1;Receita;31,74;2021
Nafta;Dispêndio ;4115124;2012
Nafta;Dispêndio ;4458799,707;2013
Nafta;Dispêndio ;4422494,878;2014
Nafta;Dispêndio ;2580277,933;2015
Nafta;Dispêndio ;2405835,596;2016
Nafta;Dispêndio ;3431538,85;2017
Nafta;Dispêndio ;3608530,275;2018
Nafta;Dispêndio ;2912461,681;2019
Nafta;Dispêndio ;1141877,233;2020
Nafta;Dispêndio ;3118828,606;2021
Nafta;Receita;0;2012
Nafta;Receita;0;2013
Nafta;Receita;0;2014
Nafta;Receita;0;2015
Nafta;Receita;0;2016
Nafta;Receita;0;2017
Nafta;Receita;0;2019
Nafta;Receita;10038,269;2020
Nafta;Receita;119296,332;2021
Óleo combustível;Dispêndio;137979;2012
Óleo combustível;Dispêndio;61188,707;2013
Óleo combustível;Dispêndio;311314,461;2014
Óleo combustível;Dispêndio;141791,213;2015
Óleo combustível;Dispêndio;15602,981;2016
Óleo combustível;Dispêndio;25141,352;2017
Óleo combustível;Dispêndio;130386,453;2018
Óleo combustível;Dispêndio;20381,884;2019
Óleo combustível;Dispêndio;28671,703;2020
Óleo combustível;Dispêndio;302129,806;2021
Óleo combustível;Receita2,4;6929722;2012
Óleo combustível;Receita2,4;5434830,729;2013
Óleo combustível;Receita2,4;4860385,568;2014
Óleo combustível;Receita2,4;2350261,306;2015
Óleo combustível;Receita2,4;1379381,345;2016
Óleo combustível;Receita2,4;2180440,262;2017
Óleo combustível;Receita2,4;3186315,865;2018
Óleo combustível;Receita2,4;3090430,51;2019
Óleo combustível;Receita2,4;3696509,482;2020
Óleo combustível;Receita2,4;5477760,145;2021
Óleo diesel;Dispêndio;6573720;2012
Óleo diesel;Dispêndio;8284785,484;2013
Óleo diesel;Dispêndio;8724821,352;2014
Óleo diesel;Dispêndio;3415147,205;2015
Óleo diesel;Dispêndio;2896816,213;2016
Óleo diesel;Dispêndio;5622448,833;2017
Óleo diesel;Dispêndio;6294023,21;2018
Óleo diesel;Dispêndio;6686879,437;2019
Óleo diesel;Dispêndio;4027207,267;2020
Óleo diesel;Dispêndio;7070798,212;2021
Óleo diesel;Receita3,4;505801;2012
Óleo diesel;Receita3,4;508725,9826;2013
Óleo diesel;Receita3,4;506399,2976;2014
Óleo diesel;Receita3,4;161479,6298;2015
Óleo diesel;Receita3,4;236185,5814;2016
Óleo diesel;Receita3,4;314302,2261;2017
Óleo diesel;Receita3,4;530915,7201;2018
Óleo diesel;Receita3,4;28344,5571;2019
Óleo diesel;Receita3,4;92741,122;2020
Óleo diesel;Receita3,4;21484,708;2021
Outros5;Dispêndio;3247037;2012
Outros5;Dispêndio;3366418,578;2013
Outros5;Dispêndio;2926902,279;2014
Outros5;Dispêndio;1928850,302;2015
Outros5;Dispêndio;1358478,153;2016
Outros5;Dispêndio;1449362,425;2017
Outros5;Dispêndio;1998269,698;2018
Outros5;Dispêndio;1727489,283;2019
Outros5;Dispêndio;1345438,215;2020
Outros5;Dispêndio;2547530,731;2021
Outros5;Receita;3280691;2012
Outros5;Receita;3723442,107;2013
Outros5;Receita;3699615,14;2014
Outros5;Receita;2250233,059;2015
Outros5;Receita;1688281,481;2016
Outros5;Receita;2133707,559;2017
Outros5;Receita;2374693,165;2018
Outros5;Receita;1750132,249;2019
Outros5;Receita;860303,588;2020
Outros5;Receita;1347787,517;2021
