ESPECIFICAÇÃO DA VARIAVEL;VALOR;ANO
Produção de petróleo (a)1;341,7;2012
Produção de petróleo (a)1;336,1172686;2013
Produção de petróleo (a)1;373,0336043;2014
Produção de petróleo (a)1;401,7528654;2015
Produção de petróleo (a)1;414,4696836;2016
Produção de petróleo (a)1;434,4723718;2017
Produção de petróleo (a)1;428,3071449;2018
Produção de petróleo (a)1;459,6389621;2019
Produção de petróleo (a)1;483,3068656;2020
Produção de petróleo (a)1;476,312731;2021
Exportação líquida de petróleo (b)2;37,6;2012
Exportação líquida de petróleo (b)2;-1,605773;2013
Exportação líquida de petróleo (b)2;19,709857;2014
Exportação líquida de petróleo (b)2;65,609251;2015
Exportação líquida de petróleo (b)2;98,24992276;2016
Exportação líquida de petróleo (b)2;134,713378;2017
Exportação líquida de petróleo (b)2;148,990001;2018
Exportação líquida de petróleo (b)2;156,3052627;2019
Exportação líquida de petróleo (b)2;196,027;2020
Exportação líquida de petróleo (b)2;184,406288;2021
Importação líquida de derivados (c);50,6;2012
Importação líquida de derivados (c);61,67639432;2013
Importação líquida de derivados (c);64,77910432;2014
Importação líquida de derivados (c);52,24114385;2015
Importação líquida de derivados (c);61,54173608;2016
Importação líquida de derivados (c);80,07042688;2017
Importação líquida de derivados (c);66,19520187;2018
Importação líquida de derivados (c);70,97730946;2019
Importação líquida de derivados (c);40,852949;2020
Importação líquida de derivados (c);65,61035496;2021
Consumo aparente (d)=(a)-(b)+(c);354,6;2012
Consumo aparente (d)=(a)-(b)+(c);399,3994359;2013
Consumo aparente (d)=(a)-(b)+(c);418,1028516;2014
Consumo aparente (d)=(a)-(b)+(c);388,3847582;2015
Consumo aparente (d)=(a)-(b)+(c);377,7614969;2016
Consumo aparente (d)=(a)-(b)+(c);379,8294207;2017
Consumo aparente (d)=(a)-(b)+(c);345,5123458;2018
Consumo aparente (d)=(a)-(b)+(c);374,3110089;2019
Consumo aparente (d)=(a)-(b)+(c);328,1328146;2020
Consumo aparente (d)=(a)-(b)+(c);357,516798;2021
Superávit externo (e)=(a)-(d);-13;2012
Superávit externo (e)=(a)-(d);-63,28216732;2013
Superávit externo (e)=(a)-(d);-45,06924732;2014
Superávit externo (e)=(a)-(d);13,36810715;2015
Superávit externo (e)=(a)-(d);36,70818668;2016
Superávit externo (e)=(a)-(d);54,64295112;2017
Superávit externo (e)=(a)-(d);82,79479913;2018
Superávit externo (e)=(a)-(d);85,32795322;2019
Superávit externo (e)=(a)-(d);155,174051;2020
Superávit externo (e)=(a)-(d);118,795933;2021
Superávit externo (e)/(d) %;-3,7;2012
Superávit externo (e)/(d) %;-15,84433067;2013
Superávit externo (e)/(d) %;-10,77946423;2014
Superávit externo (e)/(d) %;3,441975224;2015
Superávit externo (e)/(d) %;9,717291725;2016
Superávit externo (e)/(d) %;14,38618183;2017
Superávit externo (e)/(d) %;23,96290614;2018
Superávit externo (e)/(d) %;22,79600418;2019
Superávit externo (e)/(d) %;47,2900131;2020
Superávit externo (e)/(d) %;33,22807032;2021
