UNIDADES DA FEDERAÇÃO;LOCALIZAÇÃO;ANO;RESERVAS PROVADAS DE GÁS NATURAL
Amazonas;Terra;2012;51816
Amazonas;Terra;2013;50522,31925
Amazonas;Terra;2014;52382,74662
Amazonas;Terra;2015;46661,67724
Amazonas;Terra;2016;36198,0642
Amazonas;Terra;2017;39188,46253
Amazonas;Terra;2018;38891,19423
Amazonas;Terra;2019;37821
Amazonas;Terra;2020;42821,68747
Amazonas;Terra;2021;41057,06757
Maranhão;Terra;2012;7286
Maranhão;Terra;2013;6990,217596
Maranhão;Terra;2014;7770,499588
Maranhão;Terra;2015;12747,68114
Maranhão;Terra;2016;15772,47976
Maranhão;Terra;2017;16516,21833
Maranhão;Terra;2018;20672,465
Maranhão;Terra;2019;21375
Maranhão;Terra;2020;24777,25377
Maranhão;Terra;2021;27022,84947
Ceará;Mar;2012;387
Ceará;Mar;2013;458,249387
Ceará;Mar;2014;325,491774
Ceará;Mar;2015;255,940367
Ceará;Mar;2016;257,611324
Ceará;Mar;2017;197,491929
Ceará;Mar;2018;353,805202
Ceará;Mar;2019;321
Ceará;Mar;2020;0
Ceará;Mar;2021;0
Rio Grande do Norte;Terra;2012;2550
Rio Grande do Norte;Terra;2013;1682,498005
Rio Grande do Norte;Terra;2014;1361,556831
Rio Grande do Norte;Terra;2015;1741,263629
Rio Grande do Norte;Terra;2016;1655,544142
Rio Grande do Norte;Terra;2017;1599,769177
Rio Grande do Norte;Terra;2018;1589,890987
Rio Grande do Norte;Terra;2019;1466
Rio Grande do Norte;Terra;2020;1569,406873
Rio Grande do Norte;Terra;2021;2393,115422
Rio Grande do Norte;Mar;2012;7297
Rio Grande do Norte;Mar;2013;5613,632255
Rio Grande do Norte;Mar;2014;5253,685492
Rio Grande do Norte;Mar;2015;2212,264399
Rio Grande do Norte;Mar;2016;2136,424018
Rio Grande do Norte;Mar;2017;1881,757017
Rio Grande do Norte;Mar;2018;1832,412726
Rio Grande do Norte;Mar;2019;1829
Rio Grande do Norte;Mar;2020;1335,130576
Rio Grande do Norte;Mar;2021;1739,939412
Alagoas;Terra;2012;2740
Alagoas;Terra;2013;2480,190476
Alagoas;Terra;2014;2005,645021
Alagoas;Terra;2015;1525,978796
Alagoas;Terra;2016;1295,394608
Alagoas;Terra;2017;1159,84727
Alagoas;Terra;2018;867,510919
Alagoas;Terra;2019;861
Alagoas;Terra;2020;869,4742231
Alagoas;Terra;2021;307,2190704
Alagoas;Mar;2012;762
Alagoas;Mar;2013;656,364427
Alagoas;Mar;2014;583,409393
Alagoas;Mar;2015;502,253362
Alagoas;Mar;2016;456,203076
Alagoas;Mar;2017;394,974267
Alagoas;Mar;2018;341,389638
Alagoas;Mar;2019;231
Alagoas;Mar;2020;213,10587
Alagoas;Mar;2021;78,754052
Sergipe;Terra;2012;1460
Sergipe;Terra;2013;1555,492027
Sergipe;Terra;2014;1501,844957
Sergipe;Terra;2015;1374,022364
Sergipe;Terra;2016;1151,719144
Sergipe;Terra;2017;1027,416387
Sergipe;Terra;2018;1093,966067
Sergipe;Terra;2019;794
Sergipe;Terra;2020;277,2442159
Sergipe;Terra;2021;361,1922517
Sergipe;Mar;2012;3422
Sergipe;Mar;2013;3397,609472
Sergipe;Mar;2014;2960,834551
Sergipe;Mar;2015;1580,677145
Sergipe;Mar;2016;1062,023432
Sergipe;Mar;2017;964,06004
Sergipe;Mar;2018;101,9680749
Sergipe;Mar;2019;159
Sergipe;Mar;2020;181,9920736
Sergipe;Mar;2021;13,51727722
Bahia;Terra;2012;5988
Bahia;Terra;2013;5912,19918
Bahia;Terra;2014;5594,854979
Bahia;Terra;2015;6379,503229
Bahia;Terra;2016;6832,95277
Bahia;Terra;2017;6077,517124
Bahia;Terra;2018;5686,127747
Bahia;Terra;2019;6168
Bahia;Terra;2020;6733,356535
Bahia;Terra;2021;5787,410476
Bahia;Mar;2012;24290
Bahia;Mar;2013;20374,18623
Bahia;Mar;2014;17970,91225
Bahia;Mar;2015;11948,82071
Bahia;Mar;2016;9690,142128
Bahia;Mar;2017;8296,289173
Bahia;Mar;2018;5800,692768
Bahia;Mar;2019;3968
Bahia;Mar;2020;3747,597628
Bahia;Mar;2021;2704,096554
Espírito Santo;Terra;2012;535
Espírito Santo;Terra;2013;568,364715
Espírito Santo;Terra;2014;592,611862
Espírito Santo;Terra;2015;558,433179
Espírito Santo;Terra;2016;665,881004
Espírito Santo;Terra;2017;404,826268
Espírito Santo;Terra;2018;213,989994
Espírito Santo;Terra;2019;150
Espírito Santo;Terra;2020;280,8317421
Espírito Santo;Terra;2021;314,9397935
Espírito Santo;Mar;2012;42590
Espírito Santo;Mar;2013;42862,98684
Espírito Santo;Mar;2014;43687,3642
Espírito Santo;Mar;2015;37233,47908
Espírito Santo;Mar;2016;31793,58006
Espírito Santo;Mar;2017;30690,43129
Espírito Santo;Mar;2018;31525,29452
Espírito Santo;Mar;2019;31566
Espírito Santo;Mar;2020;14946,70026
Espírito Santo;Mar;2021;19464,47989
Rio de Janeiro3;Mar;2012;246438
Rio de Janeiro3;Mar;2013;257192,4778
Rio de Janeiro3;Mar;2014;274684,6185
Rio de Janeiro3;Mar;2015;256462,7933
Rio de Janeiro3;Mar;2016;230848,6977
Rio de Janeiro3;Mar;2017;223682,6966
Rio de Janeiro3;Mar;2018;230674,7389
Rio de Janeiro3;Mar;2019;234425
Rio de Janeiro3;Mar;2020;211777,3167
Rio de Janeiro3;Mar;2021;248705,4552
São Paulo4;Mar;2012;60336
São Paulo4;Mar;2013;56406,02399
São Paulo4;Mar;2014;54418,45225
São Paulo4;Mar;2015;49401,09179
São Paulo4;Mar;2016;39268,50522
São Paulo4;Mar;2017;36998,09346
São Paulo4;Mar;2018;28825,34954
São Paulo4;Mar;2019;23931
São Paulo4;Mar;2020;28887,75166
São Paulo4;Mar;2021;30843,14691
Paraná5;Terra;2012;0
Paraná5;Terra;2013;0
Paraná5;Terra;2014;0
Paraná5;Terra;2015;0
Paraná5;Terra;2016;0
Paraná5;Terra;2017;0
Paraná5;Terra;2018;0
Paraná5;Terra;2019;0
Paraná5;Terra;2020;400
Paraná5;Terra;2021;400
Paraná5;Mar;2012;1062
Paraná5;Mar;2013;1057,653208
Paraná5;Mar;2014;0
Paraná5;Mar;2015;0
Paraná5;Mar;2016;0
Paraná5;Mar;2017;0
Paraná5;Mar;2018;0
Paraná5;Mar;2019;0
Paraná5;Mar;2020;0
Paraná5;Mar;2021;0
Santa Catarina6;Mar;2012;230
Santa Catarina6;Mar;2013;229,94371
Santa Catarina6;Mar;2014;0
Santa Catarina6;Mar;2015;0
Santa Catarina6;Mar;2016;0
