TIPO DE PRODUTO;PAÍS;IMPORTAÇÃO DE GÁS NATURAL;ANO
Gás Natural (a);Argentina;0;2012
Gás Natural (a);Argentina;58,9948005;2013
Gás Natural (a);Argentina;67,2341684;2014
Gás Natural (a);Argentina;169,4019152;2015
Gás Natural (a);Argentina;0;2016
Gás Natural (a);Argentina;0;2017
Gás Natural (a);Argentina;0;2018
Gás Natural (a);Argentina;0;2019
Gás Natural (a);Argentina;0;2020
Gás Natural (a);Argentina;67,51528437;2021
Gás Natural (a);Bolívia;10082;2012
Gás Natural (a);Bolívia;11588,7681;2013
Gás Natural (a);Bolívia;11981,46148;2014
Gás Natural (a);Bolívia;11684,19142;2015
Gás Natural (a);Bolívia;10368,70143;2016
Gás Natural (a);Bolívia;8886,295527;2017
Gás Natural (a);Bolívia;8071,276379;2018
Gás Natural (a);Bolívia;6794,783079;2019
Gás Natural (a);Bolívia;6551;2020
Gás Natural (a);Bolívia;7323,56339;2021
Gás Natural Liquefeito (GNL)1 (b);Abu Dhabi;0;2012
Gás Natural Liquefeito (GNL)1 (b);Abu Dhabi;0;2013
Gás Natural Liquefeito (GNL)1 (b);Abu Dhabi;0;2014
Gás Natural Liquefeito (GNL)1 (b);Abu Dhabi;0;2015
Gás Natural Liquefeito (GNL)1 (b);Abu Dhabi;0;2016
Gás Natural Liquefeito (GNL)1 (b);Abu Dhabi;0;2017
Gás Natural Liquefeito (GNL)1 (b);Abu Dhabi;0;2018
Gás Natural Liquefeito (GNL)1 (b);Abu Dhabi;0;2019
Gás Natural Liquefeito (GNL)1 (b);Abu Dhabi;0;2020
Gás Natural Liquefeito (GNL)1 (b);Abu Dhabi;0;2021
Gás Natural Liquefeito (GNL)1 (b);Angola;0;2012
Gás Natural Liquefeito (GNL)1 (b);Angola;87,3162;2013
Gás Natural Liquefeito (GNL)1 (b);Angola;88,7100624;2014
Gás Natural Liquefeito (GNL)1 (b);Angola;0;2015
Gás Natural Liquefeito (GNL)1 (b);Angola;91,0717056;2016
Gás Natural Liquefeito (GNL)1 (b);Angola;362,448216;2017
Gás Natural Liquefeito (GNL)1 (b);Angola;89,1456;2018
Gás Natural Liquefeito (GNL)1 (b);Angola;91,278012;2019
Gás Natural Liquefeito (GNL)1 (b);Angola;92,531982;2020
Gás Natural Liquefeito (GNL)1 (b);Angola;135,06903;2021
Gás Natural Liquefeito (GNL)1 (b);Argélia;0;2012
Gás Natural Liquefeito (GNL)1 (b);Argélia;74,7003786;2013
Gás Natural Liquefeito (GNL)1 (b);Argélia;0;2014
Gás Natural Liquefeito (GNL)1 (b);Argélia;80,0576496;2015
Gás Natural Liquefeito (GNL)1 (b);Argélia;0;2016
Gás Natural Liquefeito (GNL)1 (b);Argélia;0;2017
Gás Natural Liquefeito (GNL)1 (b);Argélia;0;2018
Gás Natural Liquefeito (GNL)1 (b);Argélia;0;2019
Gás Natural Liquefeito (GNL)1 (b);Argélia;0;2020
Gás Natural Liquefeito (GNL)1 (b);Argélia;0;2021
Gás Natural Liquefeito (GNL)1 (b);Argentina;0;2012
Gás Natural Liquefeito (GNL)1 (b);Argentina;0;2013
Gás Natural Liquefeito (GNL)1 (b);Argentina;0;2014
Gás Natural Liquefeito (GNL)1 (b);Argentina;0;2015
Gás Natural Liquefeito (GNL)1 (b);Argentina;0;2016
Gás Natural Liquefeito (GNL)1 (b);Argentina;0;2017
Gás Natural Liquefeito (GNL)1 (b);Argentina;0;2018
Gás Natural Liquefeito (GNL)1 (b);Argentina;0;2019
Gás Natural Liquefeito (GNL)1 (b);Argentina;130,40583;2020
Gás Natural Liquefeito (GNL)1 (b);Argentina;0;2021
Gás Natural Liquefeito (GNL)1 (b);Bahamas;0;2012
Gás Natural Liquefeito (GNL)1 (b);Bahamas;0;2013
Gás Natural Liquefeito (GNL)1 (b);Bahamas;0;2014
Gás Natural Liquefeito (GNL)1 (b);Bahamas;0;2015
Gás Natural Liquefeito (GNL)1 (b);Bahamas;0;2016
Gás Natural Liquefeito (GNL)1 (b);Bahamas;0;2017
Gás Natural Liquefeito (GNL)1 (b);Bahamas;0;2018
Gás Natural Liquefeito (GNL)1 (b);Bahamas;82,3109706;2019
Gás Natural Liquefeito (GNL)1 (b);Bahamas;0;2020
Gás Natural Liquefeito (GNL)1 (b);Bahamas;0;2021
Gás Natural Liquefeito (GNL)1 (b);Bélgica;214;2012
Gás Natural Liquefeito (GNL)1 (b);Bélgica;128,0466318;2013
Gás Natural Liquefeito (GNL)1 (b);Bélgica;35,120076;2014
Gás Natural Liquefeito (GNL)1 (b);Bélgica;77,794788;2015
Gás Natural Liquefeito (GNL)1 (b);Bélgica;81,24294;2016
Gás Natural Liquefeito (GNL)1 (b);Bélgica;0;2017
Gás Natural Liquefeito (GNL)1 (b);Bélgica;277,049526;2018
Gás Natural Liquefeito (GNL)1 (b);Bélgica;0;2019
Gás Natural Liquefeito (GNL)1 (b);Bélgica;0;2020
Gás Natural Liquefeito (GNL)1 (b);Bélgica;0;2021
Gás Natural Liquefeito (GNL)1 (b);Camarões;0;2012
Gás Natural Liquefeito (GNL)1 (b);Camarões;0;2013
Gás Natural Liquefeito (GNL)1 (b);Camarões;0;2014
Gás Natural Liquefeito (GNL)1 (b);Camarões;0;2015
Gás Natural Liquefeito (GNL)1 (b);Camarões;0;2016
Gás Natural Liquefeito (GNL)1 (b);Camarões;0;2017
Gás Natural Liquefeito (GNL)1 (b);Camarões;0;2018
Gás Natural Liquefeito (GNL)1 (b);Camarões;105,289482;2019
Gás Natural Liquefeito (GNL)1 (b);Camarões;0;2020
Gás Natural Liquefeito (GNL)1 (b);Camarões;0;2021
Gás Natural Liquefeito (GNL)1 (b);Catar;1078;2012
Gás Natural Liquefeito (GNL)1 (b);Catar;302,4372276;2013
Gás Natural Liquefeito (GNL)1 (b);Catar;170,049516;2014
Gás Natural Liquefeito (GNL)1 (b);Catar;1365,837279;2015
Gás Natural Liquefeito (GNL)1 (b);Catar;655,461156;2016
Gás Natural Liquefeito (GNL)1 (b);Catar;124,12602;2017
Gás Natural Liquefeito (GNL)1 (b);Catar;171,31959;2018
Gás Natural Liquefeito (GNL)1 (b);Catar;0;2019
Gás Natural Liquefeito (GNL)1 (b);Catar;0;2020
Gás Natural Liquefeito (GNL)1 (b);Catar;853,1832972;2021
Gás Natural Liquefeito (GNL)1 (b);Egito;0;2012
Gás Natural Liquefeito (GNL)1 (b);Egito;75,4301172;2013
Gás Natural Liquefeito (GNL)1 (b);Egito;0;2014
Gás Natural Liquefeito (GNL)1 (b);Egito;0;2015
Gás Natural Liquefeito (GNL)1 (b);Egito;0;2016
Gás Natural Liquefeito (GNL)1 (b);Egito;0;2017
Gás Natural Liquefeito (GNL)1 (b);Egito;0;2018
Gás Natural Liquefeito (GNL)1 (b);Egito;0;2019
Gás Natural Liquefeito (GNL)1 (b);Egito;0;2020
Gás Natural Liquefeito (GNL)1 (b);Egito;0;2021
Gás Natural Liquefeito (GNL)1 (b);Emirados Árabes Unidos;0;2012
Gás Natural Liquefeito (GNL)1 (b);Emirados Árabes Unidos;0;2013
Gás Natural Liquefeito (GNL)1 (b);Emirados Árabes Unidos;0;2014
Gás Natural Liquefeito (GNL)1 (b);Emirados Árabes Unidos;62,441424;2015
Gás Natural Liquefeito (GNL)1 (b);Emirados Árabes Unidos;0;2016
Gás Natural Liquefeito (GNL)1 (b);Emirados Árabes Unidos;0;2017
Gás Natural Liquefeito (GNL)1 (b);Emirados Árabes Unidos;0;2018
Gás Natural Liquefeito (GNL)1 (b);Emirados Árabes Unidos;0;2019
Gás Natural Liquefeito (GNL)1 (b);Emirados Árabes Unidos;0;2020
Gás Natural Liquefeito (GNL)1 (b);Emirados Árabes Unidos;13,773102;2021
Gás Natural Liquefeito (GNL)1 (b);Espanha;27;2012
Gás Natural Liquefeito (GNL)1 (b);Espanha;702,539451;2013
Gás Natural Liquefeito (GNL)1 (b);Espanha;454,8458442;2014
Gás Natural Liquefeito (GNL)1 (b);Espanha;371,5046496;2015
Gás Natural Liquefeito (GNL)1 (b);Espanha;0;2016
Gás Natural Liquefeito (GNL)1 (b);Espanha;0;2017
Gás Natural Liquefeito (GNL)1 (b);Espanha;0;2018
Gás Natural Liquefeito (GNL)1 (b);Espanha;0;2019
Gás Natural Liquefeito (GNL)1 (b);Espanha;0;2020
Gás Natural Liquefeito (GNL)1 (b);Espanha;0;2021
Gás Natural Liquefeito (GNL)1 (b);Estados Unidos;133;2012
Gás Natural Liquefeito (GNL)1 (b);Estados Unidos;0;2013
Gás Natural Liquefeito (GNL)1 (b);Estados Unidos;71,0196102;2014
Gás Natural Liquefeito (GNL)1 (b);Estados Unidos;91,703472;2015
Gás Natural Liquefeito (GNL)1 (b);Estados Unidos;266,41707;2016
