PRODUTO IMPORTADO;VARIÁVEL;VALOR;ANO
Gás Natural;Dispêndio (106 US$);3625,57;2012
Gás Natural;Dispêndio (106 US$);4045,898398;2013
Gás Natural;Dispêndio (106 US$);3961,068687;2014
Gás Natural;Dispêndio (106 US$);2586,672661;2015
Gás Natural;Dispêndio (106 US$);1321,30796;2016
Gás Natural;Dispêndio (106 US$);1421,601565;2017
Gás Natural;Dispêndio (106 US$);1634,232766;2018
Gás Natural;Dispêndio (106 US$);1475,041484;2019
Gás Natural;Dispêndio (106 US$);1031,726537;2020
Gás Natural;Dispêndio (106 US$);1401,967596;2021
Gás Natural;Valor médio (US$/mil m3);359,62;2012
Gás Natural;Valor médio (US$/mil m3);347,354117;2013
Gás Natural;Valor médio (US$/mil m3);328,7549792;2014
Gás Natural;Valor médio (US$/mil m3);218,2184413;2015
Gás Natural;Valor médio (US$/mil m3);127,4323471;2016
Gás Natural;Valor médio (US$/mil m3);159,9768498;2017
Gás Natural;Valor médio (US$/mil m3);202,4751341;2018
Gás Natural;Valor médio (US$/mil m3);218,0222198;2019
Gás Natural;Valor médio (US$/mil m3);160,2836337;2020
Gás Natural;Valor médio (US$/mil m3);189,6837604;2021
Gás Natural Liquefeito (GNL);Dispêndio (106 US$);1623,18;2012
Gás Natural Liquefeito (GNL);Dispêndio (106 US$);2915,509962;2013
Gás Natural Liquefeito (GNL);Dispêndio (106 US$);3147,563229;2014
Gás Natural Liquefeito (GNL);Dispêndio (106 US$);2686,408328;2015
Gás Natural Liquefeito (GNL);Dispêndio (106 US$);771,8278598;2016
Gás Natural Liquefeito (GNL);Dispêndio (106 US$);483,8663884;2017
Gás Natural Liquefeito (GNL);Dispêndio (106 US$);835,3877732;2018
Gás Natural Liquefeito (GNL);Dispêndio (106 US$);629,255979;2019
Gás Natural Liquefeito (GNL);Dispêndio (106 US$);202,6636023;2020
Gás Natural Liquefeito (GNL);Dispêndio (106 US$);5181,83712;2021
Gás Natural Liquefeito (GNL);Valor médio (US$/mil m3)1;541,49;2012
Gás Natural Liquefeito (GNL);Valor médio (US$/mil m3)1;599,1961498;2013
Gás Natural Liquefeito (GNL);Valor médio (US$/mil m3)1;588,4049309;2014
Gás Natural Liquefeito (GNL);Valor médio (US$/mil m3)1;370,1325282;2015
Gás Natural Liquefeito (GNL);Valor médio (US$/mil m3)1;261,457417;2016
Gás Natural Liquefeito (GNL);Valor médio (US$/mil m3)1;275,5104137;2017
Gás Natural Liquefeito (GNL);Valor médio (US$/mil m3)1;301,4618787;2018
Gás Natural Liquefeito (GNL);Valor médio (US$/mil m3)1;205,5956201;2019
Gás Natural Liquefeito (GNL);Valor médio (US$/mil m3)1;153,1515511;2020
Gás Natural Liquefeito (GNL);Valor médio (US$/mil m3)1;540,726082;2021
