PAÍS DE DESTINO;EXPORTAÇÃO DE GÁS NATURAL LIQUEFEITO;ANO
Argentina;236,52;2012
Argentina;37,3818;2013
Argentina;90,46634415;2014
Argentina;0;2015
Argentina;388,7467356;2016
Argentina;53,76;2017
Argentina;0;2018
Argentina;0;2019
Argentina;0;2020
Argentina;0;2021
Coreia do Sul;0;2012
Coreia do Sul;0;2013
Coreia do Sul;0;2014
Coreia do Sul;0;2015
Coreia do Sul;0;2016
Coreia do Sul;0;2017
Coreia do Sul;80,136042;2018
Coreia do Sul;0;2019
Coreia do Sul;0;2020
Coreia do Sul;0;2021
Coveite;0;2012
Coveite;0;2013
Coveite;0;2014
Coveite;0;2015
Coveite;0;2016
Coveite;0;2017
Coveite;0;2018
Coveite;0;2019
Coveite;0;2020
Coveite;0;2021
França;0;2012
França;0;2013
França;0;2014
França;0;2015
França;0;2016
França;0;2017
França;0;2018
França;0;2019
França;0;2020
França;49,2272646;2021
Índia;0;2012
Índia;0;2013
Índia;0;2014
Índia;0;2015
Índia;38,907159;2016
Índia;0;2017
Índia;0;2018
Índia;0;2019
Índia;0;2020
Índia;0;2021
Jamaica;0;2012
Jamaica;0;2013
Jamaica;0;2014
Jamaica;0;2015
Jamaica;0;2016
Jamaica;0;2017
Jamaica;0;2018
Jamaica;0;2019
Jamaica;0;2020
Jamaica;31,7986176;2021
Japão;73,96;2012
Japão;0;2013
Japão;0;2014
Japão;0;2015
Japão;0;2016
Japão;0;2017
Japão;0;2018
Japão;0;2019
Japão;0;2020
Japão;0;2021
México;0;2012
México;0;2013
México;0;2014
México;0;2015
México;89,8269888;2016
México;0;2017
México;0;2018
México;0;2019
México;0;2020
México;0;2021
Nigéria;0;2012
Nigéria;0;2013
Nigéria;0;2014
Nigéria;1,870122;2015
Nigéria;0;2016
Nigéria;0;2017
Nigéria;0;2018
Nigéria;0;2019
Nigéria;0;2020
Nigéria;0;2021
Portugal;0;2012
Portugal;0;2013
Portugal;0;2014
Portugal;0;2015
Portugal;0;2016
Portugal;80,76;2017
Portugal;0;2018
Portugal;0;2019
Portugal;0;2020
Portugal;0;2021
Trinidad e Tobago;1,83;2012
Trinidad e Tobago;0;2013
Trinidad e Tobago;0;2014
Trinidad e Tobago;0;2015
Trinidad e Tobago;0;2016
Trinidad e Tobago;0;2017
Trinidad e Tobago;0;2018
Trinidad e Tobago;0;2019
Trinidad e Tobago;0;2020
Trinidad e Tobago;2,0407716;2021
