PRODUTO;VARIÁVEL;VALOR;ANO
Gás Natural Liquefeito (GNL);Receita1 (106 R$);273,95;2012
Gás Natural Liquefeito (GNL);Receita1 (106 R$);44,65059268;2013
Gás Natural Liquefeito (GNL);Receita1 (106 R$);117,4669075;2014
Gás Natural Liquefeito (GNL);Receita1 (106 R$);1,75036825;2015
Gás Natural Liquefeito (GNL);Receita1 (106 R$);334,4683066;2016
Gás Natural Liquefeito (GNL);Receita1 (106 R$);24,76768564;2017
Gás Natural Liquefeito (GNL);Receita1 (106 R$);96,87581689;2018
Gás Natural Liquefeito (GNL);Receita1 (106 R$);0;2019
Gás Natural Liquefeito (GNL);Receita1 (106 R$);0;2020
Gás Natural Liquefeito (GNL);Receita1 (106 R$);195,4539468;2021
Gás Natural Liquefeito (GNL);Valor médio2 (R$/mil m3);877,2;2012
Gás Natural Liquefeito (GNL);Valor médio2 (R$/mil m3);1194,44737;2013
Gás Natural Liquefeito (GNL);Valor médio2 (R$/mil m3);1298,45976;2014
Gás Natural Liquefeito (GNL);Valor médio2 (R$/mil m3);935,9647392;2015
Gás Natural Liquefeito (GNL);Valor médio2 (R$/mil m3);646,3394442;2016
Gás Natural Liquefeito (GNL);Valor médio2 (R$/mil m3);184,1161419;2017
Gás Natural Liquefeito (GNL);Valor médio2 (R$/mil m3);1208,89196;2018
Gás Natural Liquefeito (GNL);Valor médio2 (R$/mil m3);0;2019
Gás Natural Liquefeito (GNL);Valor médio2 (R$/mil m3);0;2020
Gás Natural Liquefeito (GNL);Valor médio2 (R$/mil m3);2352,977252;2021
