UNIDADES DA FEDERAÇÃO;LOCALIZAÇÃO;ANO;NÚMERO DE POÇOS PRODUTORES DE PETRÓLEO E DE GÁS NATURAL
Amazonas;Terra;2012;66
Amazonas;Terra;2013;69
Amazonas;Terra;2014;64
Amazonas;Terra;2015;64
Amazonas;Terra;2016;64
Amazonas;Terra;2017;62
Amazonas;Terra;2018;69
Amazonas;Terra;2019;62
Amazonas;Terra;2020;63
Amazonas;Terra;2021;71
Maranhão;Terra;2012;1
Maranhão;Terra;2013;13
Maranhão;Terra;2014;16
Maranhão;Terra;2015;24
Maranhão;Terra;2016;39
Maranhão;Terra;2017;43
Maranhão;Terra;2018;21
Maranhão;Terra;2019;42
Maranhão;Terra;2020;42
Maranhão;Terra;2021;57
Ceará;Terra;2012;333
Ceará;Terra;2013;317
Ceará;Terra;2014;324
Ceará;Terra;2015;236
Ceará;Terra;2016;227
Ceará;Terra;2017;210
Ceará;Terra;2018;207
Ceará;Terra;2019;223
Ceará;Terra;2020;168
Ceará;Terra;2021;204
Ceará;Mar;2012;41
Ceará;Mar;2013;41
Ceará;Mar;2014;42
Ceará;Mar;2015;34
Ceará;Mar;2016;26
Ceará;Mar;2017;26
Ceará;Mar;2018;28
Ceará;Mar;2019;26
Ceará;Mar;2020;0
Ceará;Mar;2021;0
Rio Grande do Norte;Terra;2012;3835
Rio Grande do Norte;Terra;2013;3902
Rio Grande do Norte;Terra;2014;3902
Rio Grande do Norte;Terra;2015;4023
Rio Grande do Norte;Terra;2016;3988
Rio Grande do Norte;Terra;2017;3766
Rio Grande do Norte;Terra;2018;3582
Rio Grande do Norte;Terra;2019;3443
Rio Grande do Norte;Terra;2020;3394
Rio Grande do Norte;Terra;2021;3458
Rio Grande do Norte;Mar;2012;96
Rio Grande do Norte;Mar;2013;91
Rio Grande do Norte;Mar;2014;86
Rio Grande do Norte;Mar;2015;76
Rio Grande do Norte;Mar;2016;78
Rio Grande do Norte;Mar;2017;80
Rio Grande do Norte;Mar;2018;74
Rio Grande do Norte;Mar;2019;72
Rio Grande do Norte;Mar;2020;31
Rio Grande do Norte;Mar;2021;58
Alagoas;Terra;2012;173
Alagoas;Terra;2013;151
Alagoas;Terra;2014;148
Alagoas;Terra;2015;157
Alagoas;Terra;2016;155
Alagoas;Terra;2017;132
Alagoas;Terra;2018;137
Alagoas;Terra;2019;132
Alagoas;Terra;2020;113
Alagoas;Terra;2021;120
Alagoas;Mar;2012;1
Alagoas;Mar;2013;1
Alagoas;Mar;2014;1
Alagoas;Mar;2015;1
Alagoas;Mar;2016;1
Alagoas;Mar;2017;1
Alagoas;Mar;2018;1
Alagoas;Mar;2019;1
Alagoas;Mar;2020;1
Alagoas;Mar;2021;1
Sergipe;Terra;2012;1820
Sergipe;Terra;2013;1822
Sergipe;Terra;2014;1813
Sergipe;Terra;2015;1711
Sergipe;Terra;2016;1632
Sergipe;Terra;2017;1432
Sergipe;Terra;2018;1120
Sergipe;Terra;2019;1166
Sergipe;Terra;2020;861
Sergipe;Terra;2021;858
Sergipe;Mar;2012;62
Sergipe;Mar;2013;54
Sergipe;Mar;2014;55
Sergipe;Mar;2015;35
Sergipe;Mar;2016;29
Sergipe;Mar;2017;30
Sergipe;Mar;2018;27
Sergipe;Mar;2019;18
Sergipe;Mar;2020;2
Sergipe;Mar;2021;3
Bahia;Terra;2012;1681
Bahia;Terra;2013;1640
Bahia;Terra;2014;1659
Bahia;Terra;2015;1544
Bahia;Terra;2016;1372
Bahia;Terra;2017;1256
Bahia;Terra;2018;1235
Bahia;Terra;2019;1235
Bahia;Terra;2020;1076
Bahia;Terra;2021;1141
Bahia;Mar;2012;8
Bahia;Mar;2013;14
Bahia;Mar;2014;10
Bahia;Mar;2015;13
Bahia;Mar;2016;6
Bahia;Mar;2017;60
Bahia;Mar;2018;6
Bahia;Mar;2019;6
Bahia;Mar;2020;10
Bahia;Mar;2021;22
Espírito Santo;Terra;2012;318
Espírito Santo;Terra;2013;315
Espírito Santo;Terra;2014;337
Espírito Santo;Terra;2015;347
Espírito Santo;Terra;2016;295
Espírito Santo;Terra;2017;295
Espírito Santo;Terra;2018;279
Espírito Santo;Terra;2019;272
Espírito Santo;Terra;2020;273
Espírito Santo;Terra;2021;282
Espírito Santo;Mar;2012;50
Espírito Santo;Mar;2013;57
Espírito Santo;Mar;2014;67
Espírito Santo;Mar;2015;63
Espírito Santo;Mar;2016;71
Espírito Santo;Mar;2017;72
Espírito Santo;Mar;2018;68
Espírito Santo;Mar;2019;67
Espírito Santo;Mar;2020;67
Espírito Santo;Mar;2021;73
Rio de Janeiro;Mar;2012;522
Rio de Janeiro;Mar;2013;490
Rio de Janeiro;Mar;2014;556
Rio de Janeiro;Mar;2015;538
Rio de Janeiro;Mar;2016;518
Rio de Janeiro;Mar;2017;493
Rio de Janeiro;Mar;2018;473
Rio de Janeiro;Mar;2019;410
Rio de Janeiro;Mar;2020;358
Rio de Janeiro;Mar;2021;526
São Paulo;Mar;2012;11
São Paulo;Mar;2013;17
São Paulo;Mar;2014;24
São Paulo;Mar;2015;26
São Paulo;Mar;2016;26
São Paulo;Mar;2017;31
São Paulo;Mar;2018;30
São Paulo;Mar;2019;30
São Paulo;Mar;2020;30
São Paulo;Mar;2021;80
