UNIDADES DA FEDERAÇÃO;BACIA SEDIMENTAR;CORRENTE DE PETRÓLEO;DENSIDADE (GRAU API);TEOR DE S (% PESO);PRODUÇÃO
Amazonas;Amazonas;Azulão;64,64;0,12;1300
Amazonas;Solimões;Urucu;49,2;0,038;845726
Maranhão;Parnaíba;Gavião Azul;48,81;0,207;245
Maranhão;Parnaíba;Gavião Branco;47;0,097;914
Maranhão;Parnaíba;Gavião Caboclo;56,12;0,207;855
Maranhão;Parnaíba;Gavião Real;53,28;0,223;635
Maranhão;Parnaíba;Gavião Vermelho;51,96;0,176;2097
Ceará;Potiguar ;Fazenda Belém;13,3;0,335;39243
Rio Grande do Norte;Potiguar;Araçari;34,3;0,078;621
Rio Grande do Norte;Potiguar;Arribaça;38,5;0,038;89
Rio Grande do Norte;Potiguar;Cardeal;27,4;0,148;10041
Rio Grande do Norte;Potiguar;Concriz;27,9;0,047;1934
Rio Grande do Norte;Potiguar;Galo de Campina;25,35;0,07;6714
Rio Grande do Norte;Potiguar;Iraúna;34,2;0,019;445
Rio Grande do Norte;Potiguar;Irerê;27;0,325;472
Rio Grande do Norte;Potiguar;João de Barro;26,7;0,082;457
Rio Grande do Norte;Potiguar;Macau;30,23;0,399;104781
Rio Grande do Norte;Potiguar;Pescada;54,8;0,006;19118
Rio Grande do Norte;Potiguar;RGN Mistura;23,5;0,575;1411714
Rio Grande do Norte;Potiguar;Rolinha;25;0,058;21
Rio Grande do Norte;Potiguar;Sabiá Bico de Osso;25,4;0,004;43166
Rio Grande do Norte;Potiguar;Sabiá da Mata;27,3;0,056;22628
Rio Grande do Norte;Potiguar;Upanema;36,7;0,043;321801
Alagoas;Alagoas;Alagoano;40,9;0,394;94003
Alagoas;Alagoas;Tabuleiro;26,2;0,4;13260
Sergipe;Sergipe;Rabo Branco;34,8;0,19;8442
Sergipe;Sergipe;Sergipano Terra;24,6;0,39;440186
Sergipe;Sergipe;Tartaruga;39,95;0,032;12896
Bahia;Recôncavo;Bahiano Mistura;36,5;0,058;1106745
Bahia;Recôncavo;Canário;28,4;0,1;4382
Bahia;Recôncavo;Cardeal do Nordeste;61,4;0,015;1376
Bahia;Recôncavo;Fazenda Santo Estevão;35,3;0,077;8350
Bahia;Recôncavo;Ouro Preto;34,1;0,071;5544
Bahia;Recôncavo;Rio Ventura;37,1;0,037;27121
Bahia;Recôncavo;Tiê;38,67;0,034;148730
Bahia;Recôncavo;Trovoada;33,2;0,079;45
Bahia;Recôncavo;Uirapuru;37,4;0,05;67
Espírito santo;Espírito Santo;Espírito Santo;19;0,358;602931
Espírito santo;Espírito Santo;Fazenda Alegre;13,2;1;237111
Espírito santo;Espírito Santo;Golfinho;29,8;0,181;593673
Espírito santo;Espírito Santo;Peroá;55,6;0,002;13021
Espírito santo;Campos;Ostra;17,7;0,41;1416792
Espírito santo;Campos;Parque das Baleias;26,1;0,4;9359354
Rio de Janeiro;Campos;Albacora;26,2;0,483;1186160
Rio de Janeiro;Campos;Albacora Leste;19;0,635;1402289
Rio de Janeiro;Campos;Barracuda-Caratinga;25,1;0,534;1777655
Rio de Janeiro;Campos;Bravo;19,2;1,17;889156
Rio de Janeiro;Campos;Cabiúnas Mistura;25,9;0,352;348702
Rio de Janeiro;Campos;Carapeba;19,77;0,455;44203
Rio de Janeiro;Campos;Espadarte;21;0,496;3533
Rio de Janeiro;Campos;Frade;19,7;0,716;920819
Rio de Janeiro;Campos;Marlim;20,3;0,741;2148464
Rio de Janeiro;Campos;Marlim Leste;24,7;0,531;3503322
Rio de Janeiro;Campos;Marlim Sul;22,2;0,64;5883865
Rio de Janeiro;Campos;Papa Terra;15,2;0,706;839987
Rio de Janeiro;Campos;Polo Enchova;25,25;0,36;751930
Rio de Janeiro;Campos;Polo Pampo;17,7;0,774;444942
Rio de Janeiro;Campos;Polo Pargo;22,86;0,311;288662
Rio de Janeiro;Campos;Roncador;22,8;0,585;7550239
Rio de Janeiro;Campos;Salema;28,5;0,473;88104
Rio de Janeiro;Campos;Tartaruga Verde;26,9;0,761;4981535
Rio de Janeiro;Santos;Atapu;27,2;0,394;6858091
Rio de Janeiro;Santos;Atlanta;13,9;0,322;650184
Rio de Janeiro;Santos;Berbigão-Sururu;28,4;0,324;5325362
Rio de Janeiro;Santos;Búzios;28,4;0,323;32109806
Rio de Janeiro;Santos;Mero;28,1;0,326;1262743
Rio de Janeiro;Santos;Sépia;26,22;0,38;939255
Rio de Janeiro;Santos;Sul de Tupi;30,2;0,374;3346031
Rio de Janeiro;Santos;Tupi;30,7;0,35;52278127
Rio de Janeiro;Santos;Tambaú-Uruguá;32,6;0,128;57285
São Paulo;Santos;Baúna;33,3;0,24;768115
São Paulo;Santos;Condensado de Merluza;56,9;0,002;32
São Paulo;Santos;Condensado Mexilhão;54,8;0,015;175975
São Paulo;Santos;Lapa;23;0,606;3021998
São Paulo;Santos;Sapinhoá;30,1;0,367;11809604
