UNIDADES DA FEDERAÇÃO;LOCALIZAÇÃO;ANO;PRODUÇÃO DE PETRÓLEO
Amazonas;Terra;2012;12283
Amazonas;Terra;2013;11269,96941
Amazonas;Terra;2014;10222,15883
Amazonas;Terra;2015;9600,583768
Amazonas;Terra;2016;8560,602367
Amazonas;Terra;2017;7481,966058
Amazonas;Terra;2018;7462,227565
Amazonas;Terra;2019;6814,494
Amazonas;Terra;2020;5776,662077
Amazonas;Terra;2021;5327,633
Maranhão;Terra;2012;0
Maranhão;Terra;2013;29,42196186
Maranhão;Terra;2014;42,95711614
Maranhão;Terra;2015;4,481131169
Maranhão;Terra;2016;13,84507574
Maranhão;Terra;2017;13,4209032
Maranhão;Terra;2018;15,40599525
Maranhão;Terra;2019;19,665
Maranhão;Terra;2020;24,36553197
Maranhão;Terra;2021;29,85
Ceará;Terra;2012;457
Ceará;Terra;2013;412,9723384
Ceará;Terra;2014;446,2073296
Ceará;Terra;2015;533,2381223
Ceará;Terra;2016;566,8015988
Ceará;Terra;2017;447,9114782
Ceará;Terra;2018;384,1423338
Ceará;Terra;2019;316,237
Ceará;Terra;2020;281,8140298
Ceará;Terra;2021;246,832
Ceará;Mar;2012;1919
Ceará;Mar;2013;2633,45261
Ceará;Mar;2014;2221,04141
Ceará;Mar;2015;1900,731635
Ceará;Mar;2016;1927,622013
Ceará;Mar;2017;1557,701512
Ceará;Mar;2018;1583,680528
Ceará;Mar;2019;1539,001
Ceará;Mar;2020;305,8806476
Ceará;Mar;2021;0
Rio Grande do Norte;Terra;2012;18966
Rio Grande do Norte;Terra;2013;19116,30873
Rio Grande do Norte;Terra;2014;18347,12365
Rio Grande do Norte;Terra;2015;18246,60364
Rio Grande do Norte;Terra;2016;18176,20216
Rio Grande do Norte;Terra;2017;15204,7024
Rio Grande do Norte;Terra;2018;12830,02871
Rio Grande do Norte;Terra;2019;12199,252
Rio Grande do Norte;Terra;2020;11722,68035
Rio Grande do Norte;Terra;2021;11887,266
Rio Grande do Norte;Mar;2012;2785
Rio Grande do Norte;Mar;2013;2708,335395
Rio Grande do Norte;Mar;2014;2614,783787
Rio Grande do Norte;Mar;2015;2593,755348
Rio Grande do Norte;Mar;2016;2257,176482
Rio Grande do Norte;Mar;2017;2096,166009
Rio Grande do Norte;Mar;2018;1870,364834
Rio Grande do Norte;Mar;2019;1711,166
Rio Grande do Norte;Mar;2020;970,1594895
Rio Grande do Norte;Mar;2021;340,13
Alagoas;Terra;2012;1647
Alagoas;Terra;2013;1310,223432
Alagoas;Terra;2014;1519,045045
Alagoas;Terra;2015;1555,583855
Alagoas;Terra;2016;1498,620591
Alagoas;Terra;2017;1138,961907
Alagoas;Terra;2018;929,4836069
Alagoas;Terra;2019;966,788
Alagoas;Terra;2020;909,7045245
Alagoas;Terra;2021;655,177
Alagoas;Mar;2012;81
Alagoas;Mar;2013;131,0625007
Alagoas;Mar;2014;114,5214766
Alagoas;Mar;2015;97,38345514
Alagoas;Mar;2016;55,01259665
Alagoas;Mar;2017;50,4401187
Alagoas;Mar;2018;43,3858011
Alagoas;Mar;2019;8,313
Alagoas;Mar;2020;20,18516955
Alagoas;Mar;2021;19,487
Sergipe;Terra;2012;11547
Sergipe;Terra;2013;10627,3557
Sergipe;Terra;2014;10132,92885
Sergipe;Terra;2015;9171,312428
Sergipe;Terra;2016;8186,826806
Sergipe;Terra;2017;6571,963541
Sergipe;Terra;2018;4852,619076
Sergipe;Terra;2019;4087,092
Sergipe;Terra;2020;3756,045426
Sergipe;Terra;2021;2821,785
Sergipe;Mar;2012;3200
Sergipe;Mar;2013;3619,765257
Sergipe;Mar;2014;4839,030026
Sergipe;Mar;2015;2992,308272
Sergipe;Mar;2016;2714,919879
Sergipe;Mar;2017;1899,29062
Sergipe;Mar;2018;1775,784974
Sergipe;Mar;2019;1288,214
Sergipe;Mar;2020;715,6926744
Sergipe;Mar;2021;81,113
Bahia;Terra;2012;15712
Bahia;Terra;2013;15776,5575
Bahia;Terra;2014;15631,70139
Bahia;Terra;2015;14189,67273
Bahia;Terra;2016;12994,44226
Bahia;Terra;2017;11631,06048
Bahia;Terra;2018;10585,95582
Bahia;Terra;2019;10119,034
Bahia;Terra;2020;9002
Bahia;Terra;2021;8069,477
Bahia;Mar;2012;307
Bahia;Mar;2013;384,5580651
Bahia;Mar;2014;355,6434185
Bahia;Mar;2015;240,1649222
Bahia;Mar;2016;281,3590961
Bahia;Mar;2017;205,6604234
Bahia;Mar;2018;193,1058855
Bahia;Mar;2019;144,028
Bahia;Mar;2020;105,6711743
Bahia;Mar;2021;122,122
Espírito Santo;Terra;2012;5435
Espírito Santo;Terra;2013;5350,019142
Espírito Santo;Terra;2014;5234,916293
Espírito Santo;Terra;2015;5066,185918
Espírito Santo;Terra;2016;4690,264017
Espírito Santo;Terra;2017;3890,987468
Espírito Santo;Terra;2018;3587,874174
Espírito Santo;Terra;2019;3471,52
Espírito Santo;Terra;2020;3256,440924
Espírito Santo;Terra;2021;2988,879
Espírito Santo;Mar;2012;107666
Espírito Santo;Mar;2013;108033,6817
Espírito Santo;Mar;2014;128738,9981
Espírito Santo;Mar;2015;136581,4802
Espírito Santo;Mar;2016;139489,504
Espírito Santo;Mar;2017;133868,705
Espírito Santo;Mar;2018;118720,8817
Espírito Santo;Mar;2019;101517,049
Espírito Santo;Mar;2020;87144,14561
Espírito Santo;Mar;2021;73890,727
Rio de Janeiro;Mar;2012;561481
Rio de Janeiro;Mar;2013;532035,55
Rio de Janeiro;Mar;2014;563231,528
Rio de Janeiro;Mar;2015;596924,2693
Rio de Janeiro;Mar;2016;614712,9794
Rio de Janeiro;Mar;2017;650854,3005
Rio de Janeiro;Mar;2018;662818,2062
Rio de Janeiro;Mar;2019;765869,131
Rio de Janeiro;Mar;2020;853802,8127
Rio de Janeiro;Mar;2021;854662,221
São Paulo;Mar;2012;10921
São Paulo;Mar;2013;25273,87632
São Paulo;Mar;2014;59235,38696
São Paulo;Mar;2015;89967,86708
São Paulo;Mar;2016;102604,8389
São Paulo;Mar;2017;120014,433
São Paulo;Mar;2018;116464,2671
São Paulo;Mar;2019;107460,468
São Paulo;Mar;2020;98226,10947
São Paulo;Mar;2021;99226,308
